Rank,Title,Citations,Year,URL,Description
1,Scalable high performance main memory system using phase-change memory technology,1776,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EWU0STsAAAAJ&pagesize=50&citation_for_view=EWU0STsAAAAJ:u-x6o8ySG0sC,"The memory subsystem accounts for a significant cost and power budget of a computer system. Current DRAM-based main memory systems are starting to hit the power and cost limit. An alternative memory technology that uses resistance contrast in phase-change materials is being actively investigated in the circuits community. Phase Change Memory (PCM) devices offer more density relative to DRAM, and can help increase main memory capacity of future systems while remaining within the cost and power constraints. In this paper, we analyze a PCM-based hybrid main memory system using an architecture level model of PCM.We explore the trade-offs for a main memory system consisting of PCMstorage coupled with a small DRAM buffer. Such an architecture has the latency benefits of DRAM and the capacity benefits of PCM. Our evaluations for a baseline system of 16-cores with 8GB DRAM show that, on …"
2,"Utility-based cache partitioning: A low-overhead, high-performance, runtime mechanism to partition shared caches",1443,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EWU0STsAAAAJ&pagesize=50&citation_for_view=EWU0STsAAAAJ:u5HHmVD_uO8C,"This paper investigates the problem of partitioning a shared cache between multiple concurrently executing applications. The commonly used LRU policy implicitly partitions a shared cache on a demand basis, giving more cache resources to the application that has a high demand and fewer cache resources to the application that has a low demand. However, a higher demand for cache resources does not always correlate with a higher performance from additional cache resources. It is beneficial for performance to invest cache resources in the application that benefits more from the cache resources rather than in the application that has more demand for the cache resources. This paper proposes utility-based cache partitioning (UCP), a low-overhead, runtime mechanism that partitions a shared cache between multiple applications depending on the reduction in cache misses that each application is likely to obtain …"
3,Adaptive insertion policies for high performance caching,964,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EWU0STsAAAAJ&pagesize=50&citation_for_view=EWU0STsAAAAJ:d1gkVwhDpl0C,"The commonly used LRU replacement policy is susceptible to thrashing for memory-intensive workloads that have a working set greater than the available cache size. For such applications, the majority of lines traverse from the MRU position to the LRU position without receiving any cache hits, resulting in inefficient use of cache space. Cache performance can be improved if some fraction of the working set is retained in the cache so that at least that fraction of the working set can contribute to cache hits. We show that simple changes to the insertion policy can significantly reduce cache misses for memory-intensive workloads. We propose the LRU Insertion Policy (LIP) which places the incoming line in the LRU position instead of the MRU position. LIP protects the cache from thrashing and results in close to optimal hitrate for applications that have a cyclic reference pattern. We also propose the Bimodal Insertion …"
4,Enhancing lifetime and security of PCM-based main memory with start-gap wear leveling,941,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EWU0STsAAAAJ&pagesize=50&citation_for_view=EWU0STsAAAAJ:UeHWp8X0CEIC,"Phase Change Memory (PCM) is an emerging memory technology that can increase main memory capacity in a cost-effective and power-efficient manner. However, PCM cells can endure only a maximum of 107 - 108 writes, making a PCM based system have a lifetime of only a few years under ideal conditions. Furthermore, we show that non-uniformity in writes to different cells reduces the achievable lifetime of PCM system by 20x. Writes to PCM cells can be made uniform with Wear-Leveling. Unfortunately, existing wear-leveling techniques require large storage tables and indirection, resulting in significant area and latency overheads. We propose Start-Gap, a simple, novel, and effective wear-leveling technique that uses only two registers. By combining Start-Gap with simple address-space randomization techniques we show that the achievable lifetime of the baseline 16GB PCM-based system is boosted from 5 …"
5,Not all qubits are created equal: A case for variability-aware policies for NISQ-era quantum computers,532,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EWU0STsAAAAJ&pagesize=50&citation_for_view=EWU0STsAAAAJ:1yQoGdGgb4wC,"Existing and near-term quantum computers are not yet large enough to support fault-tolerance. Such systems with few tens to few hundreds of qubits are termed as Noisy Intermediate Scale Quantum computers (NISQ), and these systems can provide benefits for a class of quantum algorithms. In this paper, we study the problems of Qubit-Allocation (mapping of program qubits to machine qubits) and Qubit-Movement (routing qubits from one location to another for entanglement). We observe that there can be variation in the error rates of different qubits and links, which can impact the decisions for qubit movement and qubit allocation. We analyze publicly available characterization data for the IBM-Q20 to quantify the variation and show that there is indeed significant variability in the error rates of the qubits and the links connecting them. We show that the device variability has a significant impact on the overall system …"
6,A case for MLP-aware cache replacement,426,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EWU0STsAAAAJ&pagesize=50&citation_for_view=EWU0STsAAAAJ:9yKSN-GCB0IC,"Performance loss due to long-latency memory accesses can be reduced by servicing multiple memory accesses concurrently. The notion of generating and servicing long-latency cache misses in parallel is called Memory Level Parallelism (MLP). MLP is not uniform across cache misses - some misses occur in isolation while some occur in parallel with other misses. Isolated misses are more costly on performance than parallel misses. However, traditional cache replacement is not aware of the MLP-dependent cost differential between different misses. Cache replacement, if made MLP-aware, can improve performance by reducing the number of performance-critical isolated misses. This paper makes two key contributions. First, it proposes a framework for MLP-aware cache replacement by using a runtime technique to compute the MLP-based cost for each cache miss. It then describes a simple cache replacement …"
7,Adaptive insertion policies for managing shared caches,402,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EWU0STsAAAAJ&pagesize=50&citation_for_view=EWU0STsAAAAJ:qjMakFHDy7sC,"Chip Multiprocessors (CMPs) allow different applications to concurrently execute on a single chip. When applications with differing demands for memory compete for a shared cache, the conventional LRU replacement policy can significantly degrade cache performance when the aggregate working set size is greater than the shared cache. In such cases, shared cache performance can be significantly improved by preserving the entire working set of applications that can co-exist in the cache and preserving some portion of the working set of the remaining applications. This paper investigates the use of adaptive insertion policies to manage shared caches. We show that directly extending the recently proposed dynamic insertion policy (DIP) is inadequate for shared caches since DIP is unaware of the characteristics of individual applications. We propose Thread-Aware Dynamic Insertion Policy (TADIP) that can take …"
8,Accelerating critical section execution with asymmetric multi-core architectures,384,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EWU0STsAAAAJ&pagesize=50&citation_for_view=EWU0STsAAAAJ:IjCSPb-OGe4C,"To improve the performance of a single application on Chip Multiprocessors (CMPs), the application must be split into threads which execute concurrently on multiple cores. In multi-threaded applications, critical sections are used to ensure that only one thread accesses shared data at any given time. Critical sections can serialize the execution of threads, which significantly reduces performance and scalability. This paper proposes Accelerated Critical Sections (ACS), a technique that leverages the high-performance core(s) of an Asymmetric Chip Multiprocessor (ACMP) to accelerate the execution of critical sections. In ACS, selected critical sections are executed by a high-performance core, which can execute the critical section faster than the other, smaller cores. As a result, ACS reduces serialization: it lowers the likelihood of threads waiting for a critical section to finish. Our evaluation on a set of 12 critical-section …"
9,CEASER: Mitigating conflict-based cache attacks via encrypted-address and remapping,374,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EWU0STsAAAAJ&pagesize=50&citation_for_view=EWU0STsAAAAJ:fQNAKQ3IYiAC,"Modern processors share the last-level cache between all the cores to efficiently utilize the cache space. Unfortunately, such sharing makes the cache vulnerable to attacks whereby an adversary can infer the access pattern of a co-running application by carefully orchestrating evictions using cache conflicts. Conflict-based attacks can be mitigated by randomizing the location of the lines in the cache. Unfortunately, prior proposals for randomized mapping require storage-intensive tables and are effective only if the OS can classify the applications into protected and unprotected groups. The goal of this paper is to mitigate conflict-based attacks while incurring negligible storage and performance overheads, and without relying on OS support. This paper provides the key insight that randomized mapping can be accomplished efficiently by accessing the cache with an encrypted address, as encryption would cause the …"
10,Fundamental latency trade-off in architecting dram caches: Outperforming impractical sram-tags with a simple and practical design,367,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EWU0STsAAAAJ&pagesize=50&citation_for_view=EWU0STsAAAAJ:hFOr9nPyWt4C,"This paper analyzes the design trade-offs in architecting large-scale DRAM caches. Prior research, including the recent work from Loh and Hill, have organized DRAM caches similar to conventional caches. In this paper, we contend that some of the basic design decisions typically made for conventional caches (such as serialization of tag and data access, large associativity, and update of replacement state) are detrimental to the performance of DRAM caches, as they exacerbate the already high hit latency. We show that higher performance can be obtained by optimizing the DRAM cache architecture first for latency, and then for hit rate. We propose a latency-optimized cache architecture, called Alloy Cache, that eliminates the delay due to tag serialization by streaming tag and data together in a single burst. We also propose a simple and highly effective Memory Access Predictor that incurs a storage overhead of …"
11,Improving read performance of phase change memories via write cancellation and write pausing,362,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EWU0STsAAAAJ&pagesize=50&citation_for_view=EWU0STsAAAAJ:W7OEmFMy1HYC,"Phase Change Memory (PCM) is emerging as a promising technology to build large-scale main memory systems in a cost-effective manner. A characteristic of PCM is that it has write latency much higher than read latency. A higher write latency can typically be tolerated using buffers. However, once a write request is scheduled for service to a bank, it can still cause increased latency for later arriving read requests to the same bank. We show that for the baseline PCM system with read-priority scheduling, the write requests increase the effective read latency to 2.3x (on average), causing significant performance degradation. To reduce the read latency of PCM devices under such scenarios, we propose adaptive Write Cancellation policies. Such policies can abort the processing of a scheduled write requests if a read request arrives to the same bank within a predetermined period. We also propose Write Pausing …"
12,The V-Way cache: demand-based associativity via global replacement,320,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EWU0STsAAAAJ&pagesize=50&citation_for_view=EWU0STsAAAAJ:2osOgNQ5qMEC,"As processor speeds increase and memory latency becomes more critical, intelligent design and management of secondary caches becomes increasingly important. The efficiency of current set-associative caches is reduced because programs exhibit a non-uniform distribution of memory accesses across different cache sets. We propose a technique to vary the associativity of a cache on a per-set basis in response to the demands of the program. By increasing the number of tag-store entries relative to the number of data lines, we achieve the performance benefit of global replacement while maintaining the constant hit latency of a set-associative cache. The proposed variable-way, or V-Way, set-associative cache achieves an average miss rate reduction of 13% on sixteen benchmarks from the SPEC CPU2000 suite. This translates into an average IPC improvement of 8%."
13,Low-cost inter-linked subarrays (LISA): Enabling fast inter-subarray data movement in DRAM,310,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EWU0STsAAAAJ&pagesize=50&citation_for_view=EWU0STsAAAAJ:_xSYboBqXhAC,"This paper introduces a new DRAM design that enables fast and energy-efficient bulk data movement across subarrays in a DRAM chip. While bulk data movement is a key operation in many applications and operating systems, contemporary systems perform this movement inefficiently, by transferring data from DRAM to the processor, and then back to DRAM, across a narrow off-chip channel. The use of this narrow channel for bulk data movement results in high latency and energy consumption. Prior work proposed to avoid these high costs by exploiting the existing wide internal DRAM bandwidth for bulk data movement, but the limited connectivity of wires within DRAM allows fast data movement within only a single DRAM subarray. Each subarray is only a few megabytes in size, greatly restricting the range over which fast bulk data movement can happen within DRAM. We propose a new DRAM substrate, Low …"
14,Feedback-driven threading: power-efficient and high-performance execution of multi-threaded workloads on CMPs,279,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EWU0STsAAAAJ&pagesize=50&citation_for_view=EWU0STsAAAAJ:zYLM7Y9cAGgC,"Extracting high-performance from the emerging Chip Multiprocessors (CMPs) requires that the application be divided into multiple threads. Each thread executes on a separate core thereby increasing concurrency and improving performance. As the number of cores on a CMP continues to increase, the performance of some multi-threaded applications will benefit from the increased number of threads, whereas, the performance of other multi-threaded applications will become limited by data-synchronization and off-chip bandwidth. For applications that get limited by data-synchronization, increasing the number of threads significantly degrades performance and increases on-chip power. Similarly, for applications that get limited by off-chip bandwidth, increasing the number of threads increases on-chip power without providing any performance improvement. Furthermore, whether an application gets limited by data …"
15,AVATAR: A variable-retention-time (VRT) aware refresh for DRAM systems,270,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EWU0STsAAAAJ&pagesize=50&citation_for_view=EWU0STsAAAAJ:fPk4N6BV_jEC,"Multirate refresh techniques exploit the non-uniformity in retention times of DRAM cells to reduce the DRAM refresh overheads. Such techniques rely on accurate profiling of retention times of cells, and perform faster refresh only for a few rows which have cells with low retention times. Unfortunately, retention times of some cells can change at runtime due to Variable Retention Time (VRT), which makes it impractical to reliably deploy multirate refresh. Based on experimental data from 24 DRAM chips, we develop architecture-level models for analyzing the impact of VRT. We show that simply relying on ECC DIMMs to correct VRT failures is unusable as it causes a data error once every few months. We propose AVATAR, a VRT-aware multirate refresh scheme that adaptively changes the refresh rate for different rows at runtime based on current VRT failures. AVATAR provides a time to failure in the regime of several …"
16,Maze: Data-free model stealing attack using zeroth-order gradient estimation,254,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EWU0STsAAAAJ&pagesize=50&citation_for_view=EWU0STsAAAAJ:evX43VCCuoAC,"High quality Machine Learning (ML) models are often considered valuable intellectual property by companies. Model Stealing (MS) attacks allow an adversary with black-box access to a ML model to replicate its functionality by training a clone model using the predictions of the target model for different inputs. However, best available existing MS attacks fail to produce a high-accuracy clone without access to the target dataset or a representative dataset necessary to query the target model. In this paper, we show that preventing access to the target dataset is not an adequate defense to protect a model. We propose MAZE--a data-free model stealing attack using zeroth-order gradient estimation that produces high-accuracy clones. In contrast to prior works, MAZE uses only synthetic data created using a generative model to perform MS. Our evaluation with four image classification models shows that MAZE provides a normalized clone accuracy in the range of 0.90 x to 0.99 x, and outperforms even the recent attacks that rely on partial data (JBDA, clone accuracy 0.13 x to 0.69 x) and on surrogate data (KnockoffNets, clone accuracy 0.52 x to 0.97 x). We also study an extension of MAZE in the partial-data setting and develop MAZE-PD, which generates synthetic data closer to the target distribution. MAZE-PD further improves the clone accuracy 0.97 x to 1.0 x) and reduces the query budget required for the attack by 2x-24x."
17,Morphable memory system: A robust architecture for exploiting multi-level phase change memories,248,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EWU0STsAAAAJ&pagesize=50&citation_for_view=EWU0STsAAAAJ:eQOLeE2rZwMC,"Phase Change Memory (PCM) is emerging as a scalable and power efficient technology to architect future main memory systems. The scalability of PCM is enhanced by the property that PCM devices can store multiple bits per cell. While such Multi-Level Cell (MLC) devices can offer high density, this benefit comes at the expense of increased read latency, which can cause significant performance degradation. This paper proposes Morphable Memory System (MMS), a robust architecture for efficiently incorporating MLC PCM devices in main memory. MMS is based on observation that memory requirement varies between workloads, and systems are typically over-provisioned in terms of memory capacity. So, during a phase of low memory usage, some of the MLC devices can be operated at fewer bits per cell to obtain lower latency. When the workload requires full memory capacity, these devices can be restored to …"
18,ArchShield: Architectural framework for assisting DRAM scaling by tolerating high error rates,233,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EWU0STsAAAAJ&pagesize=50&citation_for_view=EWU0STsAAAAJ:k_IJM867U9cC,"DRAM scaling has been the prime driver for increasing the capacity of main memory system over the past three decades. Unfortunately, scaling DRAM to smaller technology nodes has become challenging due to the inherent difficulty in designing smaller geometries, coupled with the problems of device variation and leakage. Future DRAM devices are likely to experience significantly high error-rates. Techniques that can tolerate errors efficiently can enable DRAM to scale to smaller technology nodes. However, existing techniques such as row/column sparing and ECC become prohibitive at high error-rates. To develop cost-effective solutions for tolerating high error-rates, this paper advocates a cross-layer approach. Rather than hiding the faulty cell information within the DRAM chips, we expose it to the architectural level. We propose ArchShield, an architectural framework that employs runtime testing to identify …"
19,Architectural support for mitigating row hammering in DRAM memories,223,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EWU0STsAAAAJ&pagesize=50&citation_for_view=EWU0STsAAAAJ:NaGl4SEjCO4C,"DRAM scaling has been the prime driver of increasing capacity of main memory systems. Unfortunately, lower technology nodes worsen the cell reliability as it increases the coupling between adjacent DRAM cells, thereby exacerbating different failure modes. This paper investigates the reliability problem due to Row Hammering , whereby frequent activations of a given row can cause data loss for its neighboring rows. As DRAM scales to lower technology nodes, the threshold for the number of row activations that causes data loss for the neighboring rows reduces, making Row Hammering a challenging problem for future DRAM chips. To overcome Row Hammering, we propose two architectural solutions: First, Counter-Based Row Activation (CRA), which uses a counter with each row to count the number of row activations. If the count exceeds the row hammering threshold, a dummy activation is sent to neighboring …"
20,New attacks and defense for encrypted-address cache,219,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EWU0STsAAAAJ&pagesize=50&citation_for_view=EWU0STsAAAAJ:dQ2og3OwTAUC,"Conflict-based cache attacks can allow an adversary to infer the access pattern of a co-running application by orchestrating evictions via cache conflicts. Such attacks can be mitigated by randomizing the location of the lines in the cache. Our recent proposal, CEASER, makes cache randomization practical by accessing the cache using an encrypted address and periodically changing the encryption key. CEASER was analyzed with the state-of-the-art algorithm on forming eviction sets, and the analysis showed that CEASER with a Remap-Rate of 1% is sufficient to tolerate years of attack. In this paper, we present two new attacks that significantly push the state-of-the-art in forming eviction sets. Our first attack reduces the time required to form the eviction set from O(L2) to O(L), where L is the number of lines in the attack. This attack is 35x faster than the best-known attack and requires that the Remap-Rate of CEASER …"
21,NVRAM-aware logging in transaction systems,214,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EWU0STsAAAAJ&pagesize=50&citation_for_view=EWU0STsAAAAJ:J_g5lzvAfSwC,"Emerging byte-addressable, non-volatile memory technologies (NVRAM) like phase-change memory can increase the capacity of future memory systems by orders of magnitude. Compared to systems that rely on disk storage, NVRAM-based systems promise significant improvements in performance for key applications like online transaction processing (OLTP). Unfortunately, NVRAM systems suffer from two drawbacks: their asymmetric read-write performance and the notable higher cost of the new memory technologies compared to disk. This paper investigates the cost-effective use of NVRAM in transaction systems. It shows that using NVRAM only for the logging subsystem (NV-Logging) provides much higher transactions per dollar than simply replacing all disk storage with NVRAM. Specifically, for NV-Logging, we show that the software overheads associated with centralized log buffers cause performance bottlenecks and limit scaling. The per-transaction logging methods described in the paper help avoid these overheads, enabling concurrent logging for multiple transactions. Experimental results with a faithful emulation of future NVRAM-based servers using the TPCC, TATP, and TPCB benchmarks show that NV-Logging improves throughput by 1.42-2.72 x over the costlier option of replacing all disk storage with NVRAM. Results also show that NV-Logging performs 1.21-6.71 x better than when logs are placed into the PMFS NVRAM-optimized file system. Compared to state-of-theart distributed logging, NV-Logging delivers 20.4% throughput improvements."
