Rank,Title,Citations,Year,URL,Description
1,Accounting for technical noise in single-cell RNA-seq experiments,1171,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8n-iVhwAAAAJ&pagesize=50&citation_for_view=8n-iVhwAAAAJ:YOwf2qJgpHMC,Single-cell RNA-seq can yield valuable insights about the variability within a population of seemingly homogeneous cells. We developed a quantitative statistical method to distinguish true biological variability from the high levels of technical noise in single-cell experiments. Our approach quantifies the statistical significance of observed cell-to-cell variability in expression strength on a gene-by-gene basis. We validate our approach using two independent data sets from Arabidopsis thaliana and Mus musculus.
2,Single-cell RNA sequencing reveals T helper cells synthesizing steroids de novo to contribute to immune homeostasis,253,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8n-iVhwAAAAJ&pagesize=50&citation_for_view=8n-iVhwAAAAJ:kz9GbA2Ns4gC,"T helper 2 (Th2) cells regulate helminth infections, allergic disorders, tumor immunity, and pregnancy by secreting various cytokines. It is likely that there are undiscovered Th2 signaling molecules. Although steroids are known to be immunoregulators, de novo steroid production from immune cells has not been previously characterized. Here, we demonstrate production of the steroid pregnenolone by Th2 cells in vitro and in vivo in a helminth infection model. Single-cell RNA sequencing and quantitative PCR analysis suggest that pregnenolone synthesis in Th2 cells is related to immunosuppression. In support of this, we show that pregnenolone inhibits Th cell proliferation and B cell immunoglobulin class switching. We also show that steroidogenic Th2 cells inhibit Th cell proliferation in a Cyp11a1 enzyme-dependent manner. We propose pregnenolone as a ""lymphosteroid,"" a steroid produced by lymphocytes. We …"
3,Simulating multiple faceted variability in single cell RNA sequencing,158,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8n-iVhwAAAAJ&pagesize=50&citation_for_view=8n-iVhwAAAAJ:uDGL6kOW6j0C,"The abundance of new computational methods for processing and interpreting transcriptomes at a single cell level raises the need for in silico platforms for evaluation and validation. Here, we present SymSim, a simulator that explicitly models the processes that give rise to data observed in single cell RNA-Seq experiments. The components of the SymSim pipeline pertain to the three primary sources of variation in single cell RNA-Seq data: noise intrinsic to the process of transcription, extrinsic variation indicative of different cell states (both discrete and continuous), and technical variation due to low sensitivity and measurement noise and bias. We demonstrate how SymSim can be used for benchmarking methods for clustering, differential expression and trajectory inference, and for examining the effects of various parameters on their performance. We also show how SymSim can be used to evaluate the number of …"
4,CD4+ and CD8+ cytotoxic T lymphocytes may induce mesenchymal cell apoptosis in IgG4-related disease,105,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8n-iVhwAAAAJ&pagesize=50&citation_for_view=8n-iVhwAAAAJ:otzGkya1bYkC,"BackgroundIgG4-related disease (IgG4-RD) is an immune-mediated fibrotic disorder that has been linked to CD4+ cytotoxic T lymphocytes (CD4+CTLs). The effector phenotype of CD4+CTLs and the relevance of both CD8+ cytotoxic T lymphocytes (CD8+CTLs) and apoptotic cell death remain undefined in IgG4-RD.ObjectiveWe sought to define CD4+CTL heterogeneity, characterize the CD8+CTL response in the blood and in lesions, and determine whether enhanced apoptosis may contribute to the pathogenesis of IgG4-RD.MethodsBlood analyses were undertaken using flow cytometry, cell sorting, transcriptomic analyses at the population and single-cell levels, and next-generation sequencing for the TCR repertoire. Tissues were interrogated using multicolor immunofluorescence. Results were correlated with clinical data.ResultsWe establish that among circulating CD4+CTLs in IgG4-RD, CD27loCD28loCD57 …"
5,scDART: integrating unmatched scRNA-seq and scATAC-seq data and learning cross-modality relationship simultaneously,86,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8n-iVhwAAAAJ&pagesize=50&citation_for_view=8n-iVhwAAAAJ:U4n9YNQMCAIC,"It is a challenging task to integrate scRNA-seq and scATAC-seq data obtained from different batches. Existing methods tend to use a pre-defined gene activity matrix to convert the scATAC-seq data into scRNA-seq data. The pre-defined gene activity matrix is often of low quality and does not reflect the dataset-specific relationship between the two data modalities. We propose scDART, a deep learning framework that integrates scRNA-seq and scATAC-seq data and learns cross-modalities relationships simultaneously. Specifically, the design of scDART allows it to preserve cell trajectories in continuous cell populations and can be applied to trajectory inference on integrated data."
6,Evolution of oligomeric state through allosteric pathways that mimic ligand binding,77,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8n-iVhwAAAAJ&pagesize=50&citation_for_view=8n-iVhwAAAAJ:foquWX3nUaYC,"IntroductionEvolution and design of protein complexes are frequently viewed through the lens of amino acid mutations at protein interfaces, but we showed previously that residues distant from interfaces are also commonly involved in the evolution of alternative quaternary structures. We hypothesized that in these protein families, the difference in oligomeric state is due to a change in intersubunit geometry. The indirect mutations would act by changing protein conformation and dynamics, similar to the way in which allosteric small molecules introduce functional conformational change. We refer to these substitutions as “allosteric mutations.” RationaleIn this work, we investigate the mechanism of action of allosteric mutations on oligomeric state in the PyrR family of pyrimidine operon attenuators. In this family, an entirely sequence-conserved helix that forms a tetrameric interface in the thermophilic ortholog (BcPyrR …"
7,Single-cell analysis of CD4+ T-cell differentiation reveals three major cell states and progressive acceleration of proliferation,73,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8n-iVhwAAAAJ&pagesize=50&citation_for_view=8n-iVhwAAAAJ:BJbdYPG6LGMC,"BackgroundDifferentiation of lymphocytes is frequently accompanied by cell cycle changes, interplay that is of central importance for immunity but is still incompletely understood. Here, we interrogate and quantitatively model how proliferation is linked to differentiation in CD4+ T cells.ResultsWe perform ex vivo single-cell RNA-sequencing of CD4+ T cells during a mouse model of infection that elicits a type 2 immune response and infer that the differentiated, cytokine-producing cells cycle faster than early activated precursor cells. To dissect this phenomenon quantitatively, we determine expression profiles across consecutive generations of differentiated and undifferentiated cells during Th2 polarization in vitro. We predict three discrete cell states, which we verify by single-cell quantitative PCR. Based on these three states, we extract rates of death, division and differentiation with a branching state Markov model to …"
8,Single-cell RNA-sequencing resolves self-antigen expression during mTEC development,64,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8n-iVhwAAAAJ&pagesize=50&citation_for_view=8n-iVhwAAAAJ:6yz0xqPARnAC,"The crucial capability of T cells for discrimination between self and non-self peptides is based on negative selection of developing thymocytes by medullary thymic epithelial cells (mTECs). The mTECs purge autoreactive T cells by expression of cell-type specific genes referred to as tissue-restricted antigens (TRAs). Although the autoimmune regulator (AIRE) protein is known to promote the expression of a subset of TRAs, its mechanism of action is still not fully understood. The expression of TRAs that are not under the control of AIRE also needs further characterization. Furthermore, expression patterns of TRA genes have been suggested to change over the course of mTEC development. Herein we have used single-cell RNA-sequencing to resolve patterns of TRA expression during mTEC development. Our data indicated that mTEC development consists of three distinct stages, correlating with previously described …"
9,scMoMaT jointly performs single cell mosaic integration and multi-modal bio-marker detection,55,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8n-iVhwAAAAJ&pagesize=50&citation_for_view=8n-iVhwAAAAJ:cK4Rrx0J3m0C,"Single cell data integration methods aim to integrate cells across data batches and modalities, and data integration tasks can be categorized into horizontal, vertical, diagonal, and mosaic integration, where mosaic integration is the most general and challenging case with few methods developed. We propose scMoMaT, a method that is able to integrate single cell multi-omics data under the mosaic integration scenario using matrix tri-factorization. During integration, scMoMaT is also able to uncover the cluster specific bio-markers across modalities. These multi-modal bio-markers are used to interpret and annotate the clusters to cell types. Moreover, scMoMaT can integrate cell batches with unequal cell type compositions. Applying scMoMaT to multiple real and simulated datasets demonstrated these features of scMoMaT and showed that scMoMaT has superior performance compared to existing methods …"
10,Inference of high-resolution trajectories in single-cell RNA-seq data by using RNA velocity,55,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8n-iVhwAAAAJ&pagesize=50&citation_for_view=8n-iVhwAAAAJ:ALROH1vI_8AC,"Trajectory inference (TI) methods infer cell developmental trajectory from single-cell RNA sequencing data. Current TI methods can be categorized into those using RNA velocity information and those using only single-cell gene expression data. The latter type of methods are restricted to certain trajectory structures, and cannot determine cell developmental direction. Recently proposed TI methods using RNA velocity information have limited accuracy. We present CellPath, a method that infers cell trajectories by integrating single-cell gene expression and RNA velocity information. CellPath overcomes the restrictions of TI methods that do not use RNA velocity information: it can find multiple high-resolution trajectories without constraints on the trajectory structure, and can automatically detect the direction of each trajectory path. We evaluate CellPath on both real and simulated datasets and show that CellPath finds …"
