Rank,Title,Citations,Year,URL,Description
1,Lift & learn: Physics-informed machine learning for large-scale nonlinear dynamical systems,378,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jnHI7wQAAAAJ&pagesize=50&citation_for_view=jnHI7wQAAAAJ:zYLM7Y9cAGgC,"We present Lift & Learn, a physics-informed method for learning low-dimensional models for large-scale dynamical systems. The method exploits knowledge of a system’s governing equations to identify a coordinate transformation in which the system dynamics have quadratic structure. This transformation is called a lifting map because it often adds auxiliary variables to the system state. The lifting map is applied to data obtained by evaluating a model for the original nonlinear system. This lifted data is projected onto its leading principal components, and low-dimensional linear and quadratic matrix operators are fit to the lifted reduced data using a least-squares operator inference procedure. Analysis of our method shows that the Lift & Learn models are able to capture the system physics in the lifted coordinates at least as accurately as traditional intrusive model reduction approaches. This preservation of system …"
2,Autonomous battery swapping system for small-scale helicopters,150,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jnHI7wQAAAAJ&pagesize=50&citation_for_view=jnHI7wQAAAAJ:u5HHmVD_uO8C,"A large focus of the Unmanned Aerial Vehicle (UAV) community has been shifted to addressing the requirements necessary for managing systems of UAVs. The ability to automate the process of tracking and responding to the health of UAVs contributes to the reliable and persistent operation of multiple UAV systems. In particular, the automation of managing UAVs and their resources removes a critical, frequent, and time consuming task from an operator's workload. We have developed a battery swapping mechanism capable of `refueling' UAVs autonomously. This paper presents an automated battery swapping system for multiple small-scale UAVs. The system includes a battery swapping mechanism and online algorithms to address resource management, vehicle health monitoring, and precision landing onto the battery swapping mechanism's landing platform."
3,The cost-accuracy trade-off in operator learning with neural networks,126,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jnHI7wQAAAAJ&pagesize=50&citation_for_view=jnHI7wQAAAAJ:eQOLeE2rZwMC,"The term `surrogate modeling' in computational science and engineering refers to the development of computationally efficient approximations for expensive simulations, such as those arising from numerical solution of partial differential equations (PDEs). Surrogate modeling is an enabling methodology for many-query computations in science and engineering, which include iterative methods in optimization and sampling methods in uncertainty quantification. Over the last few years, several approaches to surrogate modeling for PDEs using neural networks have emerged, motivated by successes in using neural networks to approximate nonlinear maps in other areas. In principle, the relative merits of these different approaches can be evaluated by understanding, for each one, the cost required to achieve a given level of accuracy. However, the absence of a complete theory of approximation error for these approaches makes it difficult to assess this cost-accuracy trade-off. The purpose of the paper is to provide a careful numerical study of this issue, comparing a variety of different neural network architectures for operator approximation across a range of problems arising from PDE models in continuum mechanics."
4,Multifidelity Monte Carlo estimation of variance and sensitivity indices,112,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jnHI7wQAAAAJ&pagesize=50&citation_for_view=jnHI7wQAAAAJ:qjMakFHDy7sC,"Variance-based sensitivity analysis provides a quantitative measure of how uncertainty in a model input contributes to uncertainty in the model output. Such sensitivity analyses arise in a wide variety of applications and are typically computed using Monte Carlo estimation, but the many samples required for Monte Carlo to be sufficiently accurate can make these analyses intractable when the model is expensive. This work presents a multifidelity approach for estimating sensitivity indices that leverages cheaper low-fidelity models to reduce the cost of sensitivity analysis while retaining accuracy guarantees via recourse to the original, expensive model. This paper develops new multifidelity estimators for variance and for the Sobol' main and total effect sensitivity indices. We discuss strategies for dividing limited computational resources among models and specify a recommended strategy. Results are presented for the …"
5,A certified trust region reduced basis approach to PDE-constrained optimization,93,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jnHI7wQAAAAJ&pagesize=50&citation_for_view=jnHI7wQAAAAJ:d1gkVwhDpl0C,"Parameter optimization problems constrained by partial differential equations (PDEs) appear in many science and engineering applications. Solving these optimization problems may require a prohibitively large number of computationally expensive PDE solves, especially if the dimension of the design space is large. It is therefore advantageous to replace expensive high-dimensional PDE solvers (e.g., finite element) with lower-dimensional surrogate models. In this paper, the reduced basis (RB) model reduction method is used in conjunction with a trust region optimization framework to accelerate PDE-constrained parameter optimization. Novel a posteriori error bounds on the RB cost and cost gradient for quadratic cost functionals (e.g., least squares) are presented and used to guarantee convergence to the optimum of the high-fidelity model. The proposed certified RB trust region approach uses high-fidelity …"
6,Reduced operator inference for nonlinear partial differential equations,64,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jnHI7wQAAAAJ&pagesize=50&citation_for_view=jnHI7wQAAAAJ:Y0pCki6q_DkC,"We present a new scientific machine learning method that learns from data a computationally inexpensive surrogate model for predicting the evolution of a system governed by a time-dependent nonlinear partial differential equation (PDE), an enabling technology for many computational algorithms used in engineering settings. Our formulation generalizes to the function space PDE setting the Operator Inference method previously developed in [B. Peherstorfer and K. Willcox, Comput. Methods Appl. Mech. Engrg., 306 (2016), pp. 196--215] for systems governed by ordinary differential equations. The method brings together two main elements. First, ideas from projection-based model reduction are used to explicitly parametrize the learned model by low-dimensional polynomial operators which reflect the known form of the governing PDE. Second, supervised machine learning tools are used to infer from data the …"
7,Transform & Learn: A data-driven approach to nonlinear model reduction,38,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jnHI7wQAAAAJ&pagesize=50&citation_for_view=jnHI7wQAAAAJ:IjCSPb-OGe4C,"T paper proposes a new surrogate modeling approach that unites advantages from two approaches to nonlinear system approximation: projection-based model reduction and machine learning. The development of inexpensive surrogate models is a critical enabling technology for many-query computations such as optimization, uncertainty quantification, and control. In these settings, a predictive simulation of the system must be evaluated many times, so traditional simulation methods based on high-dimensional spatial discretizations of nonlinear partial differential equations (PDEs) can be prohibitively expensive. In our approach, we use physics information from the governing PDEs to formulate a structured learning problem which recovers accurate, analyzable reduced-order models. Projection-based model reduction starts with a high-dimensional full-order model (FOM), and obtains the reducedorder model …"
8,Towards scalable parallel-in-time turbulent flow simulations,30,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jnHI7wQAAAAJ&pagesize=50&citation_for_view=jnHI7wQAAAAJ:u-x6o8ySG0sC,We present a reformulation of unsteady turbulent flow simulations. The initial condition is relaxed and information is allowed to propagate both forward and backward in time. Simulations of chaotic dynamical systems with this reformulation can be proven to be well-conditioned time domain boundary value problems. The reformulation can enable scalable parallel-in-time simulation of turbulent flows.
9,Multifidelity uncertainty quantification and model validation of large-scale multidisciplinary systems,16,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jnHI7wQAAAAJ&pagesize=50&citation_for_view=jnHI7wQAAAAJ:WF5omc3nYNoC,"A simulation-based framework for multifidelity uncertainty quantification is presented, which informs and guides the design process of complex, large-scale, multidisciplinary systems throughout their life cycle. In this framework, uncertainty in system models is identified, characterized, and propagated in an integrated manner through the analysis cycles needed to quantify the effects of uncertainty on the quantities of interest. This is part of the process to design systems and verify their compliance to performance requirements. Uncertainty quantification is performed through mean and variance estimators as well as global sensitivity analyses. These computational analyses are made tractable by the use of multifidelity methods, which leverage a variety of low-fidelity models to obtain speed-ups, while keeping the main high-fidelity model in the loop to guarantee convergence to the correct result. This framework was …"
10,Model reduction of linear dynamical systems via balancing for Bayesian inference,12,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jnHI7wQAAAAJ&pagesize=50&citation_for_view=jnHI7wQAAAAJ:YsMSGLbcyi4C,"We consider the Bayesian approach to the linear Gaussian inference problem of inferring the initial condition of a linear dynamical system from noisy output measurements taken after the initial time. In practical applications, the large dimension of the dynamical system state poses a computational obstacle to computing the exact posterior distribution. Model reduction offers a variety of computational tools that seek to reduce this computational burden. In particular, balanced truncation is a system-theoretic approach to model reduction which obtains an efficient reduced-dimension dynamical system by projecting the system operators onto state directions which trade off the reachability and observability of state directions as expressed through the associated Gramians. We introduce Gramian definitions relevant to the inference setting and propose a balanced truncation approach based on these inference Gramians …"
