Rank,Title,Citations,Year,URL,Description
1,Redrawing the map of Great Britain from a network of human interactions,511,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=D9jCEIkAAAAJ&pagesize=50&citation_for_view=D9jCEIkAAAAJ:u5HHmVD_uO8C,"Do regional boundaries defined by governments respect the more natural ways that people interact across space? This paper proposes a novel, fine-grained approach to regional delineation, based on analyzing networks of billions of individual human transactions. Given a geographical area and some measure of the strength of links between its inhabitants, we show how to partition the area into smaller, non-overlapping regions while minimizing the disruption to each person's links. We tested our method on the largest non-Internet human network, inferred from a large telecommunications database in Great Britain. Our partitioning algorithm yields geographically cohesive regions that correspond remarkably well with administrative regions, while unveiling unexpected spatial structures that had previously only been hypothesized in the literature. We also quantify the effects of partitioning, showing for instance that the effects of a possible secession of Wales from Great Britain would be twice as disruptive for the human network than that of Scotland."
2,The rise of partisanship and super-cooperators in the US House of Representatives,299,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=D9jCEIkAAAAJ&pagesize=50&citation_for_view=D9jCEIkAAAAJ:k8Z6L05lTy4C,"It is widely reported that partisanship in the United States Congress is at an historic high. Given that individuals are persuaded to follow party lines while having the opportunity and incentives to collaborate with members of the opposite party, our goal is to measure the extent to which legislators tend to form ideological relationships with members of the opposite party. We quantify the level of cooperation, or lack thereof, between Democrat and Republican Party members in the U.S. House of Representatives from 1949–2012. We define a network of over 5 million pairs of representatives, and compare the mutual agreement rates on legislative decisions between two distinct types of pairs: those from the same party and those formed of members from different parties. We find that despite short-term fluctuations, partisanship or non-cooperation in the U.S. Congress has been increasing exponentially for over 60 years with no sign of abating or reversing. Yet, a group of representatives continue to cooperate across party lines despite growing partisanship."
3,Uncovering cabdrivers’ behavior patterns from their digital traces,295,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=D9jCEIkAAAAJ&pagesize=50&citation_for_view=D9jCEIkAAAAJ:u-x6o8ySG0sC,"Recognizing high-level human behavior and decisions from their digital traces are critical issues in pervasive computing systems. In this paper, we develop a novel methodology to reveal cabdrivers’ operation patterns by analyzing their continuous digital traces. For the first time, we systematically study large scale cabdrivers’ behavior in a real and complex city context through their daily digital traces. We identify a set of valuable features, which are simple and effective to classify cabdrivers, delineate cabdrivers’ operation patterns and compare the different cabdrivers’ behavior. The methodology and steps could spatially and temporally quantify, visualize, and examine different cabdrivers’ operation patterns. Drivers were categorized into top drivers and ordinary drivers by their daily income. We use the daily operations of 3000 cabdrivers in over 48 million of trips and 240 million kilometers to uncover: (1) spatial …"
4,Discovering spatial patterns in origin‐destination mobility data,245,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=D9jCEIkAAAAJ&pagesize=50&citation_for_view=D9jCEIkAAAAJ:Y0pCki6q_DkC,"Mobility and spatial interaction data have become increasingly available due to the wide adoption of location‐aware technologies. Examples of mobility data include human daily activities, vehicle trajectories, and animal movements, among others. In this article we focus on a special type of mobility data, i.e. origin‐destination pairs, and present a new approach to the discovery and understanding of spatio‐temporal patterns in the movements. Specifically, to extract information from complex connections among a large number of point locations, the approach involves two steps: (1) spatial clustering of massive GPS points to recognize potentially meaningful places; and (2) extraction and mapping of the flow measures of clusters to understand the spatial distribution and temporal trends of movements. We present a case study with a large dataset of taxi trajectories in Shenzhen, China to demonstrate and evaluate the …"
5,Integrating Social Networks into GISystems,154,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=D9jCEIkAAAAJ&pagesize=50&citation_for_view=D9jCEIkAAAAJ:NXb4pA-qfm4C,"Today, online social media outlets provide new and plentiful sources of data on social networks (SNs) and location-based social networks (LBSNs), i.e., geolocated evidence of connections between individuals. While SNs have been used to show how the magnitude of social connectivity decreases with distance, there are few examples of how to include SNs as layers in a GISystem. If SNs, and thus, interpersonal relationships, could be analyzed in a geographic information system (GIS) setting, we could better model how humans socialize, share information, and form social groups within the complex geographic landscape.Our goal is to facilitate a guide for analyzing SNs (as derived from online social media, telecommunications, surveys, etc.) within geographic space by combining the mature fields of social network analysis (SNA) and GISystems. First, we describe why modeling socialization in geographic space …"
6,"Points of Interest (POI): A commentary on the state of the art, challenges, and prospects for the future",147,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=D9jCEIkAAAAJ&pagesize=50&citation_for_view=D9jCEIkAAAAJ:OBSaB-F7qqsC,"In this commentary, we describe the current state of the art of points of interest (POIs) as digital, spatial datasets, both in terms of their quality and affordings, and how they are used across research domains. We argue that good spatial coverage and high-quality POI features — especially POI category and temporality information — are key for creating reliable data. We list challenges in POI geolocation and spatial representation, data fidelity, and POI attributes, and address how these challenges may affect the results of geospatial analyses of the built environment for applications in public health, urban planning, sustainable development, mobility, community studies, and sociology. This commentary is intended to shed more light on the importance of POIs both as standalone spatial datasets and as input to geospatial analyses."
7,trajGANs: Using generative adversarial networks for geo-privacy protection of trajectory data (Vision paper),90,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=D9jCEIkAAAAJ&pagesize=50&citation_for_view=D9jCEIkAAAAJ:U4n9YNQMCAIC,"In this vision paper, we propose the trajGANs framework and address the potential of using generative adversarial networks for geo-privacy protection of trajectory data. Our goal is to provide a geoprivacy protection layer for trajectory data publication and usage by generating synthetic trajectories that can preserve the summary properties of real data and have close-to-real-data performance in analysis tasks. We summarize the trajectory types in geo-privacy protection and the possible data generation scenarios. We also provide validation metrics and address the possible challenges of implementing trajGANs."
8,Revealing taxi driver's mobility intelligence through his trace,89,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=D9jCEIkAAAAJ&pagesize=50&citation_for_view=D9jCEIkAAAAJ:M7yex6snE4oC,"This study develops a methodology for the analysis of taxi drivers’ operation behavior in a real urban environment. The research objective is to spatially and temporally quantify, visualize, and examine taxi drivers’ operational behavior and skill (as measured by income), which the authors call ‘mobility intelligence’. For the first time, taxi drivers’ different operation strategies were systematically analyzed through their daily activity traces. Routes and economic behavior data were collected with the use of Global Positioning System (GPS) and a set of spatiotemporal analysis tools were developed. Drivers are categorized by their daily income into top drivers and ordinary drivers. A 3D clustering technique is used to quantitatively analyze the spatiotemporal patterns for top driver and ordinary driver. Also, fractal analysis is employed to quantify tortuosity of movement paths and to explore how top and ordinary drivers …"
9,"Real-time, interactive website for US-county-level COVID-19 event risk assessment",85,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=D9jCEIkAAAAJ&pagesize=50&citation_for_view=D9jCEIkAAAAJ:3NQIlFlcGxIC,"Large events and gatherings, particularly those taking place indoors, have been linked to multitransmission events that have accelerated the pandemic spread of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). To provide real-time, geolocalized risk information, we developed an interactive online dashboard that estimates the risk that at least one individual with SARS-CoV-2 is present in gatherings of different sizes in the United States. The website combines documented case reports at the county level with ascertainment bias information obtained via population-wide serological surveys to estimate real-time circulating, per-capita infection rates. These rates are updated daily as a means to visualize the risk associated with gatherings, including county maps and state-level plots. The website provides data-driven information to help individuals and policy makers make prudent decisions (for example …"
10,Metrics for characterizing network structure and node importance in Spatial Social Networks,59,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=D9jCEIkAAAAJ&pagesize=50&citation_for_view=D9jCEIkAAAAJ:7BrZ7Jt4UNcC,"Social Network Analysis offers powerful tools to analyze the structure of relationships between a set of people. However, the addition of spatial information poses new challenges, as nodes are embedded simultaneously in network space and Euclidean space. While nearby nodes may not form social ties, ties may exist at a distance, a configuration ill-suited for traditional spatial metrics that assume adjacent objects are related. As such, there are relatively few metrics to describe these nuanced situations. We advance the burgeoning field of spatial social network analysis by introducing a set of new metrics. Specifically, we introduce the spatial social network schema, tuning parameter and the flattening ratio, each of which leverages the notion of ‘distance’ to augment insights obtained by relying on topology alone. These methods are used to answer the questions: What is the social and spatial structure of the network …"
