Rank,Title,Citations,Year,URL,Description
1,Quantifying privacy risks of masked language models using membership inference attacks,274,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lz6-_iIAAAAJ&pagesize=50&citation_for_view=Lz6-_iIAAAAJ:vV6vV6tmYwMC,"The wide adoption and application of Masked language models (MLMs) on sensitive data (from legal to medical) necessitates a thorough quantitative investigation into their privacy vulnerabilities. Prior attempts at measuring leakage of MLMs via membership inference attacks have been inconclusive, implying potential robustness of MLMs to privacy attacks. In this work, we posit that prior attempts were inconclusive because they based their attack solely on the MLM’s model score. We devise a stronger membership inference attack based on likelihood ratio hypothesis testing that involves an additional reference MLM to more accurately quantify the privacy risks of memorization in MLMs. We show that masked language models are indeed susceptible to likelihood ratio membership inference attacks: Our empirical results, on models trained on medical notes, show that our attack improves the AUC of prior membership inference attacks from 0.66 to an alarmingly high 0.90 level."
2,Panphon: A resource for mapping IPA segments to articulatory feature vectors,212,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lz6-_iIAAAAJ&pagesize=50&citation_for_view=Lz6-_iIAAAAJ:hMod-77fHWUC,"This paper contributes to a growing body of evidence that—when coupled with appropriate machine-learning techniques–linguistically motivated, information-rich representations can outperform one-hot encodings of linguistic data. In particular, we show that phonological features outperform character-based models. PanPhon is a database relating over 5,000 IPA segments to 21 subsegmental articulatory features. We show that this database boosts performance in various NER-related tasks. Phonologically aware, neural CRF models built on PanPhon features are able to perform better on monolingual Spanish and Turkish NER tasks that character-based models. They have also been shown to work well in transfer models (as between Uzbek and Turkish). PanPhon features also contribute measurably to Orthography-to-IPA conversion tasks."
3,Identifying metaphorical word use with tree kernels,108,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lz6-_iIAAAAJ&pagesize=50&citation_for_view=Lz6-_iIAAAAJ:u5HHmVD_uO8C,"A metaphor is a figure of speech that refers to one concept in terms of another, as in “He is such a sweet person”. Metaphors are ubiquitous and they present NLP with a range of challenges for WSD, IE, etc. Identifying metaphors is thus an important step in language understanding. However, since almost any word can serve as a metaphor, they are impossible to list. To identify metaphorical use, we assume that it results in unusual semantic patterns between the metaphor and its dependencies. To identify these cases, we use SVMs with tree-kernels on a balanced corpus of 3872 instances, created by bootstrapping from available metaphor lists. 1 We outperform two baselines, a sequential and a vectorbased approach, and achieve an F1-score of 0.75."
4,Mix and match: Learning-free controllable text generationusing energy language models,98,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lz6-_iIAAAAJ&pagesize=50&citation_for_view=Lz6-_iIAAAAJ:35N4QoGY0k4C,"Recent work on controlled text generation has either required attribute-based fine-tuning of the base language model (LM), or has restricted the parameterization of the attribute discriminator to be compatible with the base autoregressive LM. In this work, we propose Mix and Match LM, a global score-based alternative for controllable text generation that combines arbitrary pre-trained black-box models for achieving the desired attributes in the generated text without involving any fine-tuning or structural assumptions about the black-box models. We interpret the task of controllable generation as drawing samples from an energy-based model whose energy values are a linear combination of scores from black-box models that are separately responsible for fluency, the control attribute, and faithfulness to any conditioning context. We use a Metropolis-Hastings sampling scheme to sample from this energy-based model using bidirectional context and global attribute features. We validate the effectiveness of our approach on various controlled generation and style-based text revision tasks by outperforming recently proposed methods that involve extra training, fine-tuning, or restrictive assumptions over the form of models."
5,Exposing the Implicit Energy Networks behind Masked Language Models via Metropolis--Hastings,60,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lz6-_iIAAAAJ&pagesize=50&citation_for_view=Lz6-_iIAAAAJ:J_g5lzvAfSwC,"While recent work has shown that scores from models trained by the ubiquitous masked language modeling (MLM) objective effectively discriminate probable from improbable sequences, it is still an open question if these MLMs specify a principled probability distribution over the space of possible sequences. In this paper, we interpret MLMs as energy-based sequence models and propose two energy parametrizations derivable from the trained MLMs. In order to draw samples correctly from these models, we develop a tractable sampling scheme based on the Metropolis--Hastings Monte Carlo algorithm. In our approach, samples are proposed from the same masked conditionals used for training the masked language models, and they are accepted or rejected based on their energy values according to the target distribution. We validate the effectiveness of the proposed parametrizations by exploring the quality of samples drawn from these energy-based models for both open-ended unconditional generation and a conditional generation task of machine translation. We theoretically and empirically justify our sampling algorithm by showing that the masked conditionals on their own do not yield a Markov chain whose stationary distribution is that of our target distribution, and our approach generates higher quality samples than other recently proposed undirected generation approaches (Wang et al., 2019, Ghazvininejad et al., 2019)."
6,Differentiable scheduled sampling for credit assignment,50,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lz6-_iIAAAAJ&pagesize=50&citation_for_view=Lz6-_iIAAAAJ:YFjsv_pBGBYC,"We demonstrate that a continuous relaxation of the argmax operation can be used to create a differentiable approximation to greedy decoding in sequence-to-sequence (seq2seq) models. By incorporating this approximation into the scheduled sampling training procedure–a well-known technique for correcting exposure bias–we introduce a new training objective that is continuous and differentiable everywhere and can provide informative gradients near points where previous decoding decisions change their value. By using a related approximation, we also demonstrate a similar approach to sampled-based training. We show that our approach outperforms both standard cross-entropy training and scheduled sampling procedures in two sequence prediction tasks: named entity recognition and machine translation."
7,A continuous relaxation of beam search for end-to-end training of neural sequence models,47,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lz6-_iIAAAAJ&pagesize=50&citation_for_view=Lz6-_iIAAAAJ:GnPB-g6toBAC,"Beam search is a desirable choice of test-time decoding algorithm for neural sequence models because it potentially avoids search errors made by simpler greedy methods. However, typical cross entropy training procedures for these models do not directly consider the behaviour of the final decoding method. As a result, for cross-entropy trained models, beam decoding can sometimes yield reduced test performance when compared with greedy decoding. In order to train models that can more effectively make use of beam search, we propose a new training procedure that focuses on the final loss metric (eg Hamming loss) evaluated on the output of beam search. While well-defined, this"" direct loss"" objective is itself discontinuous and thus difficult to optimize. Hence, in our approach, we form a sub-differentiable surrogate objective by introducing a novel continuous approximation of the beam search decoding procedure. In experiments, we show that optimizing this new training objective yields substantially better results on two sequence tasks (Named Entity Recognition and CCG Supertagging) when compared with both cross entropy trained greedy decoding and cross entropy trained beam decoding baselines."
8,A structured distributional semantic model for event co-reference,27,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lz6-_iIAAAAJ&pagesize=50&citation_for_view=Lz6-_iIAAAAJ:d1gkVwhDpl0C,"In this paper we present a novel approach to modelling distributional semantics that represents meaning as distributions over relations in syntactic neighborhoods. We argue that our model approximates meaning in compositional configurations more effectively than standard distributional vectors or bag-of-words models. We test our hypothesis on the problem of judging event coreferentiality, which involves compositional interactions in the predicate-argument structure of sentences, and demonstrate that our model outperforms both state-of-the-art window-based word embeddings as well as simple approaches to compositional semantics previously employed in the literature."
9,An empirical investigation of global and local normalization for recurrent neural sequence models using a continuous relaxation to beam search,17,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lz6-_iIAAAAJ&pagesize=50&citation_for_view=Lz6-_iIAAAAJ:O3NaXMp0MMsC,"Globally normalized neural sequence models are considered superior to their locally normalized equivalents because they may ameliorate the effects of label bias. However, when considering high-capacity neural parametrizations that condition on the whole input sequence, both model classes are theoretically equivalent in terms of the distributions they are capable of representing. Thus, the practical advantage of global normalization in the context of modern neural methods remains unclear. In this paper, we attempt to shed light on this problem through an empirical study. We extend an approach for search-aware training via a continuous relaxation of beam search (Goyal et al., 2017b) in order to enable training of globally normalized recurrent sequence models through simple backpropagation. We then use this technique to conduct an empirical study of the interaction between global normalization, high-capacity encoders, and search-aware optimization. We observe that in the context of inexact search, globally normalized neural models are still more effective than their locally normalized counterparts. Further, since our training approach is sensitive to warm-starting with pre-trained models, we also propose a novel initialization strategy based on self-normalization for pre-training globally normalized models. We perform analysis of our approach on two tasks: CCG supertagging and Machine Translation, and demonstrate the importance of global normalization under different conditions while using search-aware training."
10,Unsupervised Word Sense Induction using Distributional Statistics,17,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lz6-_iIAAAAJ&pagesize=50&citation_for_view=Lz6-_iIAAAAJ:2osOgNQ5qMEC,"Word sense induction is an unsupervised task to find and characterize different senses of polysemous words. This work investigates two unsupervised approaches that focus on using distributional word statistics to cluster the contextual information of the target words using two different algorithms involving latent dirichlet allocation and spectral clustering. Using a large corpus for achieving this task, we quantitatively analyze our clusters on the Semeval-2010 dataset and also perform a qualitative analysis of our induced senses. Our results indicate that our methods successfully characterized the senses of the target words and were also able to find unconventional senses for those words."
11,Named entity recognition for linguistic rapid response in low-resource languages: Sorani Kurdish and Tajik,14,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lz6-_iIAAAAJ&pagesize=50&citation_for_view=Lz6-_iIAAAAJ:NMxIlDl6LWMC,"This paper describes our construction of named-entity recognition (NER) systems in two Western Iranian languages, Sorani Kurdish and Tajik, as a part of a pilot study of “Linguistic Rapid Response” to potential emergency humanitarian relief situations. In the absence of large annotated corpora, parallel corpora, treebanks, bilingual lexica, etc., we found the following to be effective: exploiting distributional regularities in monolingual data, projecting information across closely related languages, and utilizing human linguist judgments. We show promising results on both a four-month exercise in Sorani and a two-day exercise in Tajik, achieved with minimal annotation costs."
12,"Bridge-language capitalization inference in western iranian: Sorani, kurmanji, zazaki, and tajik",13,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lz6-_iIAAAAJ&pagesize=50&citation_for_view=Lz6-_iIAAAAJ:JV2RwH3_ST0C,"In Sorani Kurdish, one of the most useful orthographic features in named-entity recognition–capitalization–is absent, as the language’s Perso-Arabic script does not make a distinction between uppercase and lowercase letters. We describe a system for deriving an inferred capitalization value from closely related languages by phonological similarity, and illustrate the system using several related Western Iranian languages."
13,A probabilistic generative model for typographical analysis of early modern printing,11,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lz6-_iIAAAAJ&pagesize=50&citation_for_view=Lz6-_iIAAAAJ:RGFaLdJalmkC,"We propose a deep and interpretable probabilistic generative model to analyze glyph shapes in printed Early Modern documents. We focus on clustering extracted glyph images into underlying templates in the presence of multiple confounding sources of variance. Our approach introduces a neural editor model that first generates well-understood printing phenomena like spatial perturbations from template parameters via interpertable latent variables, and then modifies the result by generating a non-interpretable latent vector responsible for inking variations, jitter, noise from the archiving process, and other unforeseen phenomena associated with Early Modern printing. Critically, by introducing an inference network whose input is restricted to the visual residual between the observation and the interpretably-modified template, we are able to control and isolate what the vector-valued latent variable captures. We show that our approach outperforms rigid interpretable clustering baselines (cf Ocular) and overly-flexible deep generative models (VAE) alike on the task of completely unsupervised discovery of typefaces in mixed-fonts documents."
14,A structured distributional semantic model: Integrating structure with semantics,7,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lz6-_iIAAAAJ&pagesize=50&citation_for_view=Lz6-_iIAAAAJ:9yKSN-GCB0IC,"In this paper we present a novel approach (SDSM) that incorporates structure in distributional semantics. SDSM represents meaning as relation specific distributions over syntactic neighborhoods. We empirically show that the model can effectively represent the semantics of single words and provides significant advantages when dealing with phrasal units that involve word composition. In particular, we demonstrate that our model outperforms both state-of-the-art window-based word embeddings as well as simple approaches for composing distributional semantic representations on an artificial task of verb sense disambiguation and a real-world application of judging event coreference."
15,Testing the limits of neural sentence alignment models on classical greek and latin texts and translations,5,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lz6-_iIAAAAJ&pagesize=50&citation_for_view=Lz6-_iIAAAAJ:M05iB0D1s5AC,"The Greek and Latin classics, like many other ancient texts, have been widely translated into a variety of languages over the past two millennia. Although many digital editions and libraries contain one or two translations for a given text, about one hundred translations of the Iliad and twenty of Herodotus, for example, exist in English alone. Aligning the corpus of classical texts and translations at the sentence and word level would provide a valuable resource for studying translation theory, digital humanities, and natural language processing (NLP). Precise and faithful sentence alignment via computational methods, however, remains a challenging problem. Current alignment methods tend to have poor coverage and recall since their primary aim is to extract single sentence pairs for training machine translation systems. This paper evaluates and examines the limits of such state-of-the-art models for cross-language sentence embedding and alignment of ancient Greek and Latin texts with translations into English, French, German, and Persian. We release evaluation data for Plato’s Crito, manually annotated at the word and sentence level, and larger test datasets based on coarser structural metadata for Thucydides (Greek) and Lucretius (Latin). Testing LASER and LaBSE for sentence embedding and nearest-neighbor retrieval and Vecalign for sentence alignment, we found best results using LaBSE-Vecalign. LaBSE worked surprisingly well on ancient Greek, most probably because it had been merged with modern Greek data in its training. Both LASER-Vecalign and LaBSE-Vecalign did best when there were many ground-truth one-to-one …"
16,Contrastive attention networks for attribution of early modern print,4,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lz6-_iIAAAAJ&pagesize=50&citation_for_view=Lz6-_iIAAAAJ:ldfaerwXgEUC,"In this paper, we develop machine learning techniques to identify unknown printers in early modern (c.~ 1500--1800) English printed books. Specifically, we focus on matching uniquely damaged character type-imprints in anonymously printed books to works with known printers in order to provide evidence of their origins. Until now, this work has been limited to manual investigations by analytical bibliographers. We present a Contrastive Attention-based Metric Learning approach to identify similar damage across character image pairs, which is sensitive to very subtle differences in glyph shapes, yet robust to various confounding sources of noise associated with digitized historical books. To overcome the scarce amount of supervised data, we design a random data synthesis procedure that aims to simulate bends, fractures, and inking variations induced by the early printing process. Our method successfully improves downstream damaged type-imprint matching among printed works from this period, as validated by in-domain human experts. The results of our approach on two important philosophical works from the Early Modern period demonstrate potential to extend the extant historical research about the origins and content of these books."
