Rank,Title,Citations,Year,URL,Description
1,Scalable algorithms for molecular dynamics simulations on commodity clusters,4414,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jGqGKGMAAAAJ&pagesize=50&citation_for_view=jGqGKGMAAAAJ:mVmsd5A6BfQC,"Although molecular dynamics (MD) simulations of biomolecular systems often run for days to months, many events of great scientific interest and pharmaceutical relevance occur on long time scales that remain beyond reach. We present several new algorithms and implementation techniques that significantly accelerate parallel MD simulations compared with current state-of-the-art codes. These include a novel parallel decomposition method and message-passing techniques that reduce communication requirements, as well as novel communication primitives that further reduce communication time. We have also developed numerical techniques that maintain high accuracy while using single precision computation in order to exploit processor-level vector instructions. These methods are embodied in a newly developed MD code called Desmond that achieves unprecedented simulation throughput and parallel …"
2,Millisecond-scale molecular dynamics simulations on Anton,740,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jGqGKGMAAAAJ&pagesize=50&citation_for_view=jGqGKGMAAAAJ:yD5IFk8b50cC,"Anton is a recently completed special-purpose supercomputer designed for molecular dynamics (MD) simulations of biomolecular systems. The machine's specialized hardware dramatically increases the speed of MD calculations, making possible for the first time the simulation of biological molecules at an atomic level of detail for periods on the order of a millisecond---about two orders of magnitude beyond the previous state of the art. Anton is now running simulations on a timescale at which many critically important, but poorly understood phenomena are known to occur, allowing the observation of aspects of protein dynamics that were previously inaccessible to both computational and experimental study. Here, we report Anton's performance when executing actual MD simulations whose accuracy has been validated against both existing MD software and experimental observations. We also discuss the manner …"
3,Approximate inverse preconditioners via sparse-sparse iterations,396,1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jGqGKGMAAAAJ&pagesize=50&citation_for_view=jGqGKGMAAAAJ:Y0pCki6q_DkC,"The standard incomplete LU (ILU) preconditioners often fail for general sparse indefinite matrices because they give rise to ""unstable"" factors L and U. In such cases, it may be attractive to approximate the inverse of the matrix directly. This paper focuses on approximate inverse preconditioners based on minimizing ||I-AM||F, where AM is the preconditioned matrix. An iterative descent-type method is used to approximate each column of the inverse. For this approach to be efficient, the iteration must be done in sparse mode, i.e., with ""sparse-matrix by sparse-vector"" operations. Numerical dropping is applied to maintain sparsity; compared to previous methods, this is a natural way to determine the sparsity pattern of the approximate inverse. This paper describes Newton, ""global,"" and column-oriented algorithms, and discusses options for initial guesses, self-preconditioning, and dropping strategies. Some limited …"
4,A scalable distributed parallel breadth-first search algorithm on BlueGene/L,371,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jGqGKGMAAAAJ&pagesize=50&citation_for_view=jGqGKGMAAAAJ:aqlVkmm33-oC,"Many emerging large-scale data science applications require searching large graphs distributed across multiple memories and processors. This paper presents a distributed breadth- first search (BFS) scheme that scales for random graphs with up to three billion vertices and 30 billion edges. Scalability was tested on IBM BlueGene/L with 32,768 nodes at the Lawrence Livermore National Laboratory. Scalability was obtained through a series of optimizations, in particular, those that ensure scalable use of memory. We use 2D (edge) partitioning of the graph instead of conventional 1D (vertex) partitioning to reduce communication overhead. For Poisson random graphs, we show that the expected size of the messages is scalable for both 2D and 1D partitionings. Finally, we have developed efficient collective communication functions for the 3D torus architecture of BlueGene/L that also take advantage of the structure …"
5,Experimental study of ILU preconditioners for indefinite matrices,349,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jGqGKGMAAAAJ&pagesize=50&citation_for_view=jGqGKGMAAAAJ:YFjsv_pBGBYC,"Incomplete LU factorization preconditioners have been surprisingly successful for many cases of general nonsymmetric and indefinite matrices. However, their failure rate is still too high for them to be useful as black-box library software for general matrices. Besides fatal breakdowns due to zero pivots, the major causes of failure are inaccuracy, and instability of the triangular solves. When there are small pivots, both these problems can occur, but these problems can also occur without small pivots. Through examples from actual problems, this paper shows how these problems evince themselves, how these problems can be detected, and how these problems can sometimes be circumvented through pivoting, reordering, scaling, perturbing diagonal elements, and preserving symmetric structure. The goal of this paper is to gain a better practical understanding of ILU preconditioners and help improve their reliability."
6,Efficient sparse matrix-vector multiplication on x86-based many-core processors,336,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jGqGKGMAAAAJ&pagesize=50&citation_for_view=jGqGKGMAAAAJ:r0BpntZqJG4C,"Sparse matrix-vector multiplication (SpMV) is an important kernel in many scientific applications and is known to be memory bandwidth limited. On modern processors with wide SIMD and large numbers of cores, we identify and address several bottlenecks which may limit performance even before memory bandwidth: (a) low SIMD efficiency due to sparsity, (b) overhead due to irregular memory accesses, and (c) load-imbalance due to non-uniform matrix structures. We describe an efficient implementation of SpMV on the IntelR Xeon PhiTM Coprocessor, codenamed Knights Corner (KNC), that addresses the above challenges. Our implementation exploits the salient architectural features of KNC, such as large caches and hardware support for irregular memory accesses. By using a specialized data structure with careful load balancing, we attain performance on average close to 90% of KNC's achievable memory …"
7,Proceedings of the 2006 ACM/IEEE Conference on Supercomputing,314,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jGqGKGMAAAAJ&pagesize=50&citation_for_view=jGqGKGMAAAAJ:xtRiw3GOFMkC,Description not available
8,A priori sparsity patterns for parallel sparse approximate inverse preconditioners,309,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jGqGKGMAAAAJ&pagesize=50&citation_for_view=jGqGKGMAAAAJ:ZHo1McVdvXMC,"Parallel algorithms for computing sparse approximations to the inverse of a sparse matrix either use a prescribed sparsity pattern for the approximate inverse or attempt to generate a good pattern as part of the algorithm. This paper demonstrates that, for PDE problems, the patterns of powers of sparsified matrices (PSMs) can be used a priori as effective approximate inverse patterns, and that the additional effort of adaptive sparsity pattern calculations may not be required. PSM patterns are related to various other approximate inverse sparsity patterns through matrix graph theory and heuristics concerning the PDE's Green's function. A parallel implementation shows that PSM-patterned approximate inverses are significantly faster to construct than approximate inverses constructed adaptively, while often giving preconditioners of comparable quality."
9,Fine-grained parallel incomplete LU factorization,275,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jGqGKGMAAAAJ&pagesize=50&citation_for_view=jGqGKGMAAAAJ:R3hNpaxXUhUC,"This paper presents a new fine-grained parallel algorithm for computing an incomplete LU factorization. All nonzeros in the incomplete factors can be computed in parallel and asynchronously, using one or more sweeps that iteratively improve the accuracy of the factorization. Unlike existing parallel algorithms, the amount of parallelism is large irrespective of the ordering of the matrix, and matrix ordering can be used to enhance the accuracy of the factorization rather than to increase parallelism. Numerical tests show that very few sweeps are needed to construct a factorization that is an effective preconditioner."
10,Detecting insider threats in a real corporate database of computer usage activity,192,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jGqGKGMAAAAJ&pagesize=50&citation_for_view=jGqGKGMAAAAJ:Zph67rFs4hoC,"This paper reports on methods and results of an applied research project by a team consisting of SAIC and four universities to develop, integrate, and evaluate new approaches to detect the weak signals characteristic of insider threats on organizations' information systems. Our system combines structural and semantic information from a real corporate database of monitored activity on their users' computers to detect independently developed red team inserts of malicious insider activities. We have developed and applied multiple algorithms for anomaly detection based on suspected scenarios of malicious insider behavior, indicators of unusual activities, high-dimensional statistical patterns, temporal sequences, and normal graph evolution. Algorithms and representations for dynamic graph processing provide the ability to scale as needed for enterprise-level deployments on real-time data streams. We have also …"
