Rank,Title,Citations,Year,URL,Description
1,Towards {IoT-DDoS} prevention using edge computing,135,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vlV_GoEAAAAJ&pagesize=50&citation_for_view=vlV_GoEAAAAJ:_FxGoFyzp5QC,"Application-level DDoS attacks mounted using compromised IoT devices are emerging as a critical problem. The application-level and seemingly legitimate nature of traffic in such attacks renders most existing solutions ineffective, and the sheer amount and distribution of the generated traffic make mitigation extremely costly. This paper proposes a new approach which leverages edge computing to deploy edge functions that gather information about incoming traffic and communicate that information via a fast-path with a nearby detection service. This accelerates the detection and the arrest of such attacks, limiting their damaging impact. Preliminary investigation shows promise for up to 10x faster detection that reduces up to 82% of the Internet traffic due to IoT-DDoS."
2,"Fast, scalable and secure onloading of edge functions using airbox",88,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vlV_GoEAAAAJ&pagesize=50&citation_for_view=vlV_GoEAAAAJ:YsMSGLbcyi4C,"This paper argues for the utility of back-end driven onloading to the edge as a way to address bandwidth use and latency challenges for future device-cloud interactions. Supporting such edge functions (EFs) requires solutions that can provide (i) fast and scalable EF provisioning and (ii) strong guarantees for the integrity of the EF execution and confidentiality of the state stored at the edge. In response to these goals, we (i) present a detailed design space exploration of the current technologies that can be leveraged in the design of edge function platforms (EFPs), (ii) develop a solution to address security concerns of EFs that leverages emerging hardware support for OS agnostic trusted execution environments such as Intel SGX enclaves, and (iii) propose and evaluate AirBox, a platform for fast, scalable and secure onloading of edge functions."
3,Couper: Dnn model slicing for visual analytics containers at the edge,80,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vlV_GoEAAAAJ&pagesize=50&citation_for_view=vlV_GoEAAAAJ:3fE2CSJIrl8C,"Applications incorporating DNN-based visual analytics are growing in demand. This class of data-intensive and latency-sensitive workloads has an opportunity to benefit from the emerging edge computing tier. However, to decouple the growing resource demand of DNN models, from the characteristics and resource limitations of the infrastructure elements available at the edge, new methods are needed to quickly slice the DNNs into appropriately-sized components, and to deploy those DNN slices to be executed on the edge infrastructure stacks. This paper presents Couper, a practical solution that provides for quick creation of slices of production DNNs for visual analytics, and enables their deployment in contemporary container-based edge software stacks. Couper is evaluated with 7 production DNNs, under varying edge configurations."
4,Creation and delivery of pre-rendered web pages for accelerated browsing,63,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vlV_GoEAAAAJ&pagesize=50&citation_for_view=vlV_GoEAAAAJ:zYLM7Y9cAGgC,"The process of rendering web pages can be significantly improved with a content delivery system that pre-renders web content for a client device. A web page “program'can be pre-executed and the result delivered to a requesting client device, rather than or before sending a traditional set of web page components, such as a markup language document, cascading style sheets, embedded objects. This pre-execution can relieve the client device of the burden of rendering the web page, saving resources and decreasing latency before the web page is ready, and can reduce the number of network requests that the client device must make before being able to display the page. Disclosed herein are methods, systems, and devices for creating and delivering pre-rendered web pages for accelerated browsing."
5,Personal clouds: Sharing and integrating networked resources to enhance end user experiences,53,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vlV_GoEAAAAJ&pagesize=50&citation_for_view=vlV_GoEAAAAJ:u5HHmVD_uO8C,"End user experiences on mobile devices with their rich sets of sensors are constrained by limited device battery lives and restricted form factors, as well as by the `scope' of the data available locally. The `Personal Cloud' distributed software abstractions address these issues by enhancing the capabilities of a mobile device via seamless use of both nearby and remote cloud resources. In contrast to vendor-specific, middleware-based cloud solutions, Personal Cloud instances are created at hypervisor-level, to create for each end user the federation of networked resources best suited for the current environment and use. Specifically, the Cirrostratus extensions of the Xen hypervisor can federate a user's networked resources to establish a personal execution environment, governed by policies that go beyond evaluating network connectivity to also consider device ownership and access rights, the latter managed in a …"
6,Toward Loosely Coupled Orchestration for the {LEO} Satellite Edge,39,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vlV_GoEAAAAJ&pagesize=50&citation_for_view=vlV_GoEAAAAJ:KlAtU1dfN6UC,"Low Earth Orbit (LEO) satellites are envisioned to be capable of providing Internet services for billions of users who currently lack reliable Internet connectivity. This calls for a new LEO edge capable of providing edge computing benefits from space. This paper proposes an orchestration approach for the LEO edge that incorporates path models, temporal compensation and affinity chains as the primary scheduling constructs, and presents preliminary results that illustrate opportunities for achieving improved service availability and improved performance for a stateful (caching) edge function."
7,Ecc: Edge cloud composites,33,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vlV_GoEAAAAJ&pagesize=50&citation_for_view=vlV_GoEAAAAJ:9yKSN-GCB0IC,"With an ever increasing number of networked devices used in mobile settings, or residing in homes, offices, and elsewhere, there is a plethora of potential computational infrastructure available for providing end users with new functionality and improved experiences for their interactions with the cyber physical world. The goal of our research is to permit end user applications to take advantage of dynamically available, local and remote computational infrastructure, without requiring applications to be explicitly rewritten and/or reconfigured for each scenario and with minimal end user intervention. Edge Cloud Composites (ECC) make possible the dynamic creation of virtual computational platforms that (i) can be composed from specific capabilities - competences - of participating devices, (ii) are guided by end user-centric abstractions capturing current user context and user intent, and (iii) use dynamic methods for …"
8,Toward lighter containers for the edge,30,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vlV_GoEAAAAJ&pagesize=50&citation_for_view=vlV_GoEAAAAJ:Zph67rFs4hoC,"Edge computing environments, being resource-limited, cannot tolerate the bloat in size of edge applications due to use of thick, complex software runtimes and hardware acceleration support. But such capabilities are critical to support rich, diverse and high performance applications. Performance includes deployment time, responsiveness and scalability, and is impacted by the bloat if using cloud-native container-based systems at the edge. If not addressed, this will limit the ability of the edge to scale to increasing number of workloads. This paper makes a case for a new featherweight system–Pocket–to support edge computing. Pocket addresses the limitations in current container-based systems while retaining their benefits. Pocket achieves this by splitting containerized applications into two parts: application container and a bloat-causing execution environment container. Experimental evaluations of an early prototype show that by sharing the execution environment containers across multiple application containers, Pocket is able to achieve significant reductions of the resource pressure at the edge, thus presenting a path toward greater efficiency and scalability for edge computing."
9,A characterization of route variability in LEO satellite networks,29,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vlV_GoEAAAAJ&pagesize=50&citation_for_view=vlV_GoEAAAAJ:4DMP91E08xMC,"LEO satellite networks possess highly dynamic topologies, with satellites moving at 27,000 km/hour to maintain their orbit. As satellites move, the characteristics of the satellite network routes change, triggering rerouting events. Frequent rerouting can cause poor performance for path-adaptive algorithms (e.g., congestion control). In this paper, we provide a thorough characterization of route variability in LEO satellite networks, focusing on route churn and RTT variability. We show that high route churn is common, with most paths used for less than half of their lifetime. With some paths used for just a few seconds. This churn is also unnecessary with rerouting leading to marginal gains in most cases (e.g., less than a 15% reduction in RTT). Moreover, we show that the high route churn is harmful to network utilization and congestion control performance. By examining RTT variability, we find that the smallest achievable RTT …"
10,SOUL: an edge-cloud system for mobile applications in a sensor-rich world,27,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vlV_GoEAAAAJ&pagesize=50&citation_for_view=vlV_GoEAAAAJ:eQOLeE2rZwMC,"With the Internet of Things, sensors are becoming ever more ubiquitous, but interacting with them continues to present numerous challenges, particularly for applications running on resource-constrained devices like smartphones. The SOUL abstractions in this paper address two issues faced by such applications: (1) access to sensors with the levels of convenience needed for their ubiquitous, dynamic use, and only by parties authorized to do so, and (2) scalability in sensor access, given today's multitude of sensors. Toward this end, SOUL, first, introduces a new abstraction for the applications to transparently and uniformly access both on-device and ambient sensors with associated actuators. Second, potentially expensive sensor-related processing needs not just occur on smartphones, but can also leverage edge-and remote-cloud resources. Finally, SOUL provides access control methods that permit users to …"
