Rank,Title,Citations,Year,URL,Description
1,Decision-focused learning without decision-making: Learning locally optimized decision losses,85,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=spWVns8AAAAJ&pagesize=50&citation_for_view=spWVns8AAAAJ:hFOr9nPyWt4C,"Decision-Focused Learning (DFL) is a paradigm for tailoring a predictive model to a downstream optimization task that uses its predictions in order to perform better\textit {on that specific task}. The main technical challenge associated with DFL is that it requires being able to differentiate through the optimization problem, which is difficult due to discontinuous solutions and other challenges. Past work has largely gotten around this this issue by\textit {handcrafting} task-specific surrogates to the original optimization problem that provide informative gradients when differentiated through. However, the need to handcraft surrogates for each new task limits the usability of DFL. In addition, there are often no guarantees about the convexity of the resulting surrogates and, as a result, training a predictive model using them can lead to inferior local optima. In this paper, we do away with surrogates altogether and instead\textit {learn} loss functions that capture task-specific information. To the best of our knowledge, ours is the first approach that entirely replaces the optimization component of decision-focused learning with a loss that is automatically learned. Our approach (a) only requires access to a black-box oracle that can solve the optimization problem and is thus\textit {generalizable}, and (b) can be\textit {convex by construction} and so can be easily optimized over. We evaluate our approach on three resource allocation problems from the literature and find that our approach outperforms learning without taking into account task-structure in all three domains, and even hand-crafted surrogates from the literature."
2,Learning MDPs from Features: Predict-Then-Optimize for Sequential Decision Problems by Reinforcement Learning,56,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=spWVns8AAAAJ&pagesize=50&citation_for_view=spWVns8AAAAJ:0EnyYjriUFMC,Description not available
3,Automatically learning compact quality-aware surrogates for optimization problems,46,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=spWVns8AAAAJ&pagesize=50&citation_for_view=spWVns8AAAAJ:eQOLeE2rZwMC,"Solving optimization problems with unknown parameters often requires learning a predictive model to predict the values of the unknown parameters and then solving the problem using these values. Recent work has shown that including the optimization problem as a layer in the model training pipeline results in predictions of the unobserved parameters that lead to higher decision quality. Unfortunately, this process comes at a large computational cost because the optimization problem must be solved and differentiated through in each training iteration; furthermore, it may also sometimes fail to improve solution quality due to non-smoothness issues that arise when training through a complex optimization layer. To address these shortcomings, we learn a low-dimensional surrogate model of a large optimization problem by representing the feasible space in terms of meta-variables, each of which is a linear combination of the original variables. By training a low-dimensional surrogate model end-to-end, and jointly with the predictive model, we achieve: i) a large reduction in training and inference time; and ii) improved performance by focusing attention on the more important variables in the optimization and learning in a smoother space. Empirically, we demonstrate these improvements on a non-convex adversary modeling task, a submodular recommendation task and a convex portfolio optimization task."
4,Dual-mandate patrols: Multi-armed bandits for green security,45,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=spWVns8AAAAJ&pagesize=50&citation_for_view=spWVns8AAAAJ:_FxGoFyzp5QC,"Conservation efforts in green security domains to protect wildlife and forests are constrained by the limited availability of defenders (ie, patrollers), who must patrol vast areas to protect from attackers (eg, poachers or illegal loggers). Defenders must choose how much time to spend in each region of the protected area, balancing exploration of infrequently visited regions and exploitation of known hotspots. We formulate the problem as a stochastic multi-armed bandit, where each action represents a patrol strategy, enabling us to guarantee the rate of convergence of the patrolling policy. However, a naive bandit approach would compromise short-term performance for long-term optimality, resulting in animals poached and forests destroyed. To speed up performance, we leverage smoothness in the reward function and decomposability of actions. We show a synergy between Lipschitz-continuity and decomposition as each aids the convergence of the other. In doing so, we bridge the gap between combinatorial and Lipschitz bandits, presenting a no-regret approach that tightens existing guarantees while optimizing for short-term performance. We demonstrate that our algorithm, LIZARD, improves performance on real-world poaching data from Cambodia."
5,Coordinating followers to reach better equilibria: End-to-end gradient descent for stackelberg games,41,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=spWVns8AAAAJ&pagesize=50&citation_for_view=spWVns8AAAAJ:hqOjcs7Dif8C,"A growing body of work in game theory extends the traditional Stackelberg game to settings with one leader and multiple followers who play a Nash equilibrium. Standard approaches for computing equilibria in these games reformulate the followers' best response as constraints in the leader's optimization problem. These reformulation approaches can sometimes be effective, but make limiting assumptions on the followers' objectives and the equilibrium reached by followers, eg, uniqueness, optimism, or pessimism. To overcome these limitations, we run gradient descent to update the leader's strategy by differentiating through the equilibrium reached by followers. Our approach generalizes to any stochastic equilibrium selection procedure that chooses from multiple equilibria, where we compute the stochastic gradient by back-propagating through a sampled Nash equilibrium using the solution to a partial differential equation to establish the unbiasedness of the stochastic gradient. Using the unbiased gradient estimate, we implement the gradient-based approach to solve three Stackelberg problems with multiple followers. Our approach consistently outperforms existing baselines to achieve higher utility for the leader."
6,Scalable decision-focused learning in restless multi-armed bandits with application to maternal and child health,40,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=spWVns8AAAAJ&pagesize=50&citation_for_view=spWVns8AAAAJ:MXK_kJrjxJIC,"This paper studies restless multi-armed bandit (RMAB) problems with unknown arm transition dynamics but with known correlated arm features. The goal is to learn a model to predict transition dynamics given features, where the Whittle index policy solves the RMAB problems using predicted transitions. However, prior works often learn the model by maximizing the predictive accuracy instead of final RMAB solution quality, causing a mismatch between training and evaluation objectives. To address this shortcoming, we propose a novel approach for decision-focused learning in RMAB that directly trains the predictive model to maximize the Whittle index solution quality. We present three key contributions:(i) we establish differentiability of the Whittle index policy to support decision-focused learning;(ii) we significantly improve the scalability of decision-focused learning approaches in sequential problems, specifically RMAB problems;(iii) we apply our algorithm to a previously collected dataset of maternal and child health to demonstrate its performance. Indeed, our algorithm is the first for decision-focused learning in RMAB that scales to real-world problem sizes."
7,Strategic coordination of human patrollers and mobile sensors with signaling for security games,40,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=spWVns8AAAAJ&pagesize=50&citation_for_view=spWVns8AAAAJ:u5HHmVD_uO8C,"Traditional security games concern the optimal randomized allocation of human patrollers, who can directly catch attackers or interdict attacks. Motivated by the emerging application of utilizing mobile sensors (eg, UAVs) for patrolling, in this paper we propose the novel Sensor-Empowered security Game (SEG) model which captures the joint allocation of human patrollers and mobile sensors. Sensors differ from patrollers in that they cannot directly interdict attacks, but they can notify nearby patrollers (if any). Moreover, SEGs incorporate mobile sensors' natural functionality of strategic signaling. On the technical side, we first prove that solving SEGs is NP-hard even in zero-sum cases. We then develop a scalable algorithm SEGer based on the branch-and-price framework with two key novelties:(1) a novel MILP formulation for the slave;(2) an efficient relaxation of the problem for pruning. To further accelerate SEGer, we design a faster combinatorial algorithm for the slave problem, which is provably a constant-approximation to the slave problem in zero-sum cases and serves as a useful heuristic for general-sum SEGs. Our experiments demonstrate the significant benefit of utilizing mobile sensors."
8,Efficient Online Reinforcement Learning for Diffusion Policy,36,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=spWVns8AAAAJ&pagesize=50&citation_for_view=spWVns8AAAAJ:f2IySw72cVMC,"Diffusion policies have achieved superior performance in imitation learning and offline reinforcement learning (RL) due to their rich expressiveness. However, the conventional diffusion training procedure requires samples from target distribution, which is impossible in online RL since we cannot sample from the optimal policy. Backpropagating policy gradient through the diffusion process incurs huge computational costs and instability, thus being expensive and not scalable. To enable efficient training of diffusion policies in online RL, we generalize the conventional denoising score matching by reweighting the loss function. The resulting Reweighted Score Matching (RSM) preserves the optimal solution and low computational cost of denoising score matching, while eliminating the need to sample from the target distribution and allowing learning to optimize value functions. We introduce two tractable reweighted loss functions to solve two commonly used policy optimization problems, policy mirror descent and max-entropy policy, resulting in two practical algorithms named Diffusion Policy Mirror Descent (DPMD) and Soft Diffusion Actor-Critic (SDAC). We conducted comprehensive comparisons on MuJoCo benchmarks. The empirical results show that the proposed algorithms outperform recent diffusion-policy online RLs on most tasks, and the DPMD improves more than 120% over soft actor-critic on Humanoid and Ant."
9,Optimistic whittle index policy: Online learning for restless bandits,36,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=spWVns8AAAAJ&pagesize=50&citation_for_view=spWVns8AAAAJ:kNdYIx-mwKoC,"Restless multi-armed bandits (RMABs) extend multi-armed bandits to allow for stateful arms, where the state of each arm evolves restlessly with different transitions depending on whether that arm is pulled. Solving RMABs requires information on transition dynamics, which are often unknown upfront. To plan in RMAB settings with unknown transitions, we propose the first online learning algorithm based on the Whittle index policy, using an upper confidence bound (UCB) approach to learn transition dynamics. Specifically, we estimate confidence bounds of the transition probabilities and formulate a bilinear program to compute optimistic Whittle indices using these estimates. Our algorithm, UCWhittle, achieves sublinear O (H\sqrt {T log T}) frequentist regret to solve RMABs with unknown transitions in T episodes with a constant horizon H. Empirically, we demonstrate that UCWhittle leverages the structure of RMABs and the Whittle index policy solution to achieve better performance than existing online learning baselines across three domains, including one constructed from a real-world maternal and childcare dataset."
10,Scalable Game-Focused Learning of Adversary Models: Data-to-Decisions in Network Security Games.,27,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=spWVns8AAAAJ&pagesize=50&citation_for_view=spWVns8AAAAJ:W7OEmFMy1HYC,"Many real-world security problems present the challenge of how to allocate limited resources to large number of important targets, including infrastructure [14], transportation systems [33], urban crime [48], and web security [43]. Stackelberg security games (SSGs) are frequently used to study the interaction between defender and attacker and optimally allocate the security resources accordingly. Network security games (NSGs)[11, 38, 44], a natural extension of SSGs, describe a strategic adversarial interaction between an attacker and a defender on a graph. The attacker’s goal is to take a path from a starting location to a target without being caught by the defender. The defender declares (ie, attacker surveils) a mixed strategy of how she will deploy her security resources to the edges of the network. NSGs are relevant in many real-world settings such as wildlife conservation [9, 25], infrastructure protection [21], and nuclear material smuggling [29, 34]."
