Rank,Title,Citations,Year,URL,Description
1,Robust multipath routing,336,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FzBDS4gAAAAJ&pagesize=50&citation_for_view=FzBDS4gAAAAJ:2KloaMYe4IUC,"BACKGROUNDNetworks typically provide multiple potential transmis sion paths from a source to a destination. For example, com munication between a personal computer in Boston and a server in Los Angeles may be routed over a ten different (and equally reasonable) paths depending upon how the network is configured and the current traffic loading on each link among the intervening nodes. Routing on the Internet is typically done using a single path selected from among multiple avail able paths with the chosen path determined by various net work administrators. The motivation behind such “ad hoc'routing is to simplify network management, reduce the need to update routing tables at the various nodes, etc., with the overall goal being more efficient network utilization. Rather than selecting a single path for a communication session, Some wired networks utilize multiple paths for a single session. For example …"
2,Adaptive mode control: A static-power-efficient cache design,257,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FzBDS4gAAAAJ&pagesize=50&citation_for_view=FzBDS4gAAAAJ:9yKSN-GCB0IC,"Lower threshold voltages in deep submicron technologies cause more leakage current, increasing static power dissipation. This trend, combined with the trend of larger/more cache memories dominating die area, has prompted circuit designers to develop SRAM cells with low-leakage operating modes (e.g., sleep mode). Sleep mode reduces static power dissipation, but data stored in a sleeping cell is unreliable or lost. So, at the architecture level, there is interest in exploiting sleep mode to reduce static power dissipation while maintaining high performance.Current approaches dynamically control the operating mode of large groups of cache lines or even individual cache lines. However, the performance monitoring mechanism that controls the percentage of sleep-mode lines, and identifies particular lines for sleep mode, is somewhat arbitrary. There is no way to know what the performance could be with all cache …"
3,Optimization of instruction fetch mechanisms for high issue rates,251,1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FzBDS4gAAAAJ&pagesize=50&citation_for_view=FzBDS4gAAAAJ:u5HHmVD_uO8C,"Recent superscalar processors issue four instructions per cycle. These processors are also powered by highly-parallel superscalar cores. The potential performance can only be exploited when fed by high instruction bandwidth. This task is the responsibility of the instruction fetch unit. Accurate branch prediction and low I-cache miss ratios are essential for the efficient operation of the fetch unit. Several studies on cache design and branch prediction address this problem. However, these techniques are not sufficient. Even in the presence of efficient cache designs and branch prediction, the fetch unit must continuously extract multiple, non-sequential instructions from the instruction cache, realign these in the proper order, and supply them to the decoder. This paper explores solutions to this problem and presents several schemes with varying degrees of performance and cost. The most-general scheme, the …"
4,Reducing state loss for effective trace sampling of superscalar processors,235,1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FzBDS4gAAAAJ&pagesize=50&citation_for_view=FzBDS4gAAAAJ:d1gkVwhDpl0C,"There is a wealth of technological alternatives that can be incorporated into a processor design. These include reservation station designs, functional unit duplication, and processor branch handling strategies. The performance of a given design is measured through the execution of application programs and other workloads. Presently, trace driven simulation is the most popular method of processor performance analysis in the development stage of system design. Current techniques of trace driven simulation, however, are extremely slow and expensive. A fast and accurate method for statistical trace sampling of superscalar processors is proposed."
5,Unified assign and schedule: A new approach to scheduling for clustered register file microarchitectures,223,1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FzBDS4gAAAAJ&pagesize=50&citation_for_view=FzBDS4gAAAAJ:u-x6o8ySG0sC,"Recently, there has been a trend towards clustered microarchitectures to reduce the cycle time for wide issue microprocessors. In such processors, the register file and functional units are partitioned and grouped into clusters. Instruction scheduling for a clustered machine requires assignment and scheduling of operations to the clusters. In this paper, a new scheduling algorithm named unified-assign-and-schedule (UAS) is proposed for clustered, statically-scheduled architectures. UAS merges the cluster assignment and instruction scheduling phases in a natural and straightforward fashion. We compared the performance of UAS with various heuristics to the well-known Bottom-up Greedy (BUG) algorithm and to an optimal cluster scheduling algorithm, measuring the schedule lengths produced by all of the schedulers. Our results show that UAS gives better performance than the BUG algorithm and is quite close to …"
6,A benchmark characterization of the EEMBC benchmark suite,210,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FzBDS4gAAAAJ&pagesize=50&citation_for_view=FzBDS4gAAAAJ:aqlVkmm33-oC,"Benchmark consumers expect benchmark suites to be complete, accurate, and consistent, and benchmark scores serve as relative measures of performance. however, it is important to understand how benchmarks stress the processors that they aim to test. this study explores the stress points of the EEMBC embedded benchmark suite using the benchmark characterization technique."
7,Configurable string matching hardware for speeding up intrusion detection,172,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FzBDS4gAAAAJ&pagesize=50&citation_for_view=FzBDS4gAAAAJ:qjMakFHDy7sC,Signature-based Intrusion Detection Systems (IDSs) monitor network traffic for security threats by scanning packet payloads for attack signatures. IDSs have to run at wire speed and need to be configurable to protect against emerging attacks. In this paper we consider the problem of string matching which is the most computationally intensive task in IDS. A configurable string matching accelerator is developed with the focus on increasing throughput while maintaining the configurability provided by the software IDSs. Our preliminary results suggest that the hardware accelerator offers an overall system performance of up to 14Gbps.
8,Challenges to combining general-purpose and multimedia processors,140,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FzBDS4gAAAAJ&pagesize=50&citation_for_view=FzBDS4gAAAAJ:2osOgNQ5qMEC,"Multimedia processor media extensions to general purpose processors present new challenges to the compiler writer, language designer, and microarchitect. Multimedia workloads have always held an important role in embedded applications, such as video cards or set top boxes, but these workloads are becoming increasingly common in general purpose computing as well. Over the past three years the major vendors of general purpose processors (GPPs) have announced extensions to their instruction set architectures that supposedly enhance the performance of multimedia workloads. These include North Carolina MAX 2 extensions to Hewlett-Packard PA-RISC, MMX for Intel's x86, UltraSparc's VIS, and MDMX extensions to MIPS V. Merging these new multimedia instructions with existing GPPs poses several challenges. Also, some doubt remains as to whether multimedia extensions are a real development …"
9,Touch screen with tactile feedback,131,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FzBDS4gAAAAJ&pagesize=50&citation_for_view=FzBDS4gAAAAJ:WZBGuue-350C,Examples of sensing a human touch to a touch screen and providing tactile and visual feedback are disclosed.
10,Performance analysis and its impact on design,123,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FzBDS4gAAAAJ&pagesize=50&citation_for_view=FzBDS4gAAAAJ:UeHWp8X0CEIC,"Methods for designing new computer systems have changed rapidly. Consider general purpose microprocessors: gone are the days when one or two expert architects would use hunches, experience, and rules of thumb to determine a processor's features. Marketplace competition has long since forced companies to replace this ad hoc process with a targeted and highly systematic process that focuses new designs on specific workloads. Although the process differs from company to company, there are common elements. The main advantage of a systematic process is that it produces a finely tuned design targeted at a particular market. At its core are models of the processor's performance and its workloads. Developing and verifying these models is the domain now called performance analysis. We cover some of the advances in dealing with modern problems in performance analysis. Our focus is on architectural …"
