Rank,Title,Citations,Year,URL,Description
1,Optimization of sparse matrix-vector multiplication on emerging multicore platforms,1058,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CCGI7x4AAAAJ&pagesize=50&citation_for_view=CCGI7x4AAAAJ:u5HHmVD_uO8C,"We are witnessing a dramatic change in computer architecture due to the multicore paradigm shift, as every electronic device from cell phones to supercomputers confronts parallelism of unprecedented scale. To fully unleash the potential of these systems, the HPC community must develop multicore specific optimization methodologies for important scientific computations. In this work, we examine sparse matrix-vector multiply (SpMV) - one of the most heavily used kernels in scientific computing - across a broad spectrum of multicore designs. Our experimental platform includes the homogeneous AMD dual-core and Intel quad-core designs, the heterogeneous STI Cell, as well as the first scientific study of the highly multithreaded Sun Niagara2. We present several optimization strategies especially effective for the multicore environment, and demonstrate significant performance improvements compared to existing …"
2,OSKI: A library of automatically tuned sparse matrix kernels,694,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CCGI7x4AAAAJ&pagesize=50&citation_for_view=CCGI7x4AAAAJ:u-x6o8ySG0sC,"The Optimized Sparse Kernel Interface (OSKI) is a collection of low-level primitives that provide automatically tuned computational kernels on sparse matrices, for use by solver libraries and applications. These kernels include sparse matrix-vector multiply and sparse triangular solve, among others. The primary aim of this interface is to hide the complex decisionmaking process needed to tune the performance of a kernel implementation for a particular user's sparse matrix and machine, while also exposing the steps and potentially non-trivial costs of tuning at run-time. This paper provides an overview of OSKI, which is based on our research on automatically tuned sparse kernels for modern cache-based superscalar machines."
3,Model-driven autotuning of sparse matrix-vector multiply on GPUs,575,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CCGI7x4AAAAJ&pagesize=50&citation_for_view=CCGI7x4AAAAJ:IjCSPb-OGe4C,"We present a performance model-driven framework for automated performance tuning (autotuning) of sparse matrix-vector multiply (SpMV) on systems accelerated by graphics processing units (GPU). Our study consists of two parts. First, we describe several carefully hand-tuned SpMV implementations for GPUs, identifying key GPU-specific performance limitations, enhancements, and tuning opportunities. These implementations, which include variants on classical blocked compressed sparse row (BCSR) and blocked ELLPACK (BELLPACK) storage formats, match or exceed state-of-the-art implementations. For instance, our best BELLPACK implementation achieves up to 29.0 Gflop/s in single-precision and 15.7 Gflop/s in double-precision on the NVIDIA T10P multiprocessor (C1060), enhancing prior state-of-the-art unblocked implementations (Bell and Garland, 2009) by up to 1.8× and 1.5× for single-and …"
4,Sparsity: Optimization framework for sparse matrix kernels,432,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CCGI7x4AAAAJ&pagesize=50&citation_for_view=CCGI7x4AAAAJ:d1gkVwhDpl0C,"Sparse matrix–vector multiplication is an important computational kernel that performs poorly on most modern processors due to a low compute-to-memory ratio and irregular memory access patterns. Optimization is difficult because of the complexity of cache-based memory systems and because performance is highly dependent on the non-zero structure of the matrix. The SPARSITY system is designed to address these problems by allowing users to automatically build sparse matrix kernels that are tuned to their matrices and machines. SPARSITY combines traditional techniques such as loop transformations with data structure transformations and optimization heuristics that are specific to sparse matrices. It provides a novel framework for selecting optimization parameters, such as block size, using a combination of performance …"
5,Automatic performance tuning of sparse matrix kernels,368,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CCGI7x4AAAAJ&pagesize=50&citation_for_view=CCGI7x4AAAAJ:9yKSN-GCB0IC,"This dissertation presents an automated system to generate highly efficient, platform-adapted implementations of sparse matrix kernels. We show that conventional implementations of important sparse kernels like sparse matrix-vector multiply (SpMV) have historically run at 10% or less of peak machine speed on cache-based superscalar architectures. Our implementations of SpMV, automatically tuned using a methodology based on empirical-search, can by contrast achieve up to 31% of peak machine speed, and can be up to 4× faster."
6,Self-adapting linear algebra algorithms and software,275,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CCGI7x4AAAAJ&pagesize=50&citation_for_view=CCGI7x4AAAAJ:isC4tDSrTZIC,"One of the main obstacles to the efficient solution of scientific problems is the problem of tuning software, both to the available architecture and to the user problem at hand. We describe approaches for obtaining tuned high-performance kernels and for automatically choosing suitable algorithms. Specifically, we describe the generation of dense and sparse Basic Linear Algebra Subprograms (BLAS) kernels, and the selection of linear solver algorithms. However, the ideas presented here extend beyond these areas, which can be considered proof of concept."
7,A performance analysis framework for identifying potential benefits in GPGPU applications,267,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CCGI7x4AAAAJ&pagesize=50&citation_for_view=CCGI7x4AAAAJ:RGFaLdJalmkC,"Tuning code for GPGPU and other emerging many-core platforms is a challenge because few models or tools can precisely pinpoint the root cause of performance bottlenecks. In this paper, we present a performance analysis framework that can help shed light on such bottlenecks for GPGPU applications. Although a handful of GPGPU profiling tools exist, most of the traditional tools, unfortunately, simply provide programmers with a variety of measurements and metrics obtained by running applications, and it is often difficult to map these metrics to understand the root causes of slowdowns, much less decide what next optimization step to take to alleviate the bottleneck. In our approach, we first develop an analytical performance model that can precisely predict performance and aims to provide programmer-interpretable metrics. Then, we apply static and dynamic profiling to instantiate our performance model for a …"
8,A massively parallel adaptive fast-multipole method on heterogeneous architectures,243,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CCGI7x4AAAAJ&pagesize=50&citation_for_view=CCGI7x4AAAAJ:LkGwnXOMwfcC,"We present new scalable algorithms and a new implementation of our kernel-independent fast multipole method (Ying et al. ACM/IEEE SC '03), in which we employ both distributed memory parallelism (via MPI) and shared memory/streaming parallelism (via GPU acceleration) to rapidly evaluate two-body non-oscillatory potentials. On traditional CPU-only systems, our implementation scales well up to 30 billion unknowns on 65K cores (AMD/CRAY-based Kraken system at NSF/NICS) for highly non-uniform point distributions. On GPU-enabled systems, we achieve 30x speedup for problems of up to 256 million points on 256 GPUs (Lincoln at NSF/NCSA) over a comparable CPU-only based implementations. We achieve scalability to such extreme core counts by adopting a new approach to scalable MPI-based tree construction and partitioning, and a new reduction algorithm for the evaluation phase. For the sub …"
9,Fast sparse matrix-vector multiplication by exploiting variable block structure,233,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CCGI7x4AAAAJ&pagesize=50&citation_for_view=CCGI7x4AAAAJ:UeHWp8X0CEIC,"We improve the performance of sparse matrix-vector multiplication(SpMV) on modern cache-based superscalar machines when the matrix structure consists of multiple, irregularly aligned rectangular blocks. Matrices from finite element modeling applications often have this structure. We split the matrix, A, into a sum, A1 + A2 + ... + As, where each term is stored in a new data structure we refer to as unaligned block compressed sparse row (UBCSR) format. A classical approach which stores A in a BCSR can also reduce execution time, but the improvements may be limited because BCSR imposes an alignment of the matrix non-zeros that leads to extra work from filled-in zeros. Combining splitting with UBCSR reduces this extra work while retaining the generally lower memory bandwidth requirements and register-level tiling opportunities of BCSR. We show speedups can be as high as 2.1× over no blocking, and as …"
10,"When prefetching works, when it doesn’t, and why",228,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CCGI7x4AAAAJ&pagesize=50&citation_for_view=CCGI7x4AAAAJ:XX7pGhTe5MgC,"In emerging and future high-end processor systems, tolerating increasing cache miss latency and properly managing memory bandwidth will be critical to achieving high performance. Prefetching, in both hardware and software, is among our most important available techniques for doing so; yet, we claim that prefetching is perhaps also the least well-understood. Thus, the goal of this study is to develop a novel, foundational understanding of both the benefits and limitations of hardware and software prefetching. Our study includes: source code-level analysis, to help in understanding the practical strengths and weaknesses of compiler- and software-based prefetching; a study of the synergistic and antagonistic effects between software and hardware prefetching; and an evaluation of hardware prefetching training policies in the presence of software prefetching requests. We use both simulation and measurement on …"
