Rank,Title,Citations,Year,URL,Description
1,Concept bottleneck models,1585,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q_Pud88AAAAJ&pagesize=50&citation_for_view=Q_Pud88AAAAJ:9yKSN-GCB0IC,"We seek to learn models that we can interact with using high-level concepts: if the model did not think there was a bone spur in the x-ray, would it still predict severe arthritis? State-of-the-art models today do not typically support the manipulation of concepts like"" the existence of bone spurs"", as they are trained end-to-end to go directly from raw input (eg, pixels) to output (eg, arthritis severity). We revisit the classic idea of first predicting concepts that are provided at training time, and then using these concepts to predict the label. By construction, we can intervene on these concept bottleneck models by editing their predicted concept values and propagating these changes to the final prediction. On x-ray grading and bird identification, concept bottleneck models achieve competitive accuracy with standard end-to-end models, while enabling interpretation in terms of high-level clinical concepts ("" bone spurs"") or bird attributes ("" wing color""). These models also allow for richer human-model interaction: accuracy improves significantly if we can correct model mistakes on concepts at test time."
2,Datacomp: In search of the next generation of multimodal datasets,777,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q_Pud88AAAAJ&pagesize=50&citation_for_view=Q_Pud88AAAAJ:Se3iqnhoufwC,"Multimodal datasets are a critical component in recent breakthroughs such as CLIP, Stable Diffusion and GPT-4, yet their design does not receive the same research attention as model architectures or training algorithms. To address this shortcoming in the machine learning ecosystem, we introduce DataComp, a testbed for dataset experiments centered around a new candidate pool of 12.8 billion image-text pairs from Common Crawl. Participants in our benchmark design new filtering techniques or curate new data sources and then evaluate their new dataset by running our standardized CLIP training code and testing the resulting model on 38 downstream test sets. Our benchmark consists of multiple compute scales spanning four orders of magnitude, which enables the study of scaling trends and makes the benchmark accessible to researchers with varying resources. Our baseline experiments show that the DataComp workflow leads to better training sets. Our best baseline, DataComp-1B, enables training a CLIP ViT-L/14 from scratch to 79.2% zero-shot accuracy on ImageNet, outperforming OpenAI's CLIP ViT-L/14 by 3.7 percentage points while using the same training procedure and compute. We release\datanet and all accompanying code at www. datacomp. ai."
3,Selection via proxy: Efficient data selection for deep learning,544,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q_Pud88AAAAJ&pagesize=50&citation_for_view=Q_Pud88AAAAJ:roLk4NBRz8UC,"Data selection methods, such as active learning and core-set selection, are useful tools for machine learning on large datasets. However, they can be prohibitively expensive to apply in deep learning because they depend on feature representations that need to be learned. In this work, we show that we can greatly improve the computational efficiency by using a small proxy model to perform data selection (e.g., selecting data points to label for active learning). By removing hidden layers from the target model, using smaller architectures, and training for fewer epochs, we create proxies that are an order of magnitude faster to train. Although these small proxy models have higher error rates, we find that they empirically provide useful signals for data selection. We evaluate this ""selection via proxy"" (SVP) approach on several data selection tasks across five datasets: CIFAR10, CIFAR100, ImageNet, Amazon Review Polarity, and Amazon Review Full. For active learning, applying SVP can give an order of magnitude improvement in data selection runtime (i.e., the time it takes to repeatedly train and select points) without significantly increasing the final error (often within 0.1%). For core-set selection on CIFAR10, proxies that are over 10x faster to train than their larger, more accurate targets can remove up to 50% of the data without harming the final accuracy of the target, leading to a 1.6x end-to-end training time improvement."
4,The price of debiasing automatic metrics in natural language evalaution,172,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q_Pud88AAAAJ&pagesize=50&citation_for_view=Q_Pud88AAAAJ:Zph67rFs4hoC,"For evaluating generation systems, automatic metrics such as BLEU cost nothing to run but have been shown to correlate poorly with human judgment, leading to systematic bias against certain model improvements. On the other hand, averaging human judgments, the unbiased gold standard, is often too expensive. In this paper, we use control variates to combine automatic metrics with human evaluation to obtain an unbiased estimator with lower cost than human evaluation alone. In practice, however, we obtain only a 7-13% cost reduction on evaluating summarization and open-response question answering systems. We then prove that our estimator is optimal: there is no unbiased estimator with lower cost. Our theory further highlights the two fundamental bottlenecks—the automatic metric and the prompt shown to human evaluators—both of which need to be improved to obtain greater cost savings."
5,Learning and inference via maximum inner product search,75,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q_Pud88AAAAJ&pagesize=50&citation_for_view=Q_Pud88AAAAJ:2osOgNQ5qMEC,"A large class of commonly used probabilistic models known as log-linear models are defined up to a normalization constant. Typical learning algorithms for such models require solving a sequence of probabilistic inference queries. These inferences are typically intractable, and are a major bottleneck for learning models with large output spaces. In this paper, we provide a new approach for amortizing the cost of a sequence of related inference queries, such as the ones arising during learning. Our technique relies on a surprising connection with algorithms developed in the past two decades for similarity search in large data bases. Our approach achieves improved running times with provable approximation guarantees. We show that it performs well both on synthetic data and neural language models with large output spaces."
6,On the relationship between data efficiency and error for uncertainty sampling,52,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q_Pud88AAAAJ&pagesize=50&citation_for_view=Q_Pud88AAAAJ:LkGwnXOMwfcC,"While active learning offers potential cost savings, the actual data efficiency—the reduction in amount of labeled data needed to obtain the same error rate—observed in practice is mixed. This paper poses a basic question: when is active learning actually helpful? We provide an answer for logistic regression with the popular active learning algorithm, uncertainty sampling. Empirically, on 21 datasets from OpenML, we find a strong inverse correlation between data efficiency and the error rate of the final classifier. Theoretically, we show that for a variant of uncertainty sampling, the asymptotic data efficiency is within a constant factor of the inverse error rate of the limiting classifier."
7,An experimental design framework for label-efficient supervised finetuning of large language models,33,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q_Pud88AAAAJ&pagesize=50&citation_for_view=Q_Pud88AAAAJ:UeHWp8X0CEIC,"Supervised finetuning (SFT) on instruction datasets has played a crucial role in achieving the remarkable zero-shot generalization capabilities observed in modern large language models (LLMs). However, the annotation efforts required to produce high quality responses for instructions are becoming prohibitively expensive, especially as the number of tasks spanned by instruction datasets continues to increase. Active learning is effective in identifying useful subsets of samples to annotate from an unlabeled pool, but its high computational cost remains a barrier to its widespread applicability in the context of LLMs. To mitigate the annotation cost of SFT and circumvent the computational bottlenecks of active learning, we propose using experimental design. Experimental design techniques select the most informative samples to label, and typically maximize some notion of uncertainty and/or diversity. In our work, we implement a framework that evaluates several existing and novel experimental design techniques and find that these methods consistently yield significant gains in label efficiency with little computational overhead. On generative tasks, to reach the same generalization performance, our methods save 50% of the annotation cost compared to random sampling."
8,Labelbench: A comprehensive framework for benchmarking adaptive label-efficient learning,26,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q_Pud88AAAAJ&pagesize=50&citation_for_view=Q_Pud88AAAAJ:eQOLeE2rZwMC,"Labeled data are critical to modern machine learning applications, but obtaining labels can be expensive. To mitigate this cost, machine learning methods, such as transfer learning, semi-supervised learning and active learning, aim to be label-efficient: achieving high predictive performance from relatively few labeled examples. While obtaining the best label-efficiency in practice often requires combinations of these techniques, existing benchmark and evaluation frameworks do not capture a concerted combination of all such techniques. This paper addresses this deficiency by introducing LabelBench, a new computationally-efficient framework for joint evaluation of multiple label-efficient learning techniques. As an application of LabelBench, we introduce a novel benchmark of state-of-the-art active learning methods in combination with semi-supervised learning for fine-tuning pretrained vision transformers. Our benchmark demonstrates better label-efficiencies than previously reported in active learning. LabelBench's modular codebase is open-sourced for the broader community to contribute label-efficient learning methods and benchmarks. The repository can be found at: https://github.com/EfficientTraining/LabelBench."
9,Fast amortized inference and learning in log-linear models with randomly perturbed nearest neighbor search,26,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q_Pud88AAAAJ&pagesize=50&citation_for_view=Q_Pud88AAAAJ:zYLM7Y9cAGgC,"Inference in log-linear models scales linearly in the size of output space in the worst-case. This is often a bottleneck in natural language processing and computer vision tasks when the output space is feasibly enumerable but very large. We propose a method to perform inference in log-linear models with sublinear amortized cost. Our idea hinges on using Gumbel random variable perturbations and a pre-computed Maximum Inner Product Search data structure to access the most-likely elements in sublinear amortized time. Our method yields provable runtime and accuracy guarantees. Further, we present empirical experiments on ImageNet and Word Embeddings showing significant speedups for sampling, inference, and learning in log-linear models."
10,Uncertainty sampling is preconditioned stochastic gradient descent on zero-one loss,25,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q_Pud88AAAAJ&pagesize=50&citation_for_view=Q_Pud88AAAAJ:ufrVoPGSRksC,"Uncertainty sampling, a popular active learning algorithm, is used to reduce the amount of data required to learn a classifier, but it has been observed in practice to converge to different parameters depending on the initialization and sometimes to even better parameters than standard training on all the data. In this work, we give a theoretical explanation of this phenomenon, showing that uncertainty sampling on a convex (eg, logistic) loss can be interpreted as performing a preconditioned stochastic gradient step on the population zero-one loss. Experiments on synthetic and real datasets support this connection."
