Rank,Title,Citations,Year,URL,Description
1,Optimal Mixing of Glauber Dynamics: Entropy Factorization via High-Dimensional Expansion,165,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_pdhnmwAAAAJ&pagesize=50&citation_for_view=_pdhnmwAAAAJ:ufrVoPGSRksC,"We prove an optimal mixing time bound for the single-site update Markov chain known as the Glauber dynamics or Gibbs sampling in a variety of settings. Our work presents an improved version of the spectral independence approach of Anari et al. (2020) and shows O(nlogn) mixing time on any n-vertex graph of bounded degree when the maximum eigenvalue of an associated influence matrix is bounded. As an application of our results, for the hard-core model on independent sets weighted by a fugacity λ, we establish O(nlogn) mixing time for the Glauber dynamics on any n-vertex graph of constant maximum degree Δ when λ<λc(Δ) where λc(Δ) is the critical point for the uniqueness/non-uniqueness phase transition on the Δ-regular tree. More generally, for any antiferromagnetic 2-spin system we prove O(nlogn) mixing time of the Glauber dynamics on any bounded degree graph in the corresponding tree …"
2,Rapid mixing of Glauber dynamics up to uniqueness via contraction,109,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_pdhnmwAAAAJ&pagesize=50&citation_for_view=_pdhnmwAAAAJ:j3f4tGmQtD8C,"For general antiferromagnetic 2-spin systems, including the hardcore model on weighted independent sets and the antiferromagnetic Ising model, there is an for the partition function on graphs of maximum degree when the infinite regular tree lies in the uniqueness region by Li, Lu, and Yin [Correlation Decay up to Uniqueness in Spin Systems, preprint, https://arxiv.org/abs/1111.7064, 2021]. Moreover, in the tree nonuniqueness region, Sly in [Computational transition at the uniqueness threshold, in Proceedings of the 51st Annual IEEE Symposium on Foundations of Computer Science, 2010, pp. 287–296] showed that there is no to estimate the partition function unless . The algorithmic results follow from the correlation decay approach due to Weitz [Counting independent sets up to the tree threshold, in Proceedings of the 38th Annual ACM Symposium on Theory of Computing, 2006, pp. 140–149] or the …"
3,"On Mixing of Markov Chains: Coupling, Spectral Independence, and Entropy Factorization",107,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_pdhnmwAAAAJ&pagesize=50&citation_for_view=_pdhnmwAAAAJ:YOwf2qJgpHMC,"For general spin systems, we prove that a contractive coupling for an arbitrary local Markov chain implies optimal bounds on the mixing time and the modified log-Sobolev constant for a large class of Markov chains including the Glauber dynamics, arbitrary heat-bath block dynamics, and the Swendsen-Wang dynamics. This reveals a novel connection between probabilistic techniques for bounding the convergence to stationarity and analytic tools for analyzing the decay of relative entropy. As a corollary of our general results, we obtain O(n log n) mixing time and Ω(1/n) modified log-Sobolev constant of the Glauber dynamics for sampling random q-colorings of an n-vertex graph with constant maximum degree Δ when q > (11/6–∊0)Δ for some fixed ∊0 > 0. We also obtain O(log n) mixing time and Ω(1) modified log-Sobolev constant of the Swendsen-Wang dynamics for the ferromagnetic Ising model on an n-vertex …"
4,Optimal Convergence Rate of Hamiltonian Monte Carlo for Strongly Logconcave Distributions,90,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_pdhnmwAAAAJ&pagesize=50&citation_for_view=_pdhnmwAAAAJ:QIV2ME_5wuYC,"We study Hamiltonian Monte Carlo (HMC) for sampling from a strongly logconcave density proportional to where is -strongly convex and -smooth (the condition number is ). We show that the relaxation time (inverse of the spectral gap) of ideal HMC is , improving on the previous best bound of ; we complement this with an example where the relaxation time is . When implemented using a nearly optimal ODE solver, HMC returns an -approximate point in -Wasserstein distance using gradient evaluations per step and total time."
5,Rapid mixing for colorings via spectral independence,81,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_pdhnmwAAAAJ&pagesize=50&citation_for_view=_pdhnmwAAAAJ:MXK_kJrjxJIC,"The spectral independence approach of Anari et al. (2020) utilized recent results on high-dimensional expanders of Alev and Lau (2020) and established rapid mixing of the Glauber dynamics for the hard-core model defined on weighted independent sets. We develop the spectral independence approach for colorings, and obtain new algorithmic results for the corresponding counting/sampling problems. Let α∗ ≈ 1.763 denote the solution to exp(1/x) = x and let α > α∗. We prove that, for any triangle-free graph G = (V, E) with maximum degree Δ, for all q ≥ αΔ + 1, the mixing time of the Glauber dynamics for q-colorings is polynomial in n = |V|, with the exponent of the polynomial independent of Δ and q. In comparison, previous approximate counting results for colorings held for a similar range of q (asymptotically in Δ) but with larger girth requirement or with a running time where the polynomial exponent depended …"
6,Fast algorithms at low temperatures via Markov chains,56,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_pdhnmwAAAAJ&pagesize=50&citation_for_view=_pdhnmwAAAAJ:qxL8FJ1GzNcC,"Efficient algorithms for approximate counting and sampling in spin systems typically apply in the so‐called high‐temperature regime, where the interaction between neighboring spins is “weak.” Instead, recent work of Jenssen, Keevash, and Perkins yields polynomial‐time algorithms in the low‐temperature regime on bounded‐degree (bipartite) expander graphs using polymer models and the cluster expansion. In order to speed up these algorithms (so the exponent in the run time does not depend on the degree bound) we present a Markov chain for polymer models and show that it is rapidly mixing under exponential decay of polymer weights. This yields, for example, an ‐time sampling algorithm for the low‐temperature ferromagnetic Potts model on bounded‐degree expander graphs. Combining our results for the hard‐core and Potts models with Markov chain comparison tools, we obtain polynomial mixing time …"
7,Spectral Independence via Stability and Applications to Holant-Type Problems,47,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_pdhnmwAAAAJ&pagesize=50&citation_for_view=_pdhnmwAAAAJ:_kc_bZDykSQC,"This paper formalizes connections between stability of polynomials and convergence rates of Markov Chain Monte Carlo (MCMC) algorithms. We prove that if a (multivariate) partition function is nonzero in a region around a real point 𝜆 then spectral independence holds at 𝜆. As a consequence, for Holant-type problems (eg, spin systems) on bounded-degree graphs, we obtain optimal 𝑂 (𝑛log 𝑛) mixing time bounds for the single-site update Markov chain known as the Glauber dynamics. Our result significantly improves the running time guarantees obtained via the polynomial interpolation method of Barvinok (2017), refined by Patel and Regts (2017).There are a variety of applications of our results. In this paper, we focus on Holant-type (ie, edge-coloring) problems, including weighted edge covers and weighted even subgraphs. For the weighted edge cover problem (and several natural generalizations) we obtain an 𝑂 (𝑛log 𝑛) sampling algorithm on bounded-degree graphs. The even subgraphs problem corresponds to the high-temperature expansion of the ferromagnetic Ising model. We obtain an 𝑂 (𝑛log 𝑛) sampling algorithm for the ferromagnetic Ising model with a nonzero external field on boundeddegree graphs, which improves upon the classical result of Jerrum and Sinclair (1993) for this class of graphs. We obtain further applications to antiferromagnetic two-spin models on line graphs, weighted graph homomorphisms, tensor networks, and more."
8,Strong spatial mixing for colorings on trees and its algorithmic applications,31,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_pdhnmwAAAAJ&pagesize=50&citation_for_view=_pdhnmwAAAAJ:dhFuZR0502QC,"Strong spatial mixing (SSM) is an important quantitative notion of correlation decay for Gibbs distributions arising in statistical physics, probability theory, and theoretical computer science. A longstanding conjecture is that the uniform distribution on proper q-colorings on a regular tree exhibits SSM whenever . Moreover, it is widely believed that as long as SSM holds on bounded-degree trees with q colors, one would obtain an efficient sampler for q-colorings on all bounded-degree graphs via simple Markov chain algorithms. It is surprising that such a basic question is still open, even on trees, but then again it also highlights how much we still have to learn about random colorings. In this paper, we show the following: (1)For any , SSM holds for random q-colorings on trees of maximum degree whenever . Thus we almost fully resolve the aforementioned conjecture. Our result substantially improves upon the previously …"
9,Almost‐Linear Planted Cliques Elude the Metropolis Process,29,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_pdhnmwAAAAJ&pagesize=50&citation_for_view=_pdhnmwAAAAJ:mVmsd5A6BfQC,"A seminal work of Jerrum (1992) showed that large cliques elude the Metropolis process. More specifically, Jerrum showed that the Metropolis algorithm cannot find a clique of size k=Θ(nα)$$ k=\Theta \left({n}^{\alpha}\right) $$ for α∈(0,1/2)$$ \alpha \in \left(0,1/2\right) $$, which is planted in the Erdős‐Rényi G(n,1/2)$$ G\left(n,1/2\right) $$, in polynomial‐time. Information theoretically, it is possible to find such planted cliques when k≥(2+ε)logn$$ k\ge \left(2+\varepsilon \right)\log n $$. Since the work of Jerrum, the computational problem of finding a planted clique in G(n,1/2)$$ G\left(n,1/2\right) $$ was studied extensively, and many polynomial‐time algorithms were shown to find the planted clique if it is of size k=Ω(n)$$ k=\Omega \left(\sqrt{n}\right) $$, while no polynomial‐time algorithm is known to work when k=o(n)$$ k=o\left(\sqrt{n}\right) $$. The planted clique problem for k=o(n)$$ k=o\left(\sqrt{n}\right) $$ is …"
10,Lower Bounds for Testing Graphical Models: Colorings and Antiferromagnetic Ising Models.,26,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_pdhnmwAAAAJ&pagesize=50&citation_for_view=_pdhnmwAAAAJ:5nxA0vEk-isC,"We study the identity testing problem in the context of spin systems or undirected graphical models, where it takes the following form: given the parameter specification of the model and a sampling oracle for the distribution of an unknown model , can we efficiently determine if the two models and are the same? We consider identity testing for both soft-constraint and hard-constraint systems. In particular, we prove hardness results in two prototypical cases, the Ising model and proper colorings, and explore whether identity testing is any easier than structure learning. For the ferromagnetic (attractive) Ising model, Daskalakis et al.(2018) presented a polynomial-time algorithm for identity testing. We prove hardness results in the antiferromagnetic (repulsive) setting in the same regime of parameters where structure learning is known to require a super-polynomial number of samples. Specifically, for -vertex graphs of maximum degree , we prove that if (where is the inverse temperature parameter), then there is no polynomial running time identity testing algorithm unless . In the hard-constraint setting, we present hardness results for identity testing for proper colorings. Our results are based on the presumed hardness of# BIS, the problem of (approximately) counting independent sets in bipartite graphs."
