Rank,Title,Citations,Year,URL,Description
1,Dynamic TCP acknowledgement and other stories about e/(e-1),255,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6wCEmNYAAAAJ&pagesize=50&citation_for_view=6wCEmNYAAAAJ:u-x6o8ySG0sC,"We present the first optimal randomized online algorithms for the TCP acknowledgment problem [5] and the Bahncard problem [7]. These problems are well-known to be generalizations of the classical online ski rental problem, however, they appeared to be harder. In this paper, we demonstrate that a number of online algorithms which have optimal competitive ratios of e/(e-1), including these, are fundamentally no more complex than ski rental. Our results also suggest a clear paradigm for solving ski rental-like problems."
2,Markov chain algorithms for planar lattice structures,196,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6wCEmNYAAAAJ&pagesize=50&citation_for_view=6wCEmNYAAAAJ:u5HHmVD_uO8C,"Consider the following Markov chain, whose states are all domino tilings of a 2n× 2n chessboard: starting from some arbitrary tiling, pick a 2×2 window uniformly at random. If the four squares appearing in this window are covered by two parallel dominoes, rotate the dominoes in place. Repeat many times. This process is used in practice to generate a random tiling and is a widely used tool in the study of the combinatorics of tilings and the behavior of dimer systems in statistical physics. Analogous Markov chains are used to randomly generate other structures on various two-dimensional lattices. This paper presents techniques which prove for the first time that, in many interesting cases, a small number of random moves suffice to obtain a uniform distribution."
3,Markov chain decomposition for convergence rate analysis,172,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6wCEmNYAAAAJ&pagesize=50&citation_for_view=6wCEmNYAAAAJ:2osOgNQ5qMEC,In this paper we develop tools for analyzing the rate at which a reversible Markov chain converges to stationarity. Our techniques are useful when the Markov chain can be decomposed into pieces which are themselves easier to analyze. The main theorems relate the spectral gap of the original Markov chains to the spectral gaps of the pieces. In the first case the pieces are restrictions of the Markov chain to subsets of the state space; the second case treats a Metropolis-Hastings chain whose equilibrium distribution is a weighted average of equilibrium distributions of other Metropolis-Hastings chains on the same state space.
4,Analyzing Glauber dynamics by comparison of Markov chains,142,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6wCEmNYAAAAJ&pagesize=50&citation_for_view=6wCEmNYAAAAJ:d1gkVwhDpl0C,"A popular technique for studying random properties of a combinatorial set is to design a Markov chain Monte Carlo algorithm. For many problems there are natural Markov chains connecting the set of allowable configurations which are based on local moves, or “Glauber dynamics.” Typically these single-site update algorithms are difficult to analyze, so often the Markov chain is modified to update several sites simultaneously. Recently there has been progress in analyzing these more complicated algorithms for several important combinatorial problems. In this work we use the comparison technique of Diaconis and Saloff-Coste to show that several of the natural single-point update algorithms are efficient. The strategy is to relate the mixing rate of these algorithms to the corresponding nonlocal algorithms which have already been analyzed. This allows us to give polynomial time bounds for single-point update …"
5,Rapidly mixing Markov chains with applications in computer science and physics,109,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6wCEmNYAAAAJ&pagesize=50&citation_for_view=6wCEmNYAAAAJ:qjMakFHDy7sC,"Monte Carlo algorithms often depend on Markov chains to sample from very large data sets. A key ingredient in the design of an efficient Markov chain is determining rigorous bounds on how quickly the chain ""mixes,"" or converges, to its stationary distribution. This survey provides an overview of several useful techniques"
6,Markov chain algorithms for planar lattice structures,84,1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6wCEmNYAAAAJ&pagesize=50&citation_for_view=6wCEmNYAAAAJ:9yKSN-GCB0IC,"Consider the following Markov chain, whose states are all domino tilings of a 2n/spl times/2n chessboard: starting from some arbitrary tiling, pick a 2/spl times/2 window uniformly at random. If the four squares appearing in this window are covered by two parallel dominoes, rotate the dominoes in place. Repeat many times. This process is used in practice to generate a random tiling and is a key tool in the study of the combinatorics of tilings and the behavior of dimer systems in statistical physics. Analogous Markov chains are used to randomly generate other structures on various two-dimensional lattices. The paper presents techniques which prove for the first time that, in many interesting cases, a small number of random moves suffice to obtain a uniform distribution."
7,Approximating the number of monomer-dimer coverings of a lattice,83,1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6wCEmNYAAAAJ&pagesize=50&citation_for_view=6wCEmNYAAAAJ:UeHWp8X0CEIC,"We study the problem of counting the number of coverings of ad-dimensional rectangular lattice by a specified number of monomers and dimers. This problem arises in several models in statistical physics, and has been widely studied. A classical technique due to Fisher, Kasteleyn, and Temperley solves the problem exactly in two dimensions when the number of monomers is zero (the dimer covering problem), but is not applicable in higher dimensions or in the presence of monomers. This paper presents the first provably polynomial-time approximation algorithms for computing the number of coverings with any specified number of monomers ind-dimensional rectangular lattices with periodic boundaries, for any fixed dimensiond, and in two-dimensional lattices with fixed boundaries. The algorithms are based on Monte Carlo simulation of a suitable Markov chain, and, in constrast to most Monte Carlo algorithms in …"
8,A Markov chain algorithm for compression in self-organizing particle systems,75,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6wCEmNYAAAAJ&pagesize=50&citation_for_view=6wCEmNYAAAAJ:dshw04ExmUIC,"We consider programmable matter as a collection of simple computational elements (or particles) with limited (constant-size) memory that self-organize to solve system-wide problems of movement, configuration, and coordination. Here, we focus on the compression problem, in which the particle system gathers as tightly together as possible, as in a sphere or its equivalent in the presence of some underlying geometry. More specifically, we seek fully distributed, local, and asynchronous algorithms that lead the system to converge to a configuration with small perimeter. We present a Markov chain based algorithm that solves the compression problem under the geometric amoebot model, for particle systems that begin in a connected configuration with no holes. The algorithm takes as input a bias parameter λ, where λ > 1 corresponds to particles favoring inducing more lattice triangles within the particle system. We …"
9,Programming active cohesive granular matter with mechanically induced phase changes,74,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6wCEmNYAAAAJ&pagesize=50&citation_for_view=6wCEmNYAAAAJ:N5tVd3kTz84C,"At the macroscale, controlling robotic swarms typically uses substantial memory, processing power, and coordination unavailable at the microscale, e.g., for colloidal robots, which could be useful for fighting disease, fabricating intelligent textiles, and designing nanocomputers. To develop principles that can leverage physical interactions and thus be used across scales, we take a two-pronged approach: a theoretical abstraction of self-organizing particle systems and an experimental robot system of active cohesive granular matter that intentionally lacks digital electronic computation and communication, using minimal (or no) sensing and control. As predicted by theory, as interparticle attraction increases, the collective transitions from dispersed to a compact phase. When aggregated, the collective can transport non-robot “impurities,” thus performing an emergent task driven by the physics underlying the transition …"
10,Torpid mixing of simulated tempering on the Potts model,74,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6wCEmNYAAAAJ&pagesize=50&citation_for_view=6wCEmNYAAAAJ:Tyk-4Ss8FVUC,"Simulated tempering and swapping are two families of sampling algorithms in which a parameter representing temperature varies during the simulation. The hope is that this will overcome bottlenecks that cause sampling algorithms to be slow at low temperatures. Madras and Zheng demonstrate that the swapping and tempering algorithms allow efficient sampling from the low-temperature mean-field Ising model, a model of magnetism, and a class of symmetric bimodal distributions [10]. Local Markov chains fail on these distributions due to the existence of bad cuts in the state space. Bad cuts also arise in the Õ-state Potts model, another fundamental model for magnetism that generalizes the Ising model. Glauber (local) dynamics and the Swendsen-Wang algorithm have been shown to be prohibitively slow for sampling from the Potts model at some temperatures [1, 2, 6]. It is reasonable to ask whether tempering or swapping can overcome the bottlenecks that cause these algorithms to converge slowly on the Potts model. We answer this in the negative, and give the first example demonstrating that tempering can mix slowly. We show this for the 3-state ferromagnetic Potts model on the complete graph, known as the mean-field model. The slow convergence is caused by a first-order (discontinuous) phase transition in the underlying system. Using this insight, we define a variant of the swapping algorithm that samples efficiently from a class of bimodal distributions, including the mean-field Potts model."
