Rank,Title,Citations,Year,URL,Description
1,"Bandwidth estimation: metrics, measurement techniques, and tools",1120,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sfuwsSwAAAAJ&pagesize=50&citation_for_view=sfuwsSwAAAAJ:P5F9QuxV20EC,"In a packet network, the terms bandwidth and throughput often characterize the amount of data that the network can transfer per unit of time. Bandwidth estimation is of interest to users wishing to optimize end-to-end transport performance, overlay network routing, and peer-to-peer file distribution. Techniques for accurate bandwidth estimation are also important for traffic engineering and capacity planning support. Existing bandwidth estimation tools measure one or more of three related metrics: capacity, available bandwidth, and bulk transfer capacity. Currently available bandwidth estimation tools employ a variety of strategies to measure these metrics. In this survey we review the recent bandwidth estimation literature focusing on underlying techniques and methodologies as well as open source bandwidth measurement tools."
2,"End-to-end available bandwidth: Measurement methodology, dynamics, and relation with TCP throughput",973,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sfuwsSwAAAAJ&pagesize=50&citation_for_view=sfuwsSwAAAAJ:nb7KW1ujOQ8C,"The available bandwidth (avail-bw) in a network path is of major importance in congestion control, streaming applications, QoS verification, server selection, and overlay networks. We describe an end-to-end methodology, called Self-Loading Periodic Streams (SLoPS), for measuring avail-bw. The basic idea in SLoPS is that the one-way delays of a periodic packet stream show an increasing trend when the stream's rate is higher than the avail-bw. We implemented SLoPS in a tool called pathload. The accuracy of the tool has been evaluated with both simulations and experiments over real-world Internet paths. Pathload is non-intrusive, meaning that it does not cause significant increases in the network utilization, delays, or losses. We used pathload to evaluate the variability ('dynamics') of the avail-bw in some paths that cross USA and Europe. The avail-bw becomes significantly more variable in heavily utilized …"
3,An experimental evaluation of rate-adaptation algorithms in adaptive streaming over HTTP,926,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sfuwsSwAAAAJ&pagesize=50&citation_for_view=sfuwsSwAAAAJ:u5HHmVD_uO8C,"Adaptive (video) streaming over HTTP is gradually being adopted, as it offers significant advantages in terms of both user-perceived quality and resource utilization for content and network service providers. In this paper, we focus on the rate-adaptation mechanisms of adaptive streaming and experimentally evaluate two major commercial players (Smooth Streaming, Netflix) and one open source player (OSMF). Our experiments cover three important operating conditions. First, how does an adaptive video player react to either persistent or short-term changes in the underlying network available bandwidth. Can the player quickly converge to the maximum sustainable bitrate? Second, what happens when two adaptive video players compete for available bandwidth in the bottleneck link? Can they share the resources in a stable and fair manner? And third, how does adaptive streaming perform with live content? Is the …"
4,What do packet dispersion techniques measure?,916,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sfuwsSwAAAAJ&pagesize=50&citation_for_view=sfuwsSwAAAAJ:KxtntwgDAa4C,"The packet pair technique estimates the capacity of a path (bottleneck bandwidth) from the dispersion (spacing) experienced by two back-to-back packets. We demonstrate that the dispersion of packet pairs in loaded paths follows a multimodal distribution, and discuss the queueing effects that cause the multiple modes. We show that the path capacity is often not the global mode, and so it cannot be estimated using standard statistical procedures. The effect of the size of the probing packets is also investigated, showing that the conventional wisdom of using maximum sized packet pairs is not optimal. We then study the dispersion of long packet trains. Increasing the length of the packet train reduces the measurement variance, but the estimates converge to a value, referred to as the asymptotic dispersion rate (ADR), that is lower than the capacity. We derive the effect of the cross traffic in the dispersion of long packet …"
5,Pathload: A measurement tool for end-to-end available bandwidth,797,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sfuwsSwAAAAJ&pagesize=50&citation_for_view=sfuwsSwAAAAJ:UxriW0iASnsC,Pathload : A measurement tool for end-to-end available bandwidth | CiNii Research CiNii 国立 情報学研究所 学術情報ナビゲータ[サイニィ] 詳細へ移動 検索フォームへ移動 論文・データをさがす 大学図書館の本をさがす English 検索 タイトル 人物/団体名 所属機関 ISSN DOI 期間 ~ 本文リンク 本文リンクあり データソース JaLC IRDB Crossref DataCite NDLサーチ NDLデジコレ(旧NII-ELS) RUDA JDCat NINJAL CiNii Articles CiNii Books NACSIS-CAT/ILL DBpedia KAKEN Integbio PubMed LSDB Archive 極地研ADS 極地研学術DB OpenAIRE 公共データカタログ すべて 研究 データ 論文 本 博士論文 プロジェクト [2025年11月17日更新]CiNii BooksのCiNii Researchへの 統合について CiNii Researchナレッジグラフ検索機能(試行版)をCiNii Labsにて公開しました 「研究 データ」「根拠データ」の収録について Pathload : A measurement tool for end-to-end available bandwidth 被引用文献1件 JAIN M. 収録刊行物 Proc. of Passive and Active Measurements (…
6,"End-to-end available bandwidth: measurement methodology, dynamics, and relation with TCP throughput",768,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sfuwsSwAAAAJ&pagesize=50&citation_for_view=sfuwsSwAAAAJ:dshw04ExmUIC,"The available bandwidth (avail-bw) in a network path is of major importance in congestion control, streaming applications, quality-of-service verification, server selection, and overlay networks. We describe an end-to-end methodology, called self-loading periodic streams (SLoPS), for measuring avail-bw. The basic idea in SLoPS is that the one-way delays of a periodic packet stream show an increasing trend when the stream's rate is higher than the avail-bw. We have implemented SLoPS in a tool called pathload. The accuracy of the tool has been evaluated with both simulations and experiments over real-world Internet paths. Pathload is nonintrusive, meaning that it does not cause significant increases in the network utilization, delays, or losses. We used pathload to evaluate the variability (""dynamics"") of the avail-bw in Internet paths. The avail-bw becomes significantly more variable in heavily utilized paths, as …"
7,Packet-dispersion techniques and a capacity-estimation methodology,568,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sfuwsSwAAAAJ&pagesize=50&citation_for_view=sfuwsSwAAAAJ:uWQEDVKXjbEC,"The packet-pair technique aims to estimate the capacity of a path (bottleneck bandwidth) from the dispersion of two equal-sized probing packets sent back to back. It has been also argued that the dispersion of longer packet bursts (packet trains) can estimate the available bandwidth of a path. This paper examines such packet-pair and packet-train dispersion techniques in depth. We first demonstrate that, in general, packet-pair bandwidth measurements follow a multimodal distribution and explain the causes of multiple local modes. The path capacity is a local mode, often different than the global mode of this distribution. We illustrate the effects of network load, cross-traffic packet-size variability, and probing packet size on the bandwidth distribution of packet pairs. We then switch to the dispersion of long packet trains. The mean of the packet-train dispersion distribution corresponds to a bandwidth metric that we …"
8,Proportional differentiated services: Delay differentiation and packet scheduling,516,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sfuwsSwAAAAJ&pagesize=50&citation_for_view=sfuwsSwAAAAJ:SP6oXDckpogC,"Internet applications and users have very diverse service expectations, making the current same-service-to-all model inadequate and limiting. In the relative differentiated services approach, the network traffic is grouped in a small number of service classes which are ordered based on their packet forwarding quality, in terms of per-hop metrics for the queueing delays and packet losses. The users and applications, in this context, can adaptivelychoose the class that best meets their quality and pricing constraints, based on the assurance that higher classes will be better, or at least no worse, than lower classes. In this work, we propose the proportional differentiation model as a way to refine and quantify this basic premise of relative differentiated services. The proportional differentiation model aims to provide the network operator with the 'tuning knobs' for adjusting the quality spacing between classes, independent of …"
9,A case for relative differentiated services and the proportional differentiation model,451,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sfuwsSwAAAAJ&pagesize=50&citation_for_view=sfuwsSwAAAAJ:OU6Ihb5iCvQC,"Internet applications and users have very diverse quality of service expectations, making the same-service-to-all model of the current Internet inadequate and limiting. There is a widespread consensus today that the Internet architecture has to extended with service differentiation mechanisms so that certain users and applications can get better service than others at a higher cost. One approach, referred to as absolute differentiated services, is based on sophisticated admission control and resource reservation mechanisms in order to provide guarantees or statistical assurances for absolute performance measures, such as a minimum service rate or maximum end-to-end delay. Another approach, which is simpler in terms of implementation, deployment, and network manageability, is to offer relative differentiated services between a small number of service classes. These classes are ordered based on their packet …"
10,What happens when HTTP adaptive streaming players compete for bandwidth?,447,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sfuwsSwAAAAJ&pagesize=50&citation_for_view=sfuwsSwAAAAJ:2osOgNQ5qMEC,"With an increasing demand for high-quality video content over the Internet, it is becoming more likely that two or more adaptive streaming players share the same network bottleneck and compete for available bandwidth. This competition can lead to three performance problems: player instability, unfairness between players, and bandwidth underutilization. However, the dynamics of such competition and the root cause for the previous three problems are not yet well understood. In this paper, we focus on the problem of competing video players and describe how the typical behavior of an adaptive streaming player in its Steady-State, which includes periods of activity followed by periods of inactivity (ON-OFF periods), is the main root cause behind the problems listed above. We use two adaptive players to experimentally showcase these issues. Then, focusing on the issue of player instability, we test how several …"
