Rank,Title,Citations,Year,URL,Description
1,GViM: GPU-accelerated virtual machines,363,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OlRjTCIAAAAJ&pagesize=50&citation_for_view=OlRjTCIAAAAJ:u5HHmVD_uO8C,"The use of virtualization to abstract underlying hardware can aid in sharing such resources and in efficiently managing their use by high performance applications. Unfortunately, virtualization also prevents efficient access to accelerators, such as Graphics Processing Units (GPUs), that have become critical components in the design and architecture of HPC systems. Supporting General Purpose computing on GPUs (GPGPU) with accelerators from different vendors presents significant challenges due to proprietary programming models, heterogeneity, and the need to share accelerator resources between different Virtual Machines (VMs). To address this problem, this paper presents GViM, a system designed for virtualizing and managing the resources of a general purpose system accelerated by graphics processors. Using the NVIDIA GPU as an example, we discuss how such accelerators can be virtualized without …"
2,Redesigning {LSMs} for nonvolatile memory with {NoveLSM},269,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OlRjTCIAAAAJ&pagesize=50&citation_for_view=OlRjTCIAAAAJ:QlnOKEPDpKwC,"We present NoveLSM, a persistent LSM-based keyvalue storage system designed to exploit non-volatile memories and deliver low latency and high throughput to applications. We utilize three key techniques–a byteaddressable skip list, direct mutability of persistent state, and opportunistic read parallelism–to deliver high performance across a range of workload scenarios. Our analysis with popular benchmarks and real-world workload reveal up to a 3.8 x and 2x reduction in write and read access latency compared to LevelDB. Storing all the data in a persistent skip list and avoiding block I/O provides more than 5x and 1.9 x higher write throughput over LevelDB and RocksDB. Recovery time improves substantially with NoveLSM’s persistent skip list."
3,Energy efficient thermal management of data centers,230,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OlRjTCIAAAAJ&pagesize=50&citation_for_view=OlRjTCIAAAAJ:svGagg1hbZMC,"Energy Efficient Thermal Management of Data Centers examines energy flow in today's data centers. Particular focus is given to the state-of-the-art thermal management and thermal design approaches now being implemented across the multiple length scales involved. The impact of future trends in information technology hardware, and emerging software paradigms such as cloud computing and virtualization, on thermal management are also addressed. The book explores computational and experimental characterization approaches for determining temperature and air flow patterns within data centers. Thermodynamic analyses using the second law to improve energy efficiency are introduced and used in proposing improvements in cooling methodologies. Reduced-order modeling and robust multi-objective design of next generation data centers are discussed."
4,"Autonomic computing: concepts, infrastructure, and applications",194,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OlRjTCIAAAAJ&pagesize=50&citation_for_view=OlRjTCIAAAAJ:FKYJxdYMdFIC,"The complexity of modern computer networks and systems, combined with the extremely dynamic environments in which they operate, is beginning to outpace our ability to manage them. Taking yet another page from the biomimetics playbook, the autonomic computing paradigm mimics the human autonomic nervous system to free system developers and administrators from performing and overseeing low-level tasks. Surveying the current path toward this paradigm, Autonomic Computing: Concepts, Infrastructure, and Applications offers a comprehensive overview of state-of-the-art research and implementations in this emerging area. This book begins by introducing the concepts and requirements of autonomic computing and exploring the architectures required to implement such a system. The focus then shifts to the approaches and infrastructures, including control-based and recipe-based concepts, followed by enabling systems, technologies, and services proposed for achieving a set of"" self-*"" properties, including self-configuration, self-healing, self-optimization, and self-protection. In the final section, examples of real-world implementations reflect the potential of emerging autonomic systems, such as dynamic server allocation and runtime reconfiguration and repair. Collecting cutting-edge work and perspectives from leading experts, Autonomic Computing: Concepts, Infrastructure, and Applications reveals the progress made and outlines the future challenges still facing this exciting and dynamic field."
5,HeteroOS: OS Design for Heterogeneous Memory Management in Datacenter,187,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OlRjTCIAAAAJ&pagesize=50&citation_for_view=OlRjTCIAAAAJ:LNjCCq68lIgC,"Heterogeneous memory management combined with server virtualization in datacenters is expected to increase the software and OS management complexity. State-of-the-art solutions rely exclusively on the hypervisor (VMM) for expensive page hotness tracking and migrations, limiting the benefits from heterogeneity. To address this, we design HeteroOS, a novel application-transparent OS-level solution for managing memory heterogeneity in virtualized system. The HeteroOS design first makes the guest-OSes heterogeneity-aware and then extracts rich OS-level information about applications' memory usage to place data in the 'right' memory avoiding page migrations. When such pro-active placements are not possible, HeteroOS combines the power of the guest-OSes' information about applications with the VMM's hardware control to track for hotness and migrate only performance-critical pages. Finally …"
6,VM power metering: feasibility and challenges,160,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OlRjTCIAAAAJ&pagesize=50&citation_for_view=OlRjTCIAAAAJ:9yKSN-GCB0IC,"This paper explores the feasibility of and challenges in developing methods for black-box monitoring of the power usage of a virtual machine (VM) at run-time, on shared virtualized compute platforms, including those with complex memory hierarchies. We demonstrate that VM-level power utilization can be accurately estimated, or estimated with accuracy with bound error margins. The use of bounds permits more lightweight online monitoring of fewer events, while relaxing the fidelity of the estimates in a controlled manner. Our methodology is evaluated on the Intel Core i7 and Core2 x86-64 platforms, running synthetic and SPEC benchmarks."
7,S-NFV: Securing NFV states by using SGX,157,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OlRjTCIAAAAJ&pagesize=50&citation_for_view=OlRjTCIAAAAJ:0paDrhnEFY0C,"Network Function Virtualization (NFV) applications are stateful. For example, a Content Distribution Network (CDN) caches web contents from remote servers and serves them to clients. Similarly, an Intrusion Detection System (IDS) and an Intrusion Prevention System (IPS) have both per-flow and multi-flow (shared) states to properly react to intrusions. On today's NFV infrastructures, security vulnerabilities many allow attackers to steal and manipulate the internal states of NFV applications that share a physical resource. In this paper, we propose a new protection scheme, S-NFV that incorporates Intel Software Guard Extensions (Intel SGX) to securely isolate the states of NFV applications."
8,High-performance hypervisor architectures: Virtualization in hpc systems,140,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OlRjTCIAAAAJ&pagesize=50&citation_for_view=OlRjTCIAAAAJ:u-x6o8ySG0sC,"Virtualization presents both challenges and opportunities for HPC systems and applications. This paper reviews them and also offers technical insights into two key challenges faced by future highend machines:(1) the I/O challenges they face and (2) the multicore nature of future HPC platforms. Concerning the latter, we argue the need to better structure virtualization solutions, to improve the compute experience of future HPC applications, and to provide scalability for virtualization solutions on future many-core platforms. Concerning (1), we present new methods for device virtualization, along with evidence that such methods can improve the I/O performance experienced by guest operating systems and applications running on HPC machines. Experimental results validate the claims made in (1) and (2), attained with the Xen hypervisor running on modern multi-core machines. Finally, the paper offers new directions for research in virtualization for HPC machines. It describes ways for further improving the effective I/O performance as seen by HPC applications by extending virtualization to associate application-relevant functions with I/O data streams and through QoS support for these streams. Other issues discussed are reliability enhancements for I/O, and online system and resource management."
9,Optimizing Checkpoints Using NVM as Virtual Memory,136,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OlRjTCIAAAAJ&pagesize=50&citation_for_view=OlRjTCIAAAAJ:hqOjcs7Dif8C,"Rapid checkpointing will remain key functionality for next generation high end machines. This paper explores the use of node-local nonvolatile memories (NVM) such as phase-change memory, to provide frequent, low overhead checkpoints. By adapting existing multi-level checkpoint techniques, we devise new methods, termed NVM-checkpoints, that efficiently store checkpoints on both local and remote node NVM. The checkpoint frequencies are guided by failure models that capture the expected accessibility of such data after failure. To lower overheads, NVM-checkpoints reduce the NVM and interconnect bandwidth used with a novel pre-copy mechanism, which incrementally moves checkpoint data from DRAM to NVM before a local checkpoint is started. This reduces local checkpoint cost by limiting the instantaneous data volume moved at checkpoint time, thereby freeing bandwidth for use by applications. In …"
10,Towards IoT-DDoS prevention using edge computing,135,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OlRjTCIAAAAJ&pagesize=50&citation_for_view=OlRjTCIAAAAJ:3jqAvCjcdfEC,"Application-level DDoS attacks mounted using compromised IoT devices are emerging as a critical problem. The application-level and seemingly legitimate nature of traffic in such attacks renders most existing solutions ineffective, and the sheer amount and distribution of the generated traffic make mitigation extremely costly. This paper proposes a new approach which leverages edge computing to deploy edge functions that gather information about incoming traffic and communicate that information via a fast-path with a nearby detection service. This accelerates the detection and the arrest of such attacks, limiting their damaging impact. Preliminary investigation shows promise for up to 10x faster detection that reduces up to 82% of the Internet traffic due to IoT-DDoS."
