Rank,Title,Citations,Year,URL,Description
1,Packed compressed sparse row: A dynamic graph representation,103,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZcguQt4AAAAJ&pagesize=50&citation_for_view=ZcguQt4AAAAJ:qjMakFHDy7sC,"Perhaps the most popular sparse graph storage format is Compressed Sparse Row (CSR). CSR excels at storing graphs compactly with minimal overhead, allowing for fast traversals, lookups, and basic graph computations such as PageRank. Since elements in CSR format are packed together, additions and deletions often require time linear in the size of the graph. We introduce a new dynamic sparse graph representation called Packed Compressed Sparse Row (PCSR), based on an array-based dynamic data structure called the Packed Memory Array. PCSR is similar to CSR, but leaves spaces between elements, allowing for asymptotically faster insertions and deletions in exchange for a constant factor slowdown in traversals and a constant factor increase in space overhead. Our contributions are twofold. We describe PCSR and review the theoretical guarantees for update, insert, and search for PCSR. We …"
2,Terrace: A hierarchical graph container for skewed dynamic graphs,84,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZcguQt4AAAAJ&pagesize=50&citation_for_view=ZcguQt4AAAAJ:0EnyYjriUFMC,"Various applications model problems as streaming graphs, which need to quickly apply a stream of updates and run algorithms on the updated graph. Furthermore, many dynamic real-world graphs, such as social networks, follow a skewed distribution of vertex degrees, where there are a few high-degree vertices and many low-degree vertices. Existing static graph-processing systems optimized for graph skewness achieve high performance and low space usage by preprocessing a cache-efficient graph partitioning based on vertex degree. In the streaming setting, the whole graph is not available upfront, however, so finding an optimal partitioning is not feasible in the presence of updates. As a result, existing streaming graph-processing systems take a ""one-size-fits-all"" approach, leaving performance on the table. We present Terrace, a system for streaming graphs that uses a hierarchical data structure design to …"
3,A parallel packed memory array to store dynamic graphs,40,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZcguQt4AAAAJ&pagesize=50&citation_for_view=ZcguQt4AAAAJ:Se3iqnhoufwC,"The ideal data structure for storing dynamic graphs would support fast updates as well as fast range queries which underlie graph traversals such as breadth-first search. The Packed Memory Array (PMA) seems like a good candidate for this setting because it supports fast updates as well as cache-efficient range queries. Concurrently updating a PMA raises challenges, however, because an update may require rewriting the entire structure. This paper introduces a parallel PMA with intra- and inter-operation parallelism and deadlock-free polylogarithmicspan operations. Our main observation is that the PMA is well-suited to concurrent updates despite occasionally requiring a rewrite of the entire structure because 1) most of the updates only write to a small part of the structure and 2) the worst case is highly parallel and cache-efficient. To evaluate our data structure, we implemented Parallel Packed Compressed …"
4,Write-optimized skip lists,37,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZcguQt4AAAAJ&pagesize=50&citation_for_view=ZcguQt4AAAAJ:u5HHmVD_uO8C,"The skip list is an elegant dictionary data structure that is commonly deployed in RAM. A skip list with N elements supports searches, inserts, and deletes in O(log N) operations with high probability (w.h.p.) and range queries returning K elements in O(log N + K) operations w.h.p. A seemingly natural way to generalize the skip list to external memory with block size B is to ""promote"" with probability 1/B, rather than 1/2. However, there are practical and theoretical obstacles to getting the skip list to retain its efficient performance, space bounds, and high-probability guarantees. We give an external-memory skip list that achieves write-optimized bounds. That is, for 0 < ε < 1, range queries take O(logBε N + K/B) I/Os w.h.p. and insertions and deletions take O((logBε N) / B1-ε) amortized I/Os w.h.p. Our write-optimized skip list inherits the virtue of simplicity from RAM skip lists. Moreover, it matches or beats the asymptotic …"
5,Dynamic programming with spiking neural computing,30,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZcguQt4AAAAJ&pagesize=50&citation_for_view=ZcguQt4AAAAJ:W7OEmFMy1HYC,"With the advent of large-scale neuromorphic platforms, we seek to better understand the applications of neuromorphic computing to more general-purpose computing domains. Graph analysis problems have grown increasingly relevant in the wake of readily available massive data. We demonstrate that a broad class of combinatorial and graph problems known as dynamic programs enjoy simple and efficient neuromorphic implementations, by developing a general technique to convert dynamic programs to spiking neuromorphic algorithms. Dynamic programs have been studied for over 50 years and have dozens of applications across many fields."
6,BP-Tree: Overcoming the Point-Range Operation Tradeoff for In-Memory B-Trees,22,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZcguQt4AAAAJ&pagesize=50&citation_for_view=ZcguQt4AAAAJ:4TOpqqG69KYC,"B-trees are the go-to data structure for in-memory indexes in databases and storage systems. B-trees support both point operations (i.e., inserts and finds) and range operations (i.e., iterators and maps). However, there is an inherent tradeoff between point and range operations since the optimal node size for point operations is much smaller than the optimal node size for range operations. Existing implementations use a relatively small node size to achieve fast point operations at the cost of range operation throughput. We present the BP-tree, a variant of the B-tree, that overcomes the decades-old point-range operation tradeoff in traditional B-trees. In the BP-tree, the leaf nodes are much larger in size than the internal nodes to support faster range scans. To avoid any slowdown in point operations due to large leaf nodes, we introduce a new insert-optimized array called the buffered partitioned array (BPA) to …"
7,Closing the gap between cache-oblivious and cache-adaptive analysis,12,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZcguQt4AAAAJ&pagesize=50&citation_for_view=ZcguQt4AAAAJ:YsMSGLbcyi4C,"Cache-adaptive analysis was introduced to analyze the performance of an algorithm when the cache (or internal memory) available to the algorithm dynamically changes size. These memory-size fluctuations are, in fact, the common case in multi-core machines, where threads share cache and RAM. An algorithm is said to be efficiently cache-adaptive if it achieves optimal utilization of the dynamically changing cache. Cache-adaptive analysis was inspired by cache-oblivious analysis. Many (or even most) optimal cache-oblivious algorithms have an -regular recursive structure. Such -regular algorithms include Longest Common Subsequence, All Pairs Shortest Paths, Matrix Multiplication, Edit Distance, Gaussian Elimination Paradigm, etc. Bender et al. (2016) showed that some of these optimal cache-oblivious algorithms remain optimal even when cache changes size dynamically, but that in general …"
8,Cpma: An efficient batch-parallel compressed set without pointers,11,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZcguQt4AAAAJ&pagesize=50&citation_for_view=ZcguQt4AAAAJ:KlAtU1dfN6UC,"This paper introduces the batch-parallel Compressed Packed Memory Array (CPMA), a compressed, dynamic, ordered set data structure based on the Packed Memory Array (PMA). Traditionally, batch-parallel sets are built on pointer-based data structures such as trees because pointer-based structures enable fast parallel unions via pointer manipulation. When compared with cache-optimized trees, PMAs were slower to update but faster to scan. The batch-parallel CPMA overcomes this tradeoff between updates and scans by optimizing for cache-friendliness. On average, the CPMA achieves 3× faster batch-insert throughput and 4× faster range-query throughput compared with compressed PaC-trees, a state-of-the-art batch-parallel set library based on cache-optimized trees. We further evaluate the CPMA compared with compressed PaC-trees and Aspen, a state-of-the-art system, on a real-world application …"
9,A fill estimation algorithm for sparse matrices and tensors in blocked formats,9,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZcguQt4AAAAJ&pagesize=50&citation_for_view=ZcguQt4AAAAJ:9yKSN-GCB0IC,"Many sparse matrices and tensors from a variety of applications, such as finite element methods and computational chemistry, have a natural aligned rectangular nonzero block structure. Researchers have designed high-performance blocked sparse operations which can take advantage of this sparsity structure to reduce the complexity of storing the locations of nonzeros. The performance of a blocked sparse operation depends on how well the block size reflects the structure of nonzeros in the tensor. Sparse tensor structure is generally unknown until runtime, so block size selection must be efficient. The fill is a quantity which, for some block size, relates the number of nonzero blocks to the number of nonzeros. Many performance models use the fill to help choose a block size. However, the fill is expensive to compute exactly. We present a sampling-based algorithm called Phil to estimate the fill of sparse matrices …"
10,Byo: A unified framework for benchmarking large-scale graph containers,8,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZcguQt4AAAAJ&pagesize=50&citation_for_view=ZcguQt4AAAAJ:qxL8FJ1GzNcC,"A fundamental building block in any graph algorithm is a graph container - a data structure used to represent the graph. Ideally, a graph container enables efficient access to the underlying graph, has low space usage, and supports updating the graph efficiently. In this paper, we conduct an extensive empirical evaluation of graph containers designed to support running algorithms on large graphs. To our knowledge, this is the first apples-to-apples comparison of graph containers rather than overall systems, which include confounding factors such as differences in algorithm implementations and infrastructure. We measure the running time of 10 highly-optimized algorithms across over 20 different containers and 10 graphs. Somewhat surprisingly, we find that the average algorithm running time does not differ much across containers, especially those that support dynamic updates. Specifically, a simple container based on an off-the-shelf B-tree is only 1.22x slower on average than a highly optimized static one. Moreover, we observe that simplifying a graph-container Application Programming Interface (API) to only a few simple functions incurs a mere 1.16x slowdown compared to a complete API. Finally, we also measure batch-insert throughput in dynamic-graph containers for a full picture of their performance. To perform the benchmarks, we introduce BYO, a unified framework that standardizes evaluations of graph-algorithm performance across different graph containers. BYO extends the Graph Based Benchmark Suite (Dhulipala et al. 18), a state-of-the-art graph algorithm benchmark, to easily plug into different dynamic graph containers and …"
