Rank,Title,Citations,Year,URL,Description
1,"Models of cardiac tissue electrophysiology: progress, challenges and open questions",793,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E6h84HUAAAAJ&pagesize=50&citation_for_view=E6h84HUAAAAJ:u-x6o8ySG0sC,"Models of cardiac tissue electrophysiology are an important component of the Cardiac Physiome Project, which is an international effort to build biophysically based multi-scale mathematical models of the heart. Models of tissue electrophysiology can provide a bridge between electrophysiological cell models at smaller scales, and tissue mechanics, metabolism and blood flow at larger scales. This paper is a critical review of cardiac tissue electrophysiology models, focussing on the micro-structure of cardiac tissue, generic behaviours of action potential propagation, different models of cardiac tissue electrophysiology, the choice of parameter values and tissue geometry, emergent properties in tissue models, numerical techniques and computational issues. We propose a tentative list of information that could be included in published descriptions of tissue electrophysiology models, and used to support interpretation …"
2,Multiple mechanisms of spiral wave breakup in a model of cardiac electrical activity,755,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E6h84HUAAAAJ&pagesize=50&citation_for_view=E6h84HUAAAAJ:u5HHmVD_uO8C,"It has become widely accepted that the most dangerous cardiac arrhythmias are due to reentrant waves, i.e., electrical wave(s) that recirculate repeatedly throughout the tissue at a higher frequency than the waves produced by the heart’s natural pacemaker (sinoatrial node). However, the complicated structure of cardiac tissue, as well as the complex ionic currents in the cell, have made it extremely difficult to pinpoint the detailed dynamics of these life-threatening reentrant arrhythmias. A simplified ionic model of the cardiac action potential (AP), which can be fitted to a wide variety of experimentally and numerically obtained mesoscopic characteristics of cardiac tissue such as AP shape and restitution of AP duration and conduction velocity, is used to explain many different mechanisms of spiral wave breakup which in principle can occur in cardiac tissue. Some, but not all, of these mechanisms have been observed …"
3,Minimal model for human ventricular action potentials in tissue,572,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E6h84HUAAAAJ&pagesize=50&citation_for_view=E6h84HUAAAAJ:d1gkVwhDpl0C,"Modeling the dynamics of wave propagation in human ventricular tissue and studying wave stability require models that reproduce realistic characteristics in tissue. We present a minimal ventricular (MV) human model that is designed to reproduce important tissue-level characteristics of epicardial, endocardial and midmyocardial cells, including action potential (AP) amplitudes and morphologies, upstroke velocities, steady-state action potential duration (APD) and conduction velocity (CV) restitution curves, minimum APD, and minimum diastolic interval. The model is then compared with three previously published human ventricular cell models, the Priebe and Beuckelmann (PB), the Ten Tusscher–Noble–Noble–Panfilov (TNNP), and the Iyer–Mazhari–Winslow (IMW). For the first time, the stability of reentrant waves for all four models is analyzed, and quantitative comparisons are made among the models in single …"
4,Low-energy control of electrical turbulence in the heart,402,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E6h84HUAAAAJ&pagesize=50&citation_for_view=E6h84HUAAAAJ:2osOgNQ5qMEC,"Controlling the complex spatio-temporal dynamics underlying life-threatening cardiac arrhythmias such as fibrillation is extremely difficult, because of the nonlinear interaction of excitation waves in a heterogeneous anatomical substrate,,,. In the absence of a better strategy, strong, globally resetting electrical shocks remain the only reliable treatment for cardiac fibrillation,,. Here we establish the relationship between the response of the tissue to an electric field and the spatial distribution of heterogeneities in the scale-free coronary vascular structure. We show that in response to a pulsed electric field, E, these heterogeneities serve as nucleation sites for the generation of intramural electrical waves with a source density ρ(E) and a characteristic time, τ, for tissue depolarization that obeys the power law τ ∝ Eα. These intramural wave sources permit targeting of electrical turbulence near the cores of the vortices of …"
5,Verification of cardiac tissue electrophysiology simulators using an N-version benchmark,367,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E6h84HUAAAAJ&pagesize=50&citation_for_view=E6h84HUAAAAJ:Y0pCki6q_DkC,"Ongoing developments in cardiac modelling have resulted, in particular, in the development of advanced and increasingly complex computational frameworks for simulating cardiac tissue electrophysiology. The goal of these simulations is often to represent the detailed physiology and pathologies of the heart using codes that exploit the computational potential of high-performance computing architectures. These developments have rapidly progressed the simulation capacity of cardiac virtual physiological human style models; however, they have also made it increasingly challenging to verify that a given code provides a faithful representation of the purported governing equations and corresponding solution techniques. This study provides the first cardiac tissue electrophysiology simulation benchmark to allow these codes to be verified. The benchmark was successfully evaluated on 11 simulation platforms to …"
6,"Suppression of alternans and conduction blocks despite steep APD restitution: electrotonic, memory, and conduction velocity restitution effects",310,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E6h84HUAAAAJ&pagesize=50&citation_for_view=E6h84HUAAAAJ:9yKSN-GCB0IC,"We examine the utility of the action potential (AP) duration (APD) restitution curve slope in predicting the onset of electrical alternans when electrotonic and memory effects are considered. We develop and use two ionic cell models without memory that have the same restitution curve with slope >1 but different AP shapes and, therefore, different electrotonic effects. We also study a third cell model that incorporates short-term memory of previous cycle lengths, so that it has a family of S1-S2 restitution curves as well as a dynamic restitution curve with slope >1. Our results indicate that both electrotonic and memory effects can suppress alternans, even when the APD restitution curve is steep. In the absence of memory, electrotonic currents related to the shape of the AP, as well as conduction velocity restitution, can affect how alternans develops in tissue and, in some cases, can prevent its induction entirely, even when …"
7,Visualization of spiral and scroll waves in simulated and experimental cardiac tissue,300,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E6h84HUAAAAJ&pagesize=50&citation_for_view=E6h84HUAAAAJ:UeHWp8X0CEIC,"The heart is a nonlinear biological system that can exhibit complex electrical dynamics, complete with period-doubling bifurcations and spiral and scroll waves that can lead to fibrillatory states that compromise the heart's ability to contract and pump blood efficiently. Despite the importance of understanding the range of cardiac dynamics, studying how spiral and scroll waves can initiate, evolve, and be terminated is challenging because of the complicated electrophysiology and anatomy of the heart. Nevertheless, over the last two decades advances in experimental techniques have improved access to experimental data and have made it possible to visualize the electrical state of the heart in more detail than ever before. During the same time, progress in mathematical modeling and computational techniques has facilitated using simulations as a tool for investigating cardiac dynamics. In this paper, we present data …"
8,Models of cardiac cell,215,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E6h84HUAAAAJ&pagesize=50&citation_for_view=E6h84HUAAAAJ:eQOLeE2rZwMC,"In this article, we briefly describe how transmembrane currents and other cellular ionic processes are modeled to produce action potentials. Then we discuss 45 models of cardiac cells and summarize their properties. For many of these models, we also include action potential plots, movie of reentrant spiral waves, and Java applets in which users can change number of stimuli and pacing rates and observe the time evolution of the voltage, currents, and variables. Although we do not present a complete list of all existing cardiac cell models, we include a broad range of models that represent different species, cell types, and model formulations from simple to biophysically detailed. Both historical and recent models are included, with many recent models incorporating more complex dynamics, such as detailed intracellular Ca 2+ handling and Markov models of ion channels. A number of the models described have been modified in minor ways, such as modification of parameter values, to represent particular dynamics or to represent pathological states. Such minor modifications in general are not discussed here, except when included in the original manuscript describing the model.Models of cardiac cells are capable of facilitating insights into the mechanisms underlying cardiac electrical dynamics. A model begins with a mathematical description of electrical events at the cellular level that give rise to cardiac action potentials. In particular, models incorporate formulations of transmembrane ionic currents along with the voltage, ionic concentrations, and ion channel kinetics responsible for the currents. Because neural and cardiac cells have many …"
9,Cardiac cell modelling: observations from the heart of the cardiac physiome project,200,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E6h84HUAAAAJ&pagesize=50&citation_for_view=E6h84HUAAAAJ:f2IySw72cVMC,"In this manuscript we review the state of cardiac cell modelling in the context of international initiatives such as the IUPS Physiome and Virtual Physiological Human Projects, which aim to integrate computational models across scales and physics. In particular we focus on the relationship between experimental data and model parameterisation across a range of model types and cellular physiological systems. Finally, in the context of parameter identification and model reuse within the Cardiac Physiome, we suggest some future priority areas for this field."
10,Termination of atrial fibrillation using pulsed low-energy far-field stimulation,200,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E6h84HUAAAAJ&pagesize=50&citation_for_view=E6h84HUAAAAJ:zYLM7Y9cAGgC,"Background— Electrically based therapies for terminating atrial fibrillation (AF) currently fall into 2 categories: antitachycardia pacing and cardioversion. Antitachycardia pacing uses low-intensity pacing stimuli delivered via a single electrode and is effective for terminating slower tachycardias but is less effective for treating AF. In contrast, cardioversion uses a single high-voltage shock to terminate AF reliably, but the voltages required produce undesirable side effects, including tissue damage and pain. We propose a new method to terminate AF called far-field antifibrillation pacing, which delivers a short train of low-intensity electric pulses at the frequency of antitachycardia pacing but from field electrodes. Prior theoretical work has suggested that this approach can create a large number of activation sites (“virtual” electrodes) that emit propagating waves within the tissue without implanting physical electrodes and …"
11,Modeling wave propagation in realistic heart geometries using the phase-field method,199,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E6h84HUAAAAJ&pagesize=50&citation_for_view=E6h84HUAAAAJ:qjMakFHDy7sC,"We present a novel algorithm for modeling electrical wave propagation in anatomical models of the heart. The algorithm uses a phase-field approach that represents the boundaries between the heart muscle and the surrounding medium as a spatially diffuse interface of finite thickness. The chief advantage of this method is to automatically handle the boundary conditions of the voltage in complex geometries without the need to track the location of these boundaries explicitly. The algorithm is shown to converge accurately in nontrivial test geometries with no-flux (zero normal current) boundary conditions as the width of the diffuse interface becomes small compared to the width of the cardiac action potential wavefront. Moreover, the method is illustrated for anatomically realistic models of isolated rabbit and canine ventricles as well as human atria."
12,Prediction of chaotic time series using recurrent neural networks and reservoir computing techniques: A comparative study,155,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E6h84HUAAAAJ&pagesize=50&citation_for_view=E6h84HUAAAAJ:olpn-zPbct0C,"In recent years, machine-learning techniques, particularly deep learning, have outperformed traditional time-series forecasting approaches in many contexts, including univariate and multivariate predictions. This study aims to investigate the capability of (i) gated recurrent neural networks, including long short-term memory (LSTM) and gated recurrent unit (GRU) networks, (ii) reservoir computing (RC) techniques, such as echo state networks (ESNs) and hybrid physics-informed ESNs, and (iii) the nonlinear vector autoregression (NVAR) approach, which has recently been introduced as the next generation RC, for the prediction of chaotic time series and to compare their performance in terms of accuracy, efficiency, and robustness. We apply the methods to predict time series obtained from two widely used chaotic benchmarks, the Mackey–Glass and Lorenz-63 models, as well as two other chaotic datasets …"
