Rank,Title,Citations,Year,URL,Description
1,Narrative planning: Balancing plot and character,960,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yg_QjxcAAAAJ&pagesize=50&citation_for_view=Yg_QjxcAAAAJ:IjCSPb-OGe4C,"Narrative, and in particular storytelling, is an important part of the human experience. Consequently, computational systems that can reason about narrative can be more effective communicators, entertainers, educators, and trainers. One of the central challenges in computational narrative reasoning is narrative generation, the automated creation of meaningful event sequences. There are many factors--logical and aesthetic--that contribute to the success of a narrative artifact. Central to this success is its understandability. We argue that the following two attributes of narratives are universal:(a) the logical causal progression of plot, and (b) character believability. Character believability is the perception by the audience that the actions performed by characters do not negatively impact the audience's suspension of disbelief. Specifically, characters must be perceived by the audience to be intentional agents. In this article, we explore the use of refinement search as a technique for solving the narrative generation problem--to find a sound and believable sequence of character actions that transforms an initial world state into a world state in which goal propositions hold. We describe a novel refinement search planning algorithm--the Intent-based Partial Order Causal Link (IPOCL) planner--that, in addition to creating causally sound plot progression, reasons about character intentionality by identifying possible character goals that explain their actions and creating plan structures that explain why those characters commit to their goals. We present the results of an empirical evaluation that demonstrates that narrative plans generated by the IPOCL algorithm …"
2,Expanding explainability: Towards social transparency in ai systems,784,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yg_QjxcAAAAJ&pagesize=50&citation_for_view=Yg_QjxcAAAAJ:Ri6SYOTghG4C,"As AI-powered systems increasingly mediate consequential decision-making, their explainability is critical for end-users to take informed and accountable actions. Explanations in human-human interactions are socially-situated. AI systems are often socio-organizationally embedded. However, Explainable AI (XAI) approaches have been predominantly algorithm-centered. We take a developmental step towards socially-situated XAI by introducing and exploring Social Transparency (ST), a sociotechnically informed perspective that incorporates the socio-organizational context into explaining AI-mediated decision-making. To explore ST conceptually, we conducted interviews with 29 AI users and practitioners grounded in a speculative design scenario. We suggested constitutive design elements of ST and developed a conceptual framework to unpack ST’s effect and implications at the technical, decision-making …"
3,Human‐centered artificial intelligence and machine learning,617,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yg_QjxcAAAAJ&pagesize=50&citation_for_view=Yg_QjxcAAAAJ:tYavs44e6CUC,"Humans are increasingly coming into contact with artificial intelligence (AI) and machine learning (ML) systems. Human‐centered AI is a perspective on AI and ML that algorithms must be designed with awareness that they are part of a larger system consisting of humans. We lay forth an argument that human‐centered AI can be broken down into two aspects: (a) AI systems that understand humans from a sociocultural perspective, and (b) AI systems that help humans understand them. We further argue that issues of social responsibility such as fairness, accountability, interpretability, and transparency."
4,Interactive narrative: An intelligent systems approach,537,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yg_QjxcAAAAJ&pagesize=50&citation_for_view=Yg_QjxcAAAAJ:xtRiw3GOFMkC,"Interactive narrative is a form of digital interactive experience in which users create or influence a dramatic storyline through their actions. The goal of an interactive narrative system is to immerse the user in a virtual world such that he or she believes that they are an integral part of an unfolding story and that their actions can significantly alter the direction and/or outcome of the story. In this article we review the ways in which artificial intelligence can be brought to bear on the creation of interactive narrative systems. We lay out the landscape of about 20 years of interactive narrative research and explore the successes as well as open research questions pertaining to the novel use of computational narrative intelligence in the pursuit of entertainment, education, and training."
5,Human-centered explainable ai: Towards a reflective sociotechnical approach,427,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yg_QjxcAAAAJ&pagesize=50&citation_for_view=Yg_QjxcAAAAJ:HbR8gkJAVGIC,"Explanations—a form of post-hoc interpretability—play an instrumental role in making systems accessible as AI continues to proliferate complex and sensitive sociotechnical systems. In this paper, we introduce Human-centered Explainable AI (HCXAI) as an approach that puts the human at the center of technology design. It develops a holistic understanding of “who” the human is by considering the interplay of values, interpersonal dynamics, and the socially situated nature of AI systems. In particular, we advocate for a reflective sociotechnical approach. We illustrate HCXAI through a case study of an explanation system for non-technical end-users that shows how technical advancements and the understanding of human factors co-evolve. Building on the case study, we lay out open research questions pertaining to further refining our understanding of “who” the human is and extending beyond 1-to-1 human …"
6,Managing interaction between users and agents in a multi-agent storytelling environment,364,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yg_QjxcAAAAJ&pagesize=50&citation_for_view=Yg_QjxcAAAAJ:u-x6o8ySG0sC,"This paper describes an approach for managing the interaction of human users with computer-controlled agents in an interactive narrative-oriented virtual environment. In these kinds of systems, the freedom of the user to perform whatever action she desires must be balanced with the preservation of the storyline used to control the system's characters. We describe a technique, narrative mediation, that exploits a plan-based model of narrative structure to manage and respond to users' actions inside a virtual world. We define two general classes of response to situations where users execute actions that interfere with story structure: accommodation and intervention. Finally, we specify an architecture that uses these definitions to monitor and automatically characterize user actions, and to compute and implement responses to unanticipated activity. The approach effectively integrates user action and system response …"
7,Automated rationale generation: a technique for explainable AI and its effects on human perceptions,355,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yg_QjxcAAAAJ&pagesize=50&citation_for_view=Yg_QjxcAAAAJ:hMsQuOkrut0C,"Automated rationale generation is an approach for real-time explanation generation whereby a computational model learns to translate an autonomous agent's internal state and action data representations into natural language. Training on human explanation data can enable agents to learn to generate human-like explanations for their behavior. In this paper, using the context of an agent that plays Frogger, we describe (a) how to collect a corpus of explanations, (b) how to train a neural rationale generator to produce different styles of rationales, and (c) how people perceive these rationales. We conducted two user studies. The first study establishes the plausibility of each type of generated rationale and situates their user perceptions along the dimensions of confidence, humanlike-ness, adequate justification, and understandability. The second study further explores user preferences between the generated …"
8,From linear story generation to branching story graphs,352,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yg_QjxcAAAAJ&pagesize=50&citation_for_view=Yg_QjxcAAAAJ:9yKSN-GCB0IC,"Narrative intelligence refers to the ability - human or computer - to organize experience into narrative. Recently, researchers have applied narrative intelligence to create interactive narrative systems, virtual worlds in which a story unfolds and the user is considered a character in the story, able to interact with elements and other characters in the virtual world. The standard approach to incorporating storytelling into a computer system is to script a story at design time. However, this approach limits the computer system's ability to adapt to the user's preferences and abilities. The alternative approach is to generate stories dynamically or on a per-session basis (one story per time the system is engaged). Narrative generation is a process that involves the selection, ordering, and presentation through discourse of narrative content. A system that can generate stories can adapt narrative to the user's preferences and abilities …"
9,An architecture for integrating plan-based behavior generation with interactive game environments.,344,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yg_QjxcAAAAJ&pagesize=50&citation_for_view=Yg_QjxcAAAAJ:u5HHmVD_uO8C,One central challenge for game developers is the need to create compelling behavior for a game’s characters and objects. Most approaches to behavior generation have either used scripting or finite-state approaches. Both of these approaches are restricted the requirement to anticipate game state at design time. Research in artificial intelligence has developed a number of techniques for automatic plan generation that create novel action sequences that are highly sensitive to run-time context.
10,Story generation with crowdsourced plot graphs,305,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yg_QjxcAAAAJ&pagesize=50&citation_for_view=Yg_QjxcAAAAJ:nb7KW1ujOQ8C,"Story generation is the problem of automatically selecting a sequence of events that meet a set of criteria and can be told as a story. Story generation is knowledge-intensive; traditional story generators rely on a priori defined domain models about fictional worlds, including characters, places, and actions that can be performed. Manually authoring the domain models is costly and thus not scalable. We present a novel class of story generation system that can generate stories in an unknown domain. Our system (a) automatically learns a domain model by crowdsourcing a corpus of narrative examples and (b) generates stories by sampling from the space defined by the domain model. A large-scale evaluation shows that stories generated by our system for a previously unknown topic are comparable in quality to simple stories authored by untrained humans"
