Rank,Title,Citations,Year,URL,Description
1,Compositional reinforcement learning from logical specifications,135,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bd9Rk1MAAAAJ&pagesize=50&citation_for_view=bd9Rk1MAAAAJ:dhFuZR0502QC,"We study the problem of learning control policies for complex tasks given by logical specifications. Recent approaches automatically generate a reward function from a given specification and use a suitable reinforcement learning algorithm to learn a policy that maximizes the expected reward. These approaches, however, scale poorly to complex tasks that require high-level planning. In this work, we develop a compositional learning approach, called DIRL, that interleaves high-level planning and reinforcement learning. First, DIRL encodes the specification as an abstract graph; intuitively, vertices and edges of the graph correspond to regions of the state space and simpler sub-tasks, respectively. Our approach then incorporates reinforcement learning to learn neural network policies for each edge (sub-task) within a Dijkstra-style planning algorithm to compute a high-level plan in the graph. An evaluation of the proposed approach on a set of challenging control benchmarks with continuous state and action spaces demonstrates that it outperforms state-of-the-art baselines."
2,Hybrid compositional reasoning for reactive synthesis from finite-horizon specifications,61,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bd9Rk1MAAAAJ&pagesize=50&citation_for_view=bd9Rk1MAAAAJ:kNdYIx-mwKoC,"LTLf synthesis is the automated construction of a reactive system from a high-level description, expressed in LTLf, of its finite-horizon behavior. So far, the conversion of LTLf formulas to deterministic finite-state automata (DFAs) has been identified as the primary bottleneck to the scalabity of synthesis. Recent investigations have also shown that the size of the DFA state space plays a critical role in synthesis as well."
3,A framework for transforming specifications in reinforcement learning,54,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bd9Rk1MAAAAJ&pagesize=50&citation_for_view=bd9Rk1MAAAAJ:TQgYirikUcIC,"Reactive synthesis algorithms allow automatic construction of policies to control an environment modeled as a Markov Decision Process (MDP) that are optimal with respect to high-level temporal logic specifications. However, they assume that the MDP model is known a priori. Reinforcement Learning (RL) algorithms, in contrast, are designed to learn an optimal policy when the transition probabilities of the MDP are unknown, but require the user to associate local rewards with transitions. The appeal of high-level temporal logic specifications has motivated research to develop RL algorithms for synthesis of policies from specifications. To understand the techniques, and nuanced variations in their theoretical guarantees, in the growing body of resulting literature, we develop a formal framework for defining transformations among RL tasks with different forms of objectives. We define the notion of a sampling-based …"
4,Comparator automata in quantitative verification,26,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bd9Rk1MAAAAJ&pagesize=50&citation_for_view=bd9Rk1MAAAAJ:mB3voiENLucC,"The notion of comparison between system runs is fundamental in formal verification. This concept is implicitly present in the verification of qualitative systems, and is more pronounced in the verification of quantitative systems. In this work, we identify a novel mode of comparison in quantitative systems: the online comparison of the aggregate values of two sequences of quantitative weights. This notion is embodied by comparator automata (comparators, in short), a new class of automata that read two infinite sequences of weights synchronously and relate their aggregate values. We show that aggregate functions that can be represented with Büchi automaton result in comparators that are finite-state and accept by the Büchi condition as well. Such ω-regular comparators further lead to generic algorithms for a number of well-studied problems, including the quantitative inclusion and winning strategies in quantitative graph games with incomplete information, as well as related non-decision problems, such as obtaining a finite representation of all counterexamples in the quantitative inclusion problem. We study comparators for two aggregate functions: discounted-sum and limit-average. We prove that the discounted-sum comparator is ω-regular iff the discount-factor is an integer. Not every aggregate function, however, has an ω-regular comparator. Specifically, we show that the language of sequence-pairs for which limit-average aggregates exist is neither ω-regular nor ω-context-free. Given this result, we introduce the notion of prefixaverage as a relaxation of limit-average aggregation, and show that it admits ω-context-free comparators ie …"
5,Compositional safety LTL synthesis,22,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bd9Rk1MAAAAJ&pagesize=50&citation_for_view=bd9Rk1MAAAAJ:HDshCWvjkbEC,"Reactive synthesis holds the promise of generating automatically a verifiably correct program from a high-level specification. A popular such specification language is Linear Temporal Logic (LTL). Unfortunately, synthesizing programs from general LTL formulas, which relies on first constructing a game arena and then solving the game, does not scale to large instances. The specifications from practical applications are usually large conjunctions of smaller LTL formulas, which inspires existing compositional synthesis approaches to take advantage of this structural information. The main challenge here is that they solve the game only after obtaining the game arena, the most computationally expensive part in the procedure. In this work, we propose a compositional synthesis technique to tackle this difficulty by synthesizing a program for each small conjunct separately and composing them one by one. While this …"
6,Model checking strategies from synthesis over finite traces,20,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bd9Rk1MAAAAJ&pagesize=50&citation_for_view=bd9Rk1MAAAAJ:j3f4tGmQtD8C,"The innovations in reactive synthesis from Linear Temporal Logics over finite traces () will be amplified by the ability to verify the correctness of the strategies generated by synthesis tools. This motivates our work on model checking. model checking, however, is not straightforward. The strategies generated by synthesis may be represented using terminating transducers or non-terminating transducers where executions are of finite-but-unbounded length or infinite length, respectively. For synthesis, there is no evidence that one type of transducer is better than the other since they both demonstrate the same complexity and similar algorithms.In this work, we show that for model checking, the two types of transducers are fundamentally different. Our central result is that model checking of non-terminating transducers is exponentially harder than that of terminating transducers. We show that the problems are …"
7,Synthesis of asynchronous reactive programs from temporal specifications,14,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bd9Rk1MAAAAJ&pagesize=50&citation_for_view=bd9Rk1MAAAAJ:YsMSGLbcyi4C,"Asynchronous interactions are ubiquitous in computing systems and complicate design and programming. Automatic construction of asynchronous programs from specifications (“synthesis”) could ease the difficulty, but known methods are complex, and intractable in practice. This work develops substantially simpler synthesis methods. A direct, exponentially more compact automaton construction is formulated for the reduction of asynchronous to synchronous synthesis. Experiments with a prototype implementation of the new method demonstrate feasibility. Furthermore, it is shown that for several useful classes of temporal properties, automaton-based methods can be avoided altogether and replaced with simpler Boolean constraint solving."
8,On Satisficing in Quantitative Games,13,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bd9Rk1MAAAAJ&pagesize=50&citation_for_view=bd9Rk1MAAAAJ:mVmsd5A6BfQC,"Several problems in planning and reactive synthesis can be reduced to the analysis of two-player quantitative graph games. Optimization is one form of analysis. We argue that in many cases it may be better to replace the optimization problem with the satisficing problem, where instead of searching for optimal solutions, the goal is to search for solutions that adhere to a given threshold bound.This work defines and investigates the satisficing problem on a two-player graph game with the discounted-sum cost model. We show that while the satisficing problem can be solved using numerical methods just like the optimization problem, this approach does not render compelling benefits over optimization. When the discount factor is, however, an integer, we present another approach to satisficing, which is purely based on automata methods. We show that this approach is algorithmically more performant – both …"
9,Safety and co-safety comparator automata for discounted-sum inclusion,13,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bd9Rk1MAAAAJ&pagesize=50&citation_for_view=bd9Rk1MAAAAJ:hqOjcs7Dif8C,"Discounted-sum inclusion (DS-inclusion, in short) formalizes the goal of comparing quantitative dimensions of systems such as cost, resource consumption, and the like, when the mode of aggregation for the quantitative dimension is discounted-sum aggregation. Discounted-sum comparator automata, or DS-comparators in short, are Büchi automata that read two infinite sequences of weights synchronously and relate their discounted-sum. Recent empirical investigations have shown that while DS-comparators enable competitive algorithms for DS-inclusion, they still suffer from the scalability bottleneck of Büchi operations.Motivated by the connections between discounted-sum and Büchi automata, this paper undertakes an investigation of language-theoretic properties of DS-comparators in order to mitigate the challenges of Büchi DS-comparators to achieve improved scalability of DS-inclusion. Our investigation …"
10,Specification-guided learning of nash equilibria with high social welfare,12,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bd9Rk1MAAAAJ&pagesize=50&citation_for_view=bd9Rk1MAAAAJ:hFOr9nPyWt4C,"Reinforcement learning has been shown to be an effective strategy for automatically training policies for challenging control problems. Focusing on non-cooperative multi-agent systems, we propose a novel reinforcement learning framework for training joint policies that form a Nash equilibrium. In our approach, rather than providing low-level reward functions, the user provides high-level specifications that encode the objective of each agent. Then, guided by the structure of the specifications, our algorithm searches over policies to identify one that provably forms an -Nash equilibrium (with high probability). Importantly, it prioritizes policies in a way that maximizes social welfare across all agents. Our empirical evaluation demonstrates that our algorithm computes equilibrium policies with high social welfare, whereas state-of-the-art baselines either fail to compute Nash equilibria or compute ones with comparatively …"
