,Author,summaries
0,Ada Gavrilovska,"Ada Gavrilovska's research contributions span a wide range of areas, including Cloud Computing, High-Performance Computing, Artificial Intelligence, and Cybersecurity. Her work focuses on optimizing performance, energy efficiency, and security in various computing systems, from data centers to edge devices. 

Some of her notable research areas include designing efficient caching algorithms, optimizing checkpointing for accelerator-based systems, and developing secure network function virtualization (NFV) states using Intel's Software Guard Extensions (SGX). Her work on edge computing, such as using airbox for fast, scalable, and secure onloading of edge functions, and on IoT-DDoS prevention, demonstrates her interest in the intersection of cloud, edge, and IoT technologies. Additionally, her research on machine learning and artificial intelligence, including model slicing and transfer learning, highlights her commitment to applying AI and ML to real-world problems."
1,Ahmed Saeed,"Ahmed Saeed is a researcher with a diverse range of interests and contributions in the field of computer science and engineering. His research focuses on various areas, including Active Queue Management, Admission Control, Artificial Intelligence, Autonomous Systems, Cloud Services, Computer Vision, Datacenter Networking, and Internet of Things (IoT). He has made significant contributions to the development of novel techniques and systems for network congestion control, traffic shaping, and localization.

Some of his notable research contributions include the development of scalable traffic shaping systems, such as Carousel, and robust device-free passive localization systems, such as Nuzzer and Ichnaea. He has also explored the application of machine learning and artificial intelligence in network congestion control and IoT systems. Additionally, his work on formal verification of congestion control behavior and realistic target coverage by autonomous drones demonstrates his commitment to advancing the state-of-the-art in these areas. Overall, Ahmed Saeed's research has had a significant impact on the field of computer science and engineering, with applications in network management, IoT systems, and autonomous systems."
2,Alan Ritter,"Alan Ritter's research contributions span multiple areas in Artificial Intelligence, Natural Language Processing, and Computer Science. His key research areas include Adversarial Attacks, Adversarial Training, Conversational AI, Dialogue Systems, Deep Learning, and Information Extraction. Ritter has made notable contributions to the development of robust and secure conversational AI systems, including the use of adversarial training to improve the resilience of neural dialogue generation models.

Ritter's research has also focused on the analysis and generation of human-like text, including the development of methods for text normalization, paraphrasing, and sentiment analysis. His work on the SemEval-2013 task 2: Sentiment analysis in Twitter and the Never Ending Learning project demonstrate his expertise in NLP tasks and his ability to design and execute large-scale experiments. Additionally, Ritter has explored the application of NLP techniques to real-world problems, such as cybersecurity threat analysis and COVID-19 event extraction from Twitter. His research has been published in top-tier conferences and journals, and has been recognized with numerous awards and citations. Overall, Ritter's contributions have had a significant impact on the field of NLP and AI, and have paved the way for future research in these areas."
3,Alberto Dainotti,"Alberto Dainotti is a prominent researcher in the field of computer networks and cybersecurity. His research contributions span various areas, including network measurement, anomaly detection, BGP security, and network traffic analysis. Dainotti has made significant contributions to the development of tools and techniques for network measurement, such as BGPStream, a software framework for live and historical BGP data analysis, and D-ITG, a software-based traffic generator.

Dainotti's work has also focused on network security, including BGP hijacking detection, anomaly detection, and network traffic classification. His research has explored the use of machine learning and statistical approaches to identify and classify network traffic patterns, as well as the development of tools for network traffic analysis and visualization. Additionally, Dainotti has investigated the impact of network outages and censorship on internet traffic, and has developed methods for inferring carrier-grade NAT deployment and analyzing address assignment practices in IPv4 and IPv6.

Dainotti's research has been published in numerous top-tier conferences and journals, and has been recognized with several awards and honors. His work has had a significant impact on the field of computer networks and cybersecurity, and has influenced the development of new tools and techniques for network measurement and security."
4,Alessandro Orso,"Alessandro Orso is a prominent researcher in the field of software engineering, with a focus on automated testing, debugging, and security. His research contributions have significantly impacted the development of software testing and debugging techniques. Orso's work has explored various areas, including automated test input generation, regression testing, and fault localization. He has also made notable contributions to the field of web application security, particularly in the areas of SQL injection attacks and countermeasures.

Orso's research has led to the development of several tools and techniques, such as AMNESIA, Dytan, and Bugredux, which have been widely adopted in the industry. His work has also been recognized through numerous publications in top-tier conferences and journals, including papers on automated debugging techniques, test case generation, and web application security. Orso's research has had a significant impact on the field of software engineering, and his contributions have helped shape the development of automated testing and debugging techniques. His work continues to influence the field, with ongoing research in areas such as machine learning, artificial intelligence, and software security."
5,Alex Endert,"Alex Endert's research contributions span multiple areas, including Accessibility, Artificial Intelligence, Bias Detection, Collaborative Systems, Data Analysis, Data Visualization, Human-Centered Design, Human-Computer Interaction, Information Retrieval, Machine Learning, and Visual Analytics. His work focuses on developing innovative solutions to facilitate effective decision-making, mitigate cognitive biases, and enhance user experience in complex data analysis tasks.

Notable publications include research on large high-resolution displays for sensemaking, semantic interaction for visual text analytics, and the integration of machine learning into visual analytics. Endert's work also explores the detection of cognitive bias in interactive visual analytics, the evaluation of user experience in visualization, and the development of visual analytics systems for exploratory data analysis. His research has significant implications for the development of more effective and user-centered visual analytics tools, and has the potential to impact various fields, including cybersecurity, law enforcement, and human trafficking."
6,Alexander Adams,"Alexander Adams' research contributions span a wide range of interdisciplinary areas, including Human-Computer Interaction, Artificial Intelligence, Machine Learning, and Biomedical Engineering. His work focuses on developing innovative technologies to mitigate anxiety, regulate emotions, and monitor physiological signals. Adams has designed and developed various wearable devices and mobile systems that utilize audio and physiological signals to provide real-time feedback and promote emotional regulation.

Notable publications from Adams' body of work include EmotionCheck, a wearable device that regulates anxiety through false heart rate feedback, and Keppi, a tangible user interface for self-reporting pain. His research also explores the use of audio signals, such as non-speech body sounds, to monitor physiological states and develop persuasive technologies that subtly influence behavior. Adams' work has the potential to impact various fields, including psychology, healthcare, and human-computer interaction, by providing novel solutions for anxiety mitigation, pain assessment, and emotional regulation."
7,Alexandra Boldyreva,"Alexandra Boldyreva is a researcher with a broad range of interests in cryptography and computer security. Her key research areas include cryptographic primitives, protocols, and systems, with a focus on security, efficiency, and provable security. Some of her notable contributions include developing efficient and secure encryption schemes, such as order-preserving symmetric encryption and deterministic and efficiently searchable encryption. She has also made significant contributions to the area of public-key encryption, including key-privacy and secure proxy signature schemes.

Boldyreva's research has had a significant impact on the field of cryptography and computer security. Her work on order-preserving encryption has led to improved security analysis and alternative solutions, while her research on public-key encryption has resulted in security proofs and improvements. Her contributions to the area of secure multi-party computation and secure data outsourcing have also been notable. Additionally, her work on provable security analysis of various cryptographic schemes and protocols has helped to establish the security of these systems. Overall, Boldyreva's research has had a lasting impact on the field of cryptography and computer security, and her contributions continue to shape the development of secure cryptographic systems and protocols."
8,Alexandros Daglis,"Alexandros Daglis is a researcher with a broad range of interests in computer architecture, distributed systems, and high-performance computing. His work focuses on algorithm/architecture co-design, artificial intelligence, and data-centric computing. Specifically, he explores the intersection of hardware and software to optimize performance, scalability, and energy efficiency in various domains, including cloud computing, edge computing, and high-performance computing.

Daglis' research contributions are evident in his notable publications, which cover a wide range of topics, such as cache management, coherence domains, compiler support, data analytics, data movement optimization, deep learning, distributed graph processing, distributed memory management, edge computing, energy efficiency, error tolerance, hardware security, high-performance computing, in-memory processing, load balancing, machine learning, manycore processors, memory access optimization, memory hierarchy, memory management, network architecture, network communication, network function virtualization, non-uniform memory access, one-sided operations, parallel computing, parallelization strategies, performance improvement, persistent memory, resource provisioning, scalability, scheduling, stateless messaging protocol, storage-class memory, streaming access patterns, synchronization, task-level parallelism, transactional memory, and virtual memory. His work has significant implications for the design of future computing systems, enabling more efficient, scalable, and secure data processing and storage."
9,Alexey Tumanov,"Alexey Tumanov is a researcher with a broad range of interests in computer science, particularly in the areas of cloud computing, distributed systems, and machine learning. His research focuses on designing and optimizing systems for scalability, efficiency, and reliability. Some of his key research areas include cloud-based resource scheduling, cluster computing, and distributed storage.

Tumanov has made significant contributions to the field through his publications, which have explored various topics such as serverless computing, autoscaling, and latency-aware systems. Notable publications include ""Ray: A distributed framework for emerging AI applications,"" ""Morpheus: Towards automated SLOs for enterprise clusters,"" and ""Cloudburst: Stateful functions-as-a-service."" His work has also touched on machine learning, with papers such as ""Idk cascades: Fast deep learning by learning not to overthink"" and ""Holmes: Health online model ensemble serving for deep learning models in intensive care units."" Tumanov's research has the potential to impact various industries, including healthcare and finance, by providing more efficient and reliable systems for processing large amounts of data."
10,Amy Bruckman,"Amy Bruckman is a renowned researcher in the field of Human-Computer Interaction (HCI), Computer Science Education, and Social Computing. Her research contributions span multiple areas, including accessibility, artificial intelligence, collaborative systems, community building, computer-supported cooperative work, and online learning. Bruckman's work focuses on understanding how people interact with technology, particularly in online environments, and how technology can be designed to support learning, creativity, and social interaction.

Some of her notable research areas include the study of online communities, such as Wikipedia and Reddit, to understand how people collaborate, create content, and regulate behavior. She has also explored the use of technology to support learning, including the development of computational construction kits and online learning environments. Bruckman's research has been influential in shaping the field of HCI and computer science education, and her work has been recognized for its impact on issues such as online harassment, content moderation, and diversity in computing. Her research has been published in numerous papers, including ""Becoming Wikipedian: transformation of participation in a collaborative online encyclopedia"" and ""The Internet's hidden rules: An empirical study of Reddit norm violations at micro, meso, and macro scales."""
11,Animesh Garg,"Animesh Garg is a researcher with a broad range of interests in artificial intelligence, robotics, and computer vision. His research contributions span multiple areas, including 3D reconstruction, 3D printing, assistive technology, autonomous mobile manipulation, Bayesian methods, computer vision, control systems, deep learning, deep reinforcement learning, generative models, imitation learning, machine learning, model-based methods, multimodal representation, neural networks, object recognition, offline reinforcement learning, policy learning, probabilistic representation, program synthesis, reinforcement learning, robot learning, robot manipulation, robot-assisted minimally invasive surgery, robotics, robustness, safe exploration, self-supervised learning, semi-supervised learning, sensor design, sequence prediction, simulation, spatial reasoning, surgical robotics, task generalization, task planning, teleoperation, temporal reasoning, tool manipulation, trajectory segmentation, transfer learning, transformer-based models, uncertainty estimation, unsupervised clustering, unsupervised learning, value function generalization, variable impedance control, video analysis, video prediction, visual feedback, visual question answering, weak supervision, and whole-body control.

Some of his notable publications include ""Making sense of vision and touch: Self-supervised learning of multimodal representations for contact-rich tasks,"" ""RoboTurk: A crowdsourcing platform for robotic skill learning through imitation,"" ""Learning task-oriented grasping for tool manipulation from simulated self-supervision,"" and ""Neural task programming: Learning to generalize across hierarchical tasks."" These papers demonstrate his expertise in areas such as multimodal representation learning, robotic skill learning, and task-oriented grasping.

Animesh Garg's research has had a significant impact within his field, with many of his papers receiving high citation counts. His work has also been recognized through various awards and honors. His contributions have paved the way for advancements in robotics, computer vision, and artificial intelligence, and his research continues to inspire and influence the development of new technologies and applications."
12,Annie I. Antón,"Annie I. Antón is a prominent researcher in the field of requirements engineering, with a focus on access control, artificial intelligence, authentication, cybersecurity, data protection, and privacy. Her research contributions have significantly impacted the development of secure and private information systems. 

Antón's work has explored various aspects of requirements engineering, including goal-based requirements analysis, regulatory compliance, and policy development. She has developed frameworks and methodologies for modeling privacy requirements, analyzing website privacy requirements, and extracting rights and obligations for regulatory compliance. Her research has also examined the role of policy and stakeholder privacy values in requirements engineering, as well as the impact of legal requirements on software development. Antón's work has been applied in various domains, including healthcare, finance, and e-commerce, and has been recognized for its practical relevance and impact."
