Rank,Title,Citations,Year,URL,Description
1,Scale-Out NUMA,233,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Mm-dHpMAAAAJ&pagesize=50&citation_for_view=Mm-dHpMAAAAJ:UeHWp8X0CEIC,"Emerging datacenter applications operate on vast datasets that are kept in DRAM to minimize latency. The large number of servers needed to accommodate this massive memory footprint requires frequent server-to-server communication in applications such as key-value stores and graph-based applications that rely on large irregular data structures. The fine-grained nature of the accesses is a poor match to commodity networking technologies, including RDMA, which incur delays of 10-1000x over local DRAM operations. We introduce Scale-Out NUMA (soNUMA) -- an architecture, programming model, and communication protocol for low-latency, distributed in-memory processing. soNUMA layers an RDMA-inspired programming model directly on top of a NUMA memory fabric via a stateless messaging protocol. To facilitate interactions between the application, OS, and the fabric, soNUMA relies on the remote …"
2,The Mondrian Data Engine,176,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Mm-dHpMAAAAJ&pagesize=50&citation_for_view=Mm-dHpMAAAAJ:ufrVoPGSRksC,"The increasing demand for extracting value out of ever-growing data poses an ongoing challenge to system designers, a task only made trickier by the end of Dennard scaling. As the performance density of traditional CPU-centric architectures stagnates, advancing compute capabilities necessitates novel architectural approaches. Near-memory processing (NMP) architectures are reemerging as promising candidates to improve computing efficiency through tight coupling of logic and memory. NMP architectures are especially fitting for data analytics, as they provide immense bandwidth to memory-resident data and dramatically reduce data movement, the main source of energy consumption. Modern data analytics operators are optimized for CPU execution and hence rely on large caches and employ random memory accesses. In the context of NMP, such random accesses result in wasteful DRAM row buffer …"
3,Exploiting Errors for Efficiency: A Survey from Circuits to Applications,102,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Mm-dHpMAAAAJ&pagesize=50&citation_for_view=Mm-dHpMAAAAJ:Se3iqnhoufwC,"When a computational task tolerates a relaxation of its specification or when an algorithm tolerates the effects of noise in its execution, hardware, system software, and programming language compilers or their runtime systems can trade deviations from correct behavior for lower resource usage. We present, for the first time, a synthesis of research results on computing systems that only make as many errors as their end-to-end applications can tolerate. The results span the disciplines of computer-aided design of circuits, digital system design, computer architecture, programming languages, operating systems, and information theory. Rather than over-provisioning the resources controlled by each of these layers of abstraction to avoid errors, it can be more efficient to exploit the masking of errors occurring at one layer and thereby prevent those errors from propagating to a higher layer. We demonstrate the potential …"
4,RPCValet: NI-Driven Tail-Aware Balancing of µs-Scale RPCs,91,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Mm-dHpMAAAAJ&pagesize=50&citation_for_view=Mm-dHpMAAAAJ:0EnyYjriUFMC,"Modern online services come with stringent quality requirements in terms of response time tail latency. Because of their decomposition into fine-grained communicating software layers, a single user request fans out into a plethora of short, μs-scale RPCs, aggravating the need for faster inter-server communication. In reaction to that need, we are witnessing a technological transition characterized by the emergence of hardware-terminated user-level protocols (e.g., InfiniBand/RDMA) and new architectures with fully integrated Network Interfaces (NIs). Such architectures offer a unique opportunity for a new NI-driven approach to balancing RPCs among the cores of manycore server CPUs, yielding major tail latency improvements for μs-scale RPCs. We introduce RPCValet, an NI-driven RPC load-balancing design for architectures with hardware-terminated protocols and integrated NIs, that delivers near-optimal tail …"
5,The NeBuLa RPC-Optimized Architecture,77,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Mm-dHpMAAAAJ&pagesize=50&citation_for_view=Mm-dHpMAAAAJ:KlAtU1dfN6UC,"Large-scale online services are commonly structured as a network of software tiers, which communicate over the datacenter network using RPCs. Ongoing trends towards software decomposition have led to the prevalence of tiers receiving and generating RPCs with runtimes of only a few microseconds. With such small software runtimes, even the smallest latency overheads in RPC handling have a significant relative performance impact. In particular, we find that growing network bandwidth introduces queuing effects within a server’s memory hierarchy, considerably hurting the response latency of fine-grained RPCs. In this work we introduce NEBULA, an architecture optimized to accelerate the most challenging microsecond-scale RPCs, by leveraging two novel mechanisms to drastically improve server throughput under strict tail latency goals. First, NEBULA reduces detrimental queuing at the memory controllers …"
6,Cerebros: Evading the RPC Tax in Datacenters,64,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Mm-dHpMAAAAJ&pagesize=50&citation_for_view=Mm-dHpMAAAAJ:_kc_bZDykSQC,Description not available
7,Scale-Out Non-Uniform Memory Access,63,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Mm-dHpMAAAAJ&pagesize=50&citation_for_view=Mm-dHpMAAAAJ:Tyk-4Ss8FVUC,"(57) ABSTRACT A computing system that uses a Scale-Out NUMA ("" SONUMA”) architecture, programming model, and/or communication protocol provides for low-latency, distrib uted in-memory processing. Using soNUMA, a program ming model is layered directly on top of a NUMA memory fabric via a stateless messaging protocol. To facilitate inter actions between the application, OS, and the fabric, SONUMA uses a remote memory controller—an architec turally-exposed hardware block integrated into the node's local coherence hierarchy."
8,The Case for RackOut: Scalable Data Serving Using Rack-Scale Systems,51,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Mm-dHpMAAAAJ&pagesize=50&citation_for_view=Mm-dHpMAAAAJ:YsMSGLbcyi4C,"To provide low latency and high throughput guarantees, most large key-value stores keep the data in the memory of many servers. Despite the natural parallelism across lookups, the load imbalance, introduced by heavy skew in the popularity distribution of keys, limits performance. To avoid violating tail latency service-level objectives, systems tend to keep server utilization low and organize the data in micro-shards, which provides units of migration and replication for the purpose of load balancing. These techniques reduce the skew, but incur additional monitoring, data replication and consistency maintenance overheads. In this work, we introduce RackOut, a memory pooling technique that leverages the one-sided remote read primitive of emerging rack-scale systems to mitigate load imbalance while respecting service-level objectives. In RackOut, the data is aggregated at rack-scale granularity, with all of the …"
9,Manycore Network Interfaces for In-Memory Rack-Scale Computing,45,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Mm-dHpMAAAAJ&pagesize=50&citation_for_view=Mm-dHpMAAAAJ:IjCSPb-OGe4C,"Datacenter operators rely on low-cost, high-density technologies to maximize throughput for data-intensive services with tight tail latencies. In-memory rack-scale computing is emerging as a promising paradigm in scale-out datacenters capitalizing on commodity SoCs, low-latency and high-bandwidth communication fabrics and a remote memory access model to enable aggregation of a rack's memory for critical data-intensive applications such as graph processing or key-value stores. Low latency and high bandwidth not only dictate eliminating communication bottlenecks in the software protocols and off-chip fabrics but also a careful on-chip integration of network interfaces. The latter is a key challenge especially in architectures with RDMA-inspired one-sided operations that aim to achieve low latency and high bandwidth through on-chip Network Interface (NI) support. This paper proposes and evaluates network …"
10,Distributed Logless Atomic Durability with Persistent Memory,44,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Mm-dHpMAAAAJ&pagesize=50&citation_for_view=Mm-dHpMAAAAJ:kNdYIx-mwKoC,"Datacenter operators have started deploying Persistent Memory (PM), leveraging its combination of fast access and persistence for significant performance gains. A key challenge for PM-aware software is to maintain high performance while achieving atomic durability. The latter typically requires the use of logging, which introduces considerable overhead with additional CPU cycles, write traffic, and ordering requirements. In this paper, we exploit the data multiversioning inherent in the memory hierarchy to achieve atomic durability without logging. Our design, LAD, relies on persistent buffering space at the memory controllers (MCs)---already present in modern CPUs---to speculatively accumulate all of a transaction's updates before they are all atomically committed to PM. LAD employs an on-chip distributed commit protocol in hardware to manage the distributed speculative state each transaction accumulates …"
