Rank,Title,Citations,Year,URL,Description
1,A scalable approximate model counter,232,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bvW5Hs8AAAAJ&pagesize=50&citation_for_view=bvW5Hs8AAAAJ:u-x6o8ySG0sC,"Propositional model counting (#SAT), i.e., counting the number of satisfying assignments of a propositional formula, is a problem of significant theoretical and practical interest. Due to the inherent complexity of the problem, approximate model counting, which counts the number of satisfying assignments to within given tolerance and confidence level, was proposed as a practical alternative to exact model counting. Yet, approximate model counting has been studied essentially only theoretically. The only reported implementation of approximate model counting, due to Karp and Luby, worked only for DNF formulas. A few existing tools for CNF formulas are bounding model counters; they can handle realistic problem sizes, but fall short of providing counts within given tolerance and confidence, and, thus, are not approximate model counters.We present here a novel algorithm, as well as a reference implementation, that …"
2,Distribution-aware sampling and weighted model counting for SAT,216,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bvW5Hs8AAAAJ&pagesize=50&citation_for_view=bvW5Hs8AAAAJ:r0BpntZqJG4C,"Given a CNF formula and a weight for each assignment of values tovariables, two natural problems are weighted model counting anddistribution-aware sampling of satisfying assignments. Both problems have a wide variety of important applications. Due to the inherentcomplexity of the exact versions of the problems, interest has focusedon solving them approximately. Prior work in this area scaled only tosmall problems in practice, or failed to provide strong theoreticalguarantees, or employed a computationally-expensive most-probable-explanation ({\MPE}) queries that assumes prior knowledge of afactored representation of the weight distribution. We identify a novel parameter,\emph {tilt}, which is the ratio of the maximum weight of satisfying assignment to minimum weightof satisfying assignment and present anovel approach that works with a black-box oracle for weights ofassignments and requires only an {\NP}-oracle (in practice, a {\SAT}-solver) to solve both thecounting and sampling problems when the tilt is small. Our approach provides strong theoretical guarantees, and scales toproblems involving several thousand variables. We also show that theassumption of small tilt can be significantly relaxed while improving computational efficiency if a factored representation of the weights is known."
3,Algorithmic improvements in approximate counting for probabilistic inference: From linear to logarithmic SAT calls,198,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bvW5Hs8AAAAJ&pagesize=50&citation_for_view=bvW5Hs8AAAAJ:RYcK_YlVTxYC,"Probabilistic inference via model counting has emerged as a scalable technique with strong formal guarantees, thanks to recent advances in hashing-based approximate counting. State-of-the-art hashing-based counting algorithms use an NP oracle (SAT solver in practice), such that the number of oracle invocations grows linearly in the number of variables n in the input constraint. We present a new approach to hashing-based approximate model counting in which the number of oracle invocations grows logarithmically in n, while still providing strong theoretical guarantees. We use this technique to design an algorithm for# CNF with probably approximately correct (PAC) guarantees. Our experiments show that this algorithm outperforms state-of-the-art techniques for approximate counting by 1-2 orders of magnitude in running time. We also show that our algorithm can be easily adapted to give a new fully polynomial randomized approximation scheme (FPRAS) for# DNF"
4,BIRD: Engineering an Efficient CNF-XOR SAT Solver and its Applications to Approximate Model Counting,177,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bvW5Hs8AAAAJ&pagesize=50&citation_for_view=bvW5Hs8AAAAJ:u_35RYKgDlwC,"Given a Boolean formula φ, the problem of model counting, also referred to as# SAT is to compute the number of solutions of φ. Model counting is a fundamental problem in artificial intelligence with a wide range of applications including probabilistic reasoning, decision making under uncertainty, quantified information flow, and the like. Motivated by the success of SAT solvers, there has been surge of interest in the design of hashing-based techniques for approximate model counting for the past decade. We profiled the state of the art approximate model counter ApproxMC2 and observed that over 99.99% of time is consumed by the underlying SAT solver, CryptoMiniSat. This observation motivated us to ask: Can we design an efficient underlying CNF-XOR SAT solver that can take advantage of the structure of hashing-based algorithms and would this lead to an efficient approximate model counter?"
5,GANAK: A Scalable Probabilistic Exact Model Counter,165,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bvW5Hs8AAAAJ&pagesize=50&citation_for_view=bvW5Hs8AAAAJ:CHSYGLWDkRkC,"Given a Boolean formula F, the problem of model counting, also referred to as# SAT, seeks to compute the number of solutions of F. Model counting is a fundamental problem with a wide variety of applications ranging from planning, quantified information flow to probabilistic reasoning and the like. The modern# SAT solvers tend to be either based on static decomposition, dynamic decomposition, or a hybrid of the two. Despite dynamic decomposition based# SAT solvers sharing much of their architecture with SAT solvers, the core design and heuristics of dynamic decomposition-based# SAT solvers has remained constant for over a decade. In this paper, we revisit the architecture of the state-ofthe-art dynamic decomposition-based# SAT tool, sharpSAT, and demonstrate that by introducing a new notion of probabilistic component caching and the usage of universal hashing for exact model counting along with the development of several new heuristics can lead to significant performance improvement over state-of-the-art model-counters. In particular, we develop GANAK, a new scalable probabilistic exact model counter that outperforms state-of-the-art exact and approximate model counters sharpSAT and ApproxMC3 respectively, both in terms of PAR-2 score and the number of instances solved. Furthermore, in our experiments, the model count returned by GANAK was equal to the exact model count for all the benchmarks. Finally, we observe that recently proposed preprocessing techniques for model counting benefit exact model counters while hurting the performance of approximate model counters."
6,Quantitative verification of neural networks and its security applications,158,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bvW5Hs8AAAAJ&pagesize=50&citation_for_view=bvW5Hs8AAAAJ:EUQCXRtRnyEC,"Neural networks are increasingly employed in safety-critical domains. This has prompted interest in verifying or certifying logically encoded properties of neural networks. Prior work has largely focused on checking existential properties, wherein the goal is to check whether there exists any input that violates a given property of interest. However, neural network training is a stochastic process, and many questions arising in their analysis require probabilistic and quantitative reasoning, i.e., estimating how many inputs satisfy a given property. To this end, our paper proposes a novel and principled framework to quantitative verification of logical properties specified over neural networks. Our framework is the first to provide PAC-style soundness guarantees, in that its quantitative estimates are within a controllable and bounded error from the true count. We instantiate our algorithmic framework by building a prototype tool …"
7,Embedding symbolic knowledge into deep networks,154,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bvW5Hs8AAAAJ&pagesize=50&citation_for_view=bvW5Hs8AAAAJ:uWQEDVKXjbEC,"In this work, we aim to leverage prior symbolic knowledge to improve the performance of deep models. We propose a graph embedding network that projects propositional formulae (and assignments) onto a manifold via an augmented Graph Convolutional Network (GCN). To generate semantically-faithful embeddings, we develop techniques to recognize node heterogeneity, and semantic regularization that incorporate structural constraints into the embedding. Experiments show that our approach improves the performance of models trained to perform entailment checking and visual relation prediction. Interestingly, we observe a connection between the tractability of the propositional theory representation and the ease of embedding. Future exploration of this connection may elucidate the relationship between knowledge compilation and vector representation learning."
8,On parallel scalable uniform SAT witness generation,152,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bvW5Hs8AAAAJ&pagesize=50&citation_for_view=bvW5Hs8AAAAJ:JV2RwH3_ST0C,"Constrained-random verification (CRV) is widely used in industry for validating hardware designs. The effectiveness of CRV depends on the uniformity of test stimuli generated from a given set of constraints. Most existing techniques sacrifice either uniformity or scalability when generating stimuli. While recent work based on random hash functions has shown that it is possible to generate almost uniform stimuli from constraints with 100,000+ variables, the performance still falls short of today’s industrial requirements. In this paper, we focus on pushing the performance frontier of uniform stimulus generation further. We present a random hashing-based, easily parallelizable algorithm, UniGen2, for sampling solutions of propositional constraints. UniGen2 provides strong and relevant theoretical guarantees in the context of CRV, while also offering significantly improved performance compared to existing almost-uniform …"
9,A scalable and nearly uniform generator of SAT witnesses,144,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bvW5Hs8AAAAJ&pagesize=50&citation_for_view=bvW5Hs8AAAAJ:u5HHmVD_uO8C,"Functional verification constitutes one of the most challenging tasks in the development of modern hardware systems, and simulation-based verification techniques dominate the functional verification landscape. A dominant paradigm in simulation-based verification is directed random testing, where a model of the system is simulated with a set of random test stimuli that are uniformly or near-uniformly distributed over the space of all stimuli satisfying a given set of constraints. Uniform or near-uniform generation of solutions for large constraint sets is therefore a problem of theoretical and practical interest. For Boolean constraints, prior work offered heuristic approaches with no guarantee of performance, and theoretical approaches with proven guarantees, but poor performance in practice. We offer here a new approach with theoretical performance guarantees and demonstrate its practical utility on large constraint sets."
10,"Tinted, Detached, and Lazy CNF-XOR solving and its Applications to Counting and Sampling",129,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bvW5Hs8AAAAJ&pagesize=50&citation_for_view=bvW5Hs8AAAAJ:B3FOqHPlNUQC,"Given a Boolean formula, the problem of counting seeks to estimate the number of solutions of F while the problem of uniform sampling seeks to sample solutions uniformly at random. Counting and uniform sampling are fundamental problems in computer science with a wide range of applications ranging from constrained random simulation, probabilistic inference to network reliability and beyond. The past few years have witnessed the rise of hashing-based approaches that use XOR-based hashing and employ SAT solvers to solve the resulting CNF formulas conjuncted with XOR constraints. Since over 99% of the runtime of hashing-based techniques is spent inside the SAT queries, improving CNF-XOR solvers has emerged as a key challenge.In this paper, we identify the key performance bottlenecks in the recently proposed \documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym …"
